timestamp,model,is_final,seed,best_psnr_garden,best_psnr_bicycle,best_psnr_bonsai,best_psnr_stump,elapsed_garden,elapsed_bicycle,elapsed_bonsai,elapsed_stump
2026-04-27T19:15:20.982931+00:00,baseline:none,true,42,29.067,26.641,32.531,27.460,,,,
2026-04-27T19:15:20.982931+00:00,baseline:scale_opa,true,42,29.318,26.844,32.685,27.720,,,,
2026-04-27T19:15:20.982931+00:00,baseline:erank_opa,true,42,29.623,26.725,32.943,27.668,,,,
2026-04-27T20:29:58.641061+00:00,gemini-3.1-pro-preview,false,42,29.562,26.841,32.802,27.702,1072.2,1338.7,703.0,1152.0
2026-04-27T20:30:11.302070+00:00,deepseek-reasoner,false,42,29.612,26.812,32.661,27.662,1093.1,1336.8,694.8,1174.7
2026-04-27T20:36:40.198097+00:00,claude-opus-4.6,false,42,29.58,26.794,32.873,27.693,1184.8,1523.7,747.2,1325.2
2026-04-27T20:44:37.912133+00:00,qwen3.6-plus,false,42,29.594,26.878,32.783,27.69,1345.0,1638.9,774.9,1427.9
2026-04-27T21:40:07.180974+00:00,deepseek-reasoner,false,42,,,,,951.2,1344.1,694.0,1159.2
2026-04-27T21:41:39.436811+00:00,gemini-3.1-pro-preview,false,42,,,,,966.4,1330.6,702.1,1187.1
2026-04-27T21:54:46.716385+00:00,claude-opus-4.6,false,42,,,,,1056.1,1536.5,745.9,1337.4
2026-04-27T21:55:26.678344+00:00,qwen3.6-plus,false,42,,,,,960.4,1335.5,700.7,1154.8
2026-04-27T22:47:58.675662+00:00,deepseek-reasoner,false,42,,,,,928.2,1290.6,683.2,1134.5
2026-04-27T22:48:18.277293+00:00,deepseek-reasoner,true,42,29.706,26.794,32.558,27.669,1093.1,1336.8,694.8,1174.7
2026-04-27T22:58:04.382683+00:00,gemini-3.1-pro-preview,false,42,,,,,1030.6,1447.3,729.5,1279.0
2026-04-27T22:58:21.928696+00:00,gemini-3.1-pro-preview,true,42,29.598,26.778,32.790,27.670,1072.2,1338.7,703.0,1152.0
2026-04-27T23:12:28.884318+00:00,claude-opus-4.6,false,42,,,,,1060.5,1531.0,739.4,1320.7
2026-04-27T23:12:32.319329+00:00,claude-opus-4.6,true,42,29.665,26.801,32.771,27.646,1056.1,1536.5,745.9,1337.4
2026-04-27T23:13:50.891884+00:00,qwen3.6-plus,false,42,,,,,933.7,1317.0,686.8,1137.7
2026-04-27T23:14:30.871604+00:00,qwen3.6-plus,true,42,29.594,26.771,32.899,27.698,933.7,1317.0,686.8,1137.7
