timestamp,model,is_final,seed,val_acc_vit_tiny,elapsed_vit_tiny,val_acc_vit_small,elapsed_vit_small,val_acc_vit_base,elapsed_vit_base
2026-04-27T12:35:03.175411+00:00,baseline:multiblock,false,42,55.13,3207,56.44,3931,39.84,4948
2026-04-27T12:37:15.090304+00:00,baseline:mae_random,false,42,66.93,2531,76.37,3319,80.86,4439
2026-04-27T12:44:12.685905+00:00,baseline:single_block,false,42,70.07,2787,72.46,3765,70.83,5129
2026-04-28T01:09:49.965460+00:00,baseline:mae_random,false,42,15.43,15245,19.18,21781,20.37,30773
2026-04-28T02:15:44.796638+00:00,baseline:multiblock,false,42,17.75,19686,22.39,26076,19.44,34764
2026-04-28T06:50:03.662055+00:00,baseline:single_block,false,42,24.99,17986,27.19,26236,26.79,37388
2026-04-28T19:10:32.230506+00:00,baseline:block,false,42,21.71,13284,23.18,19590,20.15,27923
2026-04-28T21:11:36.070405+00:00,baseline:multiblock,false,42,17.75,19902,22.39,26320,19.44,35196
2026-04-28T22:11:06.493005+00:00,baseline:random,false,42,11.38,18520,14.69,27056,13.66,38642
2026-04-28T22:30:49.663741+00:00,baseline:rasterized,false,42,14.1,19047,17.47,27904,18.78,39858
2026-04-28T23:32:17.824819+00:00,baseline:none,false,42,14.42,25821,14.27,36348,,
2026-05-02T18:57:31.132717+00:00,baseline:block,false,42,19.78,10578,21.33,15058,15.85,20478
2026-05-02T21:11:42.287242+00:00,baseline:multiblock,false,42,16.53,17934,20.77,22707,19.93,28552
2026-05-02T23:47:50.835970+00:00,baseline:rasterized,false,42,15.18,17067,16.75,24373,19.82,33546
2026-05-03T00:06:51.286747+00:00,baseline:random,false,42,11.18,16427,13.68,23408,12.9,32012
