timestamp,model,is_final,seed,selective_risk_at80_adult,coverage_at80_adult,worst_group_selective_risk_adult,deferral_rate_gap_adult,auroc_adult,target_coverage_adult,actual_coverage_adult,elapsed_adult,selective_risk_at80_compas,coverage_at80_compas,worst_group_selective_risk_compas,deferral_rate_gap_compas,auroc_compas,target_coverage_compas,actual_coverage_compas,elapsed_compas,selective_risk_at80_law_school,coverage_at80_law_school,worst_group_selective_risk_law_school,deferral_rate_gap_law_school,auroc_law_school,target_coverage_law_school,actual_coverage_law_school,label_threshold_law_school,elapsed_law_school
2026-04-30T16:14:37.072160+00:00,baseline:confidence_thresholding,true,42,0.069344,0.795578,0.088213,0.238744,0.853188,0.8,0.795578,10,0.281174,0.775355,0.292776,0.144118,0.630096,0.8,0.775355,10,0.369054,0.799731,0.413831,0.237338,0.614418,0.8,0.799731,0.07,10
2026-04-30T16:14:36.056578+00:00,baseline:conformal_abstention,true,42,0.069344,0.795578,0.088213,0.238744,0.853188,0.8,0.795578,10,0.282767,0.781043,0.290566,0.150157,0.630096,0.8,0.781043,10,0.369054,0.799731,0.413831,0.237338,0.614418,0.8,0.799731,0.07,10
2026-04-30T16:14:35.443569+00:00,baseline:groupwise_thresholding,true,42,0.072896,0.796241,0.106265,0.16092,0.853188,0.8,0.796241,9,0.283088,0.77346,0.290727,0.073844,0.630096,0.8,0.77346,9,0.377654,0.801074,0.416537,0.051418,0.614418,0.8,0.801074,0.07,9
2026-04-30T16:14:36.830291+00:00,baseline:learned_deferral,true,42,0.070467,0.797015,0.090909,0.27333,0.851883,0.8,0.797015,10,0.28,0.781991,0.29,0.118994,0.629582,0.8,0.781991,10,0.369994,0.793466,0.404954,0.323985,0.615308,0.8,0.793466,0.07,10
2026-04-30T16:23:29.598835+00:00,claude-opus-4.6,false,42,0.072129,0.800111,0.102332,0.226578,0.84801,0.8,0.800111,11,0.316201,0.848341,0.335541,0.131353,0.56181,0.8,0.848341,11,0.384092,0.855225,0.423721,0.106912,0.596785,0.8,0.855225,0.07,11
2026-04-30T16:24:59.224980+00:00,claude-opus-4.6,false,42,0.072506,0.791376,0.112,0.269006,0.843939,0.8,0.791376,13,0.311266,0.816114,0.32574,0.060338,0.551721,0.8,0.816114,13,0.382054,0.793019,0.419391,0.08365,0.576746,0.8,0.793019,0.07,13
2026-04-30T16:26:30.968007+00:00,claude-opus-4.6,false,42,0.076335,0.795135,0.111085,0.140297,0.850089,0.8,0.795135,13,0.315068,0.830332,0.327869,0.055703,0.552533,0.8,0.830332,13,0.385095,0.789662,0.420884,0.071516,0.586514,0.8,0.789662,0.07,13
2026-04-30T16:26:40.633474+00:00,claude-opus-4.6,true,42,0.076335,0.795135,0.111085,0.140297,0.850089,0.8,0.795135,13,0.315068,0.830332,0.327869,0.055703,0.552533,0.8,0.830332,13,0.385095,0.789662,0.420884,0.071516,0.586514,0.8,0.789662,0.07,13
2026-04-30T16:24:06.770765+00:00,gemini-3.1-pro-preview,false,42,0.075038,0.798563,0.109375,0.132184,0.849541,0.8,0.798563,10,0.301695,0.838863,0.318807,0.016604,0.596432,0.8,0.838863,10,0.389332,0.813829,0.429902,0.025046,0.576927,0.8,0.813829,0.07,10
2026-04-30T16:26:03.379487+00:00,gemini-3.1-pro-preview,false,42,0.07392,0.795688,0.107334,0.132184,0.85359,0.8,0.795688,18,0.306024,0.78673,0.324455,0.063781,0.588367,0.8,0.78673,18,0.378026,0.822779,0.417209,0.064437,0.605542,0.8,0.822779,0.07,18
