timestamp,model,is_final,seed,accuracy_cora,accuracy_citeseer,accuracy_texas,accuracy_cornell,accuracy_cora_std,accuracy_citeseer_std,accuracy_texas_std,accuracy_cornell_std,std_cora,std_citeseer,std_texas,std_cornell,std_cora_std,std_citeseer_std,std_texas_std,std_cornell_std,elapsed_cora,elapsed_citeseer,elapsed_texas,elapsed_cornell
2026-03-27T03:05:51.728152+00:00,baseline:bernnet,true,42,0.8563,0.7798,0.9049,0.8836,,,,,0.0143,0.0061,0.0252,0.0377,,,,,98.0,99.0,99.0,85.0
2026-03-27T03:05:51.731765+00:00,baseline:bernnet,true,123,0.8552,0.7793,0.9082,0.8262,,,,,0.0146,0.0058,0.0245,0.0403,,,,,98.0,96.0,101.0,85.0
2026-03-27T03:05:51.732313+00:00,baseline:bernnet,true,456,0.8547,0.7795,0.9148,0.823,,,,,0.0151,0.0048,0.0262,0.0445,,,,,98.0,96.0,85.0,85.0
2026-03-27T03:05:51.732313+00:00,baseline:bernnet,true,mean,0.8553999999999999,0.7795333333333333,0.9093,0.8442666666666666,0.0006683312551920903,0.00020548046676565794,0.004115823125451298,0.027843531065980545,0.014666666666666666,0.005566666666666667,0.0253,0.04083333333333333,0.0003299831645537223,0.0005557777333511025,0.0006976149845485452,0.002801586851926759,98.0,97.0,95.0,85.0
2026-03-25T10:35:03.370597+00:00,baseline:chebnetii,true,42,0.8724,0.8001,0.877,0.8475,,,,,0.0161,0.0153,0.0246,0.0464,,,,,,,,
2026-03-25T10:35:03.373294+00:00,baseline:chebnetii,true,123,0.8726,0.8007,0.877,0.8475,,,,,0.0161,0.0147,0.0246,0.0464,,,,,,,,
2026-03-25T10:35:03.373624+00:00,baseline:chebnetii,true,456,0.8724,0.8004,0.877,0.8459,,,,,0.0161,0.0148,0.0246,0.0459,,,,,,,,
2026-03-25T10:35:03.373624+00:00,baseline:chebnetii,true,mean,0.8724666666666666,0.8004000000000001,0.8770000000000001,0.8469666666666668,9.428090415824828e-05,0.00024494897427829084,1.1102230246251565e-16,0.0007542472332656723,0.0161,0.014933333333333333,0.0246,0.04623333333333333,0.0,0.00026246692913372676,0.0,0.00023570226039551278,,,,
2026-03-27T03:14:52.829152+00:00,baseline:gprgnn,true,42,0.8887,0.802,0.9098,0.8738,,,,,0.0095,0.0136,0.0471,0.0303,,,,,52.0,52.0,68.0,62.0
2026-03-27T03:14:52.831689+00:00,baseline:gprgnn,true,123,,0.802,0.9049,0.8738,,,,,,0.0136,0.035,0.0434,,,,,52.0,63.0,68.0,62.0
2026-03-27T03:14:52.832341+00:00,baseline:gprgnn,true,456,0.8893,0.8019,0.9049,0.8639,,,,,0.0111,0.0136,0.0262,0.0275,,,,,52.0,63.0,62.0,62.0
