timestamp,model,is_final,seed,mmd_avg_community_small,mmd_avg_ego_small,mmd_avg_enzymes,mmd_clustering_community_small,mmd_clustering_ego_small,mmd_clustering_enzymes,mmd_degree_community_small,mmd_degree_ego_small,mmd_degree_enzymes,mmd_orbit_community_small,mmd_orbit_ego_small,mmd_orbit_enzymes,mmd_avg_community_small_std,mmd_avg_ego_small_std,mmd_avg_enzymes_std,mmd_clustering_community_small_std,mmd_clustering_ego_small_std,mmd_clustering_enzymes_std,mmd_degree_community_small_std,mmd_degree_ego_small_std,mmd_degree_enzymes_std,mmd_orbit_community_small_std,mmd_orbit_ego_small_std,mmd_orbit_enzymes_std,elapsed_community_small,elapsed_ego_small,elapsed_enzymes
2026-04-21T22:12:24.447962+00:00,baseline:digress,true,42,0.218921,0.082194,0.786477,0.1,0.105,0.700365,0.101257,0.133545,1.374443,0.455506,0.008038,0.284623,,,,,,,,,,,,,24,35,102
2026-04-03T14:23:16.587915+00:00,baseline:digress,true,123,0.09126,0.080335,0.352486,0.108924,0.211323,0.651657,0.164722,0.029595,0.405106,0.000135,8.8e-05,0.000694,,,,,,,,,,,,,22.0,31.0,218.0
2026-04-03T14:23:16.588639+00:00,baseline:digress,true,456,0.048111,0.555891,0.165558,0.101381,1.022302,0.228645,0.042907,0.644587,0.267811,4.6e-05,0.000785,0.000217,,,,,,,,,,,,,22.0,31.0,218.0
2026-04-21T22:12:24.447962+00:00,baseline:digress,true,mean,0.11943066666666667,0.23947333333333334,0.43484033333333333,0.103435,0.4462083333333333,0.526889,0.102962,0.2692423333333333,0.6824533333333335,0.15189566666666668,0.0029703333333333335,0.095178,0.07252219830430466,0.22374236494136635,0.2600920071876275,0.003922042920043925,0.4096657822032764,0.21182576168162362,0.04974537717215541,0.26878010184452933,0.49251040823948306,0.2146849286129689,0.003594661442874543,0.1339579857044738,22.666666666666668,32.333333333333336,179.33333333333334
2026-04-22T07:44:13.683628+00:00,baseline:gran,true,42,0.219016,0.81882,0.814274,0.1,0.11625,0.037487,0.162538,1.215348,1.435592,0.394509,1.124861,0.969744,,,,,,,,,,,,,18,27,263
2026-04-03T14:27:12.779380+00:00,baseline:gran,true,123,0.045154,0.148921,0.22966,0.117769,0.194129,0.389598,0.017644,0.252445,0.2983,4.8e-05,0.00019,0.001082,,,,,,,,,,,,,21.0,28.0,540.0
2026-04-03T14:27:12.780120+00:00,baseline:gran,true,456,0.04309,0.152109,0.237124,0.113248,0.204198,0.421121,0.015979,0.251909,0.289168,4.1e-05,0.00022,0.001083,,,,,,,,,,,,,21.0,28.0,540.0
2026-04-22T07:44:13.683628+00:00,baseline:gran,true,mean,0.10242,0.37328333333333336,0.42701933333333336,0.110339,0.17152566666666666,0.28273533333333334,0.06538699999999999,0.573234,0.6743533333333334,0.13153266666666666,0.37509033333333336,0.32396966666666666,0.0824501281017804,0.31504468661269136,0.27384735464041926,0.0075401614041080015,0.03930136286299609,0.17389361428630887,0.06869949372448096,0.45404321642401696,0.5382899336957939,0.18595234861353296,0.5301679228762233,0.45663141021640447,20.0,27.666666666666668,447.6666666666667
2026-04-21T22:09:52.365649+00:00,baseline:graphvae,true,42,0.230851,0.169336,0.6467,0.1,0.09125,0.354306,0.188233,0.314982,1.36785,0.40432,0.101778,0.217945,,,,,,,,,,,,,11,16,36
2026-04-06T11:12:42.576672+00:00,baseline:graphvae,true,123,0.053018,0.041077,0.364095,0.103694,0.074885,0.705684,0.055321,0.048272,0.386197,4e-05,7.3e-05,0.000404,,,,,,,,,,,,,14.0,19.0,44.0
