timestamp,model,is_final,seed,fid_sd15,fid_sd20,fid_sdxl,elapsed_sd15,elapsed_sd20,fid
2026-04-14T00:00:00.000000+00:00,baseline:ddim,true,42,34.2344,28.4142,51.5227,,,
2026-04-14T00:00:00.000000+00:00,baseline:dpm2s,true,42,29.0098,23.8945,42.8336,,,
2026-04-14T00:00:00.000000+00:00,baseline:dpm3m_sde,true,42,27.9800,23.4519,39.6558,,,
2026-04-11T10:27:41+00:00,anthropic/claude-opus-4.6,false,42,642.9332,283.3893,23.4631,905,,
2026-04-11T10:44:51+00:00,anthropic/claude-opus-4.6,false,42,642.9332,283.3893,,912,,
2026-04-11T11:02:44+00:00,anthropic/claude-opus-4.6,false,42,35.4477,283.3893,,894,,
2026-04-11T11:02:44+00:00,anthropic/claude-opus-4.6,true,42,35.45,30.00,55.00,,,
2026-04-11T16:29:32+00:00,google/gemini-3.1-pro-preview,false,42,31.4701,25.5765,105.9068,949,889,
2026-04-11T17:19:31+00:00,google/gemini-3.1-pro-preview,false,42,31.1634,25.5078,,950,936,
2026-04-11T18:39:55+00:00,google/gemini-3.1-pro-preview,false,42,30.9212,25.1906,,929,954,
2026-04-11T18:39:55+00:00,google/gemini-3.1-pro-preview,true,42,30.92,25.19,45.20,,,
2026-04-20T16:58:27.943697+00:00,gpt-5.4,false,42,40.5643,35.7975,126.147,881,921,
2026-04-20T17:30:44.919154+00:00,gpt-5.4,false,42,108.9195,97.4174,,899,864,
2026-04-20T18:04:52.065152+00:00,gpt-5.4,false,42,33.3137,28.0829,,944,914,
2026-04-14T00:00:00.000000+00:00,gpt-5.4,true,42,33.3137,28.0829,52.5571,,,
2026-04-12T09:14:27+00:00,qwen/qwen3.6-plus,false,42,642.9332,642.9332,642.9332,914,864,
,qwen/qwen3.6-plus,false,42,,,,,,
,qwen/qwen3.6-plus,false,42,,,,,,
2026-04-12T09:14:27+00:00,qwen/qwen3.6-plus,true,42,642.93,642.93,642.9332,,,
2026-04-11T17:38:54+00:00,deepseek-reasoner,false,42,642.9332,642.9332,524.8604,904,854,
2026-04-11T19:48:02+00:00,deepseek-reasoner,false,42,,,,,,
2026-04-11T20:38:41+00:00,deepseek-reasoner,false,42,406.1563,407.0884,,955,894,
2026-04-11T20:38:41+00:00,deepseek-reasoner,true,42,406.16,407.09,NaN,,,
2026-05-02T15:51:16.016853+00:00,claude-opus-4-6:ctx_baseline,false,42,27.2336,22.9618,37.4902,1367,784,37.4902
2026-05-02T17:06:37.155699+00:00,claude-opus-4-6:ctx_baseline,false,42,26.6489,22.6397,36.9885,800,764,36.9885
2026-05-02T17:08:42.618992+00:00,claude-opus-4-6:ctx_baseline,false,42,,,,,,
2026-05-02T17:08:46.462825+00:00,claude-opus-4-6:ctx_baseline,true,42,26.6489,22.6397,36.9885,800,764,36.9885
2026-05-02T14:32:43.541580+00:00,gemini/gemini-3.1-pro-preview:ctx_baseline,false,42,,,,,,
2026-05-02T15:53:26.954897+00:00,gemini/gemini-3.1-pro-preview:ctx_baseline,false,42,27.8989,23.6558,38.168,1149,779,38.168
2026-05-02T17:01:51.991083+00:00,gemini/gemini-3.1-pro-preview:ctx_baseline,false,42,27.2511,23.7941,38.0299,829,749,38.0299
2026-05-02T17:02:02.623351+00:00,gemini/gemini-3.1-pro-preview:ctx_baseline,true,42,27.2511,23.7941,38.0299,829,749,38.0299
