timestamp,model,is_final,seed,val_loss_gpt-345m,wikitext2_ppl_gpt-345m,lambada_ppl_gpt-345m,elapsed_gpt-345m,arc_easy_lm-eval-345m,hellaswag_lm-eval-345m,piqa_lm-eval-345m,winogrande_lm-eval-345m,elapsed_lm-eval-345m,niah_pass_1280_niah-eval-345m,niah_rank_1280_niah-eval-345m,niah_pass_1536_niah-eval-345m,niah_rank_1536_niah-eval-345m,niah_pass_2k_niah-eval-345m,niah_rank_2k_niah-eval-345m,elapsed_niah-eval-345m
2026-04-25T09:59:10.809816+00:00,baseline:contrastive_replay,true,42,2.2694,45.66,67.1,57117,56.69,34.32,65.13,51.93,2066,0.975,1.0,0.875,1.175,0.025,1001.575,45
2026-04-25T09:59:09.798131+00:00,baseline:linear_memory,true,42,2.2715,44.24,67.25,44630,54.17,33.98,64.04,52.09,1394,1.0,1.0,0.0,470.0,0.0,2062.25,26
2026-04-25T09:58:07.263574+00:00,baseline:nested_momentum,true,42,2.2743,44.34,66.55,49912,56.06,34.09,63.44,51.78,1700,1.0,1.0,1.0,1.0,0.0,1674.175,33
2026-04-25T09:58:07.271210+00:00,baseline:titans_default,true,42,2.2723,44.02,65.59,49305,56.94,34.21,65.67,50.91,1724,1.0,1.0,0.975,1.0,0.05,10.3,30
2026-04-27T05:29:12.407038+00:00,claude-opus-4.6,false,42,2.2652,42.72,65.37,51609,56.78,34.48,65.61,50.2,1941,1.0,1.0,0.975,1.0,0.925,1.125,39
2026-04-28T00:35:23.391116+00:00,claude-opus-4.6,false,42,,,,,56.78,34.48,65.61,50.2,1942,1.0,1.0,0.975,1.0,0.925,1.125,36
2026-04-28T00:35:30.654116+00:00,claude-opus-4.6,true,42,2.2652,42.72,65.37,51609,56.78,34.48,65.61,50.2,1941,1.0,1.0,0.975,1.0,0.925,1.125,39
2026-04-27T09:37:28.730779+00:00,qwen3.6-plus,false,42,2.275,43.09,65.85,56524,56.48,34.25,64.2,51.85,2262,1.0,1.0,1.0,1.0,0.325,3066.825,46
2026-04-27T09:37:42.203654+00:00,qwen3.6-plus,true,42,2.275,43.09,65.85,56524,56.48,34.25,64.2,51.85,2262,1.0,1.0,1.0,1.0,0.325,3066.825,46
2026-04-28T01:18:23.782684+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,2.2693,44.1,67.27,50478,56.06,34.27,63.76,51.46,2117,1.0,1.0,1.0,1.0,0.0,117.525,33
2026-04-28T01:18:57.979651+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,true,42,2.2693,44.1,67.27,50478,56.06,34.27,63.76,51.46,2117,1.0,1.0,1.0,1.0,0.0,117.525,33
