timestamp,model,is_final,seed,normalized_score_mon_hum_neu,normalized_score_val_hum_neu,normalized_score_ran_hum_neu,normalized_score_mon_hum_neu_std,normalized_score_val_hum_neu_std,normalized_score_ran_hum_neu_std,elapsed_mon-hum-neu,elapsed_val-hum-neu,elapsed_ran-hum-neu,elapsed_mon-hum-neu_std,elapsed_val-hum-neu_std,elapsed_ran-hum-neu_std
2026-04-03T02:43:25.022636+00:00,baseline:bc,true,42,0.028816,0.021241,,,,,31462,31647,,,,
2026-04-03T02:43:25.025448+00:00,baseline:bc,true,123,0.01386,,,,,,31462,,,,,
2026-04-03T02:43:25.025998+00:00,baseline:bc,true,456,0.020419,,,,,,31647,,,,,
2026-04-03T02:43:25.026639+00:00,baseline:bc,true,mean,0.021031666666666667,0.021241,,0.007496799606054129,,,31523.666666666668,31647.0,,106.80979980008077,,
2026-04-03T03:24:25.102727+00:00,baseline:iql,true,42,0.041438,0.01523,0.069861,,,,32140,32508,32184,,,
2026-04-03T03:24:25.103224+00:00,baseline:iql,true,123,0.0064,0.01893,0.069507,,,,32140,32049,32184,,,
2026-04-03T03:24:25.103825+00:00,baseline:iql,true,456,0.023521,0.030264,0.060136,,,,32508,32184,0,,,
2026-04-03T03:24:25.104173+00:00,baseline:iql,true,mean,0.023786333333333333,0.021474666666666666,0.06650133333333333,0.017520506908572406,0.00783337636867611,0.005515381250043676,32262.666666666668,32247.0,21456.0,212.4648990617823,235.89616359746083,18581.441063598915
2026-04-03T17:43:11.748965+00:00,baseline:cql,true,42,,,0.001388,,,,,,32457,,,
2026-04-03T17:43:11.829556+00:00,baseline:cql,true,123,,0.000743,0.000716,,,,,32457,32457,,,
2026-04-03T17:43:11.829975+00:00,baseline:cql,true,456,,3.9e-05,7.7e-05,,,,,32457,0,,,
2026-04-03T17:43:11.830263+00:00,baseline:cql,true,mean,,0.00039099999999999996,0.000727,,0.0004978031739553294,0.0006555692183133677,,32457.0,21638.0,,0.0,18739.057687087683
2026-04-03T17:47:12.279977+00:00,baseline:bc,true,42,,,0.097653,,,,,,32703,,,
2026-04-03T17:47:12.280668+00:00,baseline:bc,true,123,,0.018505,0.082697,,,,,32673,32703,,,
2026-04-03T17:47:12.281988+00:00,baseline:bc,true,456,,0.013149,0.062477,,,,,32703,0,,,
2026-04-03T17:47:12.289644+00:00,baseline:bc,true,mean,,0.015827,0.08094233333333334,,0.0037872639200351495,0.017653523312170107,,32688.0,21802.0,,21.213203435596427,18881.08585330833
2026-04-03T18:29:11.226449+00:00,baseline:iql,true,42,,,0.109591,,,,,,33448,,,
2026-04-03T18:29:11.227032+00:00,baseline:iql,true,123,,0.007281,0.068701,,,,,33414,33448,,,
2026-04-03T18:29:11.227411+00:00,baseline:iql,true,456,,0.017121,0.051061,,,,,33414,0,,,
2026-04-03T18:29:11.227642+00:00,baseline:iql,true,mean,,0.012201,0.07645099999999999,,0.0069579307268756285,0.030024774770179372,,33414.0,22298.666666666668,,0.0,19311.211803854603
2026-04-04T12:21:23.057339+00:00,baseline:cql,true,42,0.000442,0.00038,,,,,12963,12966,,,,
2026-04-04T12:21:23.057865+00:00,baseline:cql,true,123,0.000198,,,,,,12966,,,,,
2026-04-04T12:21:23.058297+00:00,baseline:cql,true,456,0.000102,,,,,,12966,,,,,
2026-04-04T12:21:23.058537+00:00,baseline:cql,true,mean,0.00024733333333333335,0.00038,,0.0001752864322568445,,,12965.0,12966.0,,1.7320508075688772,,
2026-04-08T09:41:11.348792+00:00,google/gemini-3.1-pro-preview,false,42,,0.009811,0.04968,,,,648,34780,25821,,,
2026-04-08T09:41:11.349565+00:00,google/gemini-3.1-pro-preview,false,123,,,0.056911,,,,648,555,26156,,,
2026-04-08T09:41:11.352507+00:00,google/gemini-3.1-pro-preview,false,456,,,0.050707,,,,765,555,35488,,,
2026-04-08T09:41:11.353008+00:00,google/gemini-3.1-pro-preview,false,mean,,0.009811,0.05243266666666667,,,0.003912196867916202,687.0,11963.333333333334,29155.0,67.54998149518622,19759.81296301494,5487.09604435716
2026-04-08T12:13:16.551131+00:00,qwen3.6-plus,false,42,,,,,,,735,760,612,,,
2026-04-08T12:13:16.551932+00:00,qwen3.6-plus,false,123,,,,,,,735,612,612,,,
2026-04-08T12:13:16.552353+00:00,qwen3.6-plus,false,456,,,,,,,760,612,409,,,
2026-04-08T12:13:16.552731+00:00,qwen3.6-plus,false,mean,,,,,,,743.3333333333334,661.3333333333334,544.3333333333334,14.433756729740644,85.44783984006462,117.20210464549403
2026-04-23T12:57:00.909009+00:00,qwen3.6-plus,false,42,,,,,,,,,,,,
2026-04-23T12:57:00.910001+00:00,qwen3.6-plus,false,123,,,,,,,,,,,,
2026-04-23T12:57:00.911194+00:00,qwen3.6-plus,false,456,,,,,,,,,,,,
2026-04-24T10:11:14.459879+00:00,claude-opus-4.6,false,42,,,,,,,,,,,,
2026-04-24T10:11:14.461831+00:00,claude-opus-4.6,false,123,,,,,,,,,,,,
2026-04-24T10:11:14.462441+00:00,claude-opus-4.6,false,456,,,,,,,,,,,,
2026-04-24T10:11:31.670697+00:00,qwen3.6-plus,false,42,,,,,,,,,,,,
2026-04-24T10:11:31.672437+00:00,qwen3.6-plus,false,123,,,,,,,,,,,,
2026-04-24T10:11:31.674180+00:00,qwen3.6-plus,false,456,,,,,,,,,,,,
2026-04-24T10:11:41.379671+00:00,deepseek-reasoner,false,42,,,,,,,,,,,,
2026-04-24T10:11:41.380666+00:00,deepseek-reasoner,false,123,,,,,,,,,,,,
2026-04-24T10:11:41.383130+00:00,deepseek-reasoner,false,456,,,,,,,,,,,,
2026-04-24T10:11:46.701089+00:00,gemini-3.1-pro-preview,false,42,,,,,,,,,,,,
2026-04-24T10:11:46.702149+00:00,gemini-3.1-pro-preview,false,123,,,,,,,,,,,,
2026-04-24T10:11:46.709172+00:00,gemini-3.1-pro-preview,false,456,,,,,,,,,,,,
2026-04-24T18:13:33.949432+00:00,gpt-5.4,false,42,0.008973,0.013137,0.063143,,,,83806,83806,74499,,,
2026-04-24T18:13:33.950366+00:00,gpt-5.4,false,123,0.006296,0.003765,0.04233,,,,83806,74095,74499,,,
2026-04-24T18:13:33.950919+00:00,gpt-5.4,false,456,0.015404,0.010556,0.071106,,,,83806,74196,63629,,,
