timestamp,model,is_final,seed,pass_at_1_deepseek,passed_deepseek,total_deepseek,elapsed_humaneval-4-deepseek,pass_at_1_qwen,passed_qwen,total_qwen,elapsed_humaneval-4-qwen,srdd_exec_rate,srdd_passed,srdd_total,mean_loc,elapsed_srdd-4-deepseek
2026-04-20T03:26:55.993361+00:00,qwen3.6-plus,false,42,0.7576,25,33,5482.3,0.6364,21,33,3931.4,0.0,0,20,93.2,9985.3
2026-04-20T12:02:26.797353+00:00,qwen3.6-plus,false,42,0.8788,29,33,8686.4,0.697,23,33,4859.6,0.0,0,20,18.3,11855.5
2026-04-20T18:36:18.541905+00:00,qwen3.6-plus,false,42,0.8485,28,33,7549.6,0.7576,25,33,4454.7,0.0,0,20,68.8,11461.3
2026-04-20T18:36:50.870429+00:00,qwen3.6-plus,true,42,0.8485,28,33,7549.6,0.7576,25,33,4454.7,0.0,0,20,68.8,11461.3
2026-04-21T02:20:44.544835+00:00,claude-opus-4.6,false,42,0.8485,28,33,9822.0,0.7273,24,33,4741.1,0.0,0,20,17.4,11707.8
2026-04-21T09:24:50.630262+00:00,claude-opus-4.6,false,42,0.7576,25,33,7644.5,0.6667,22,33,5963.0,0.0,0,20,24.4,11816.1
2026-04-21T14:43:25.904000+00:00,gpt-5.4,false,42,0.6364,21,33,9774.3,0.7879,26,33,6040.6,0.0,0,20,15.3,11863.0
2026-04-21T15:18:01.136844+00:00,claude-opus-4.6,false,42,0.7273,24,33,6650.7,0.7879,26,33,3949.8,0.1,2,20,79.8,10573.1
2026-04-21T15:18:10.373257+00:00,claude-opus-4.6,true,42,0.7273,24,33,6650.7,0.7879,26,33,3949.8,0.1,2,20,79.8,10573.1
2026-04-21T21:55:51.465010+00:00,gpt-5.4,false,42,0.697,23,33,9321.0,0.697,23,33,4843.0,0.05,1,20,41.1,11769.1
2026-04-21T21:55:54.444863+00:00,gpt-5.4,true,42,0.697,23,33,9321.0,0.697,23,33,4843.0,0.05,1,20,41.1,11769.1
2026-04-22T05:38:50.692554+00:00,baseline:chain,true,42,0.6667,22,33,4632.7,0.6061,20,33,3471.1,0.05,1,20,150.7,9393.2
2026-04-22T12:28:24.504185+00:00,baseline:star,true,42,0.7576,25,33,7384.0,0.7576,25,33,6847.5,0.15,3,20,40.0,10247.0
2026-04-22T13:56:24.125527+00:00,baseline:layered,true,42,0.697,23,33,9125.9,0.697,23,33,9341.5,0.05,1,20,12.5,11285.8
2026-04-20T12:03:56.376566+00:00,deepseek-reasoner,false,42,0.7576,25,33,8493.9,0.7576,25,33,4734.5,0.0,0,20,28.4,11775.3
2026-04-20T19:05:25.853493+00:00,deepseek-reasoner,false,42,0.7879,26,33,9300.3,0.7273,24,33,4478.0,0.1,2,20,58.2,11415.4
2026-04-21T01:05:55.159531+00:00,deepseek-reasoner,false,42,0.8485,28,33,6643.6,0.697,23,33,3857.3,0.0,0,20,95.0,11063.8
2026-04-21T01:06:34.201301+00:00,deepseek-reasoner,true,42,0.7879,26,33,9300.3,0.7273,24,33,4478.0,0.1,2,20,58.2,11415.4
2026-04-21T08:03:15.951700+00:00,gemini-3.1-pro-preview,false,42,0.7273,24,33,8263.5,0.7273,24,33,4758.8,0.05,1,20,49.6,11385.0
2026-04-21T15:08:19.244692+00:00,gemini-3.1-pro-preview,false,42,0.9091,30,33,8575.7,0.6061,20,33,5298.5,0.0,0,20,72.7,11517.9
2026-04-21T21:29:50.187895+00:00,gemini-3.1-pro-preview,false,42,0.7576,25,33,8598.1,0.697,23,33,3478.9,0.15,3,20,95.2,10592.9
2026-04-21T21:29:59.684154+00:00,gemini-3.1-pro-preview,true,42,0.7576,25,33,8598.1,0.697,23,33,3478.9,0.15,3,20,95.2,10592.9
