timestamp,model,is_final,seed,final_score_longbench-hotpotqa,final_score_longbench-passage-retrieval,final_score_longbench-repobench,final_score_needlebench-niah,final_score_gsm8k,effective_kv_bits_longbench-hotpotqa,effective_kv_bits_longbench-passage-retrieval,effective_kv_bits_longbench-repobench,effective_kv_bits_needlebench-niah,effective_kv_bits_gsm8k,kv_compression_ratio_longbench-hotpotqa,kv_compression_ratio_longbench-passage-retrieval,kv_compression_ratio_longbench-repobench,kv_compression_ratio_needlebench-niah,kv_compression_ratio_gsm8k,runtime_seconds_longbench-hotpotqa,runtime_seconds_longbench-passage-retrieval,runtime_seconds_longbench-repobench,runtime_seconds_needlebench-niah,runtime_seconds_gsm8k,elapsed_longbench-hotpotqa,elapsed_longbench-passage-retrieval,elapsed_longbench-repobench,elapsed_needlebench-niah,elapsed_gsm8k
2026-04-22T22:56:51.662120+00:00,baseline:kivi_overlap_4bit,true,42,37.684238,61.083333,47.71,65.306122,31.842305,4.1875,4.1875,4.1875,4.1875,4.1875,3.820896,3.820896,3.820896,3.820896,3.820896,830.2,747.9,1970.7,732.4,13460.6,830.2,747.9,1970.7,732.4,13460.6
2026-04-22T22:56:51.662120+00:00,baseline:kvtuner4_pertoken_qwen25_3b,true,42,39.470331,56.633333,43.743333,53.741497,43.517817,3.638889,3.638889,3.638889,3.638889,3.638889,4.396947,4.396947,4.396947,4.396947,4.396947,514.2,469.8,1121.2,588.9,12877.6,514.2,469.8,1121.2,588.9,12877.6
2026-04-22T22:56:51.662120+00:00,baseline:kvtuner4_kivi_qwen25_3b,true,42,35.77662,57.111111,46.02,64.62585,34.723275,3.166667,3.166667,3.166667,3.166667,3.166667,5.052632,5.052632,5.052632,5.052632,5.052632,580.3,514.2,1294.4,600.9,12658.3,580.3,514.2,1294.4,600.9,12658.3
2026-04-24T05:37:11+00:00,baseline:squat_subspace_4bit,true,42,36.532065,59.964286,46.48,65.306122,31.76649,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1392.7,1348.5,2742.0,1563.3,29152.6,1392.7,1348.5,2742.0,1563.3,29152.6
2026-05-02T09:48:30.562139+00:00,gemini/gemini-3.1-pro-preview,false,42,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-02T10:07:33.741150+00:00,baseline:kivi_overlap_4bit,false,42,36.877046,61.861111,47.533333,,31.842305,4.1875,4.1875,4.1875,,4.1875,3.820896,3.820896,3.820896,,3.820896,313.633125,287.041795,691.579272,,7342.643594,323,296,700,8,7351
2026-05-02T11:39:43.523214+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,36.994134,60.956349,46.643333,51.020408,35.55724,4.140625,4.140625,4.140625,4.140625,4.140625,3.864151,3.864151,3.864151,3.864151,3.864151,335.00074,307.476529,761.34815,390.607173,8085.967147,344,316,770,399,8094
2026-05-02T12:00:43.720444+00:00,claude-opus-4-6,false,42,36.276767,55.973557,42.143333,24.489796,1.743745,4.09375,4.09375,4.09375,4.046875,4.046875,3.908397,3.908397,3.908397,3.953668,3.953668,364.555745,335.929025,862.648446,408.593094,8425.838774,374,344,871,416,8434
2026-05-02T13:07:26.969310+00:00,openai/gpt-5.4,false,42,36.675692,58.361111,47.656667,65.306122,30.25019,3.480089,3.480089,3.480089,3.480089,3.250597,4.597584,4.597584,4.597584,4.597584,4.922173,634.715185,600.775682,1457.271895,744.057743,14658.796494,644,610,1466,753,14668
2026-05-02T14:08:17.370019+00:00,qwen3.6-plus,false,42,,,,,2.956785,,,,,4.408339,,,,,3.629485,,,,,14335.153359,,,,,14344
2026-05-02T15:09:57.083016+00:00,gemini/gemini-3.1-pro-preview,false,42,38.335399,61.333333,47.91,65.306122,33.58605,4.375,4.375,4.375,4.09375,4.09375,3.657143,3.657143,3.657143,3.908397,3.908397,483.199586,450.979447,1073.844229,583.987034,12282.328522,492,458,1081,592,12292
2026-05-02T15:43:34.869381+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,36.994134,60.956349,46.643333,51.020408,35.55724,4.140625,4.140625,4.140625,4.140625,4.140625,3.864151,3.864151,3.864151,3.864151,3.864151,336.881205,312.090579,755.945017,390.421408,8077.328657,346,321,764,400,8086
