timestamp,model,is_final,seed,asr_ResNet20_C10,asr_VGG11BN_C10,asr_MobileNetV2_C10,asr_ResNet20_C100,asr_VGG11BN_C100,asr_MobileNetV2_C100,elapsed_VGG11BN-C10,elapsed_MobileNetV2-C10,elapsed_ResNet20-C100,elapsed_VGG11BN-C100,elapsed_MobileNetV2-C100,elapsed_ResNet20-C10
2026-04-24T09:49:28.126265+00:00,baseline:autoattack,true,42,0.991,0.715,1.0,0.989,0.735,0.978,252,82.7,705,736,410,232
2026-04-24T09:42:28.730951+00:00,baseline:fgsm,true,42,0.825,0.617,0.878,0.839,0.621,0.825,8,,8,8,6,8
2026-04-24T09:44:46.721605+00:00,baseline:mifgsm,true,42,0.981,0.714,0.999,0.984,0.72,0.967,8,,8,9,9,8
2026-04-24T09:42:39.000830+00:00,baseline:pgd,true,42,0.992,0.72,,0.988,0.736,0.975,8,6628.4,9,9,9,8
2026-04-25T06:48:27.342388+00:00,anthropic/claude-opus-4.6,false,42,0.995,0.732,,0.991,0.758,0.985,130,,122,122,214,127
2026-04-25T08:08:18.947306+00:00,anthropic/claude-opus-4.6,false,42,,0.732,,,0.76,0.986,350,,7,352,783,8
2026-04-25T09:13:02.165866+00:00,anthropic/claude-opus-4.6,false,42,0.996,,,0.991,,,174,,261,261,8,174
2026-04-25T09:13:17.600791+00:00,anthropic/claude-opus-4.6,true,42,0.995,0.732,,0.991,0.758,0.985,130,,122,122,214,127
2026-04-25T05:26:43.149812+00:00,deepseek-reasoner,false,42,0.817,0.521,,0.898,0.547,0.858,16,,15,15,21,16
2026-04-25T06:12:18.080963+00:00,deepseek-reasoner,false,42,0.992,0.723,,0.989,0.742,0.977,11,,12,12,20,11
2026-04-25T07:21:40.433845+00:00,deepseek-reasoner,false,42,0.987,0.725,,0.988,0.739,0.977,14,,15,15,20,14
2026-04-25T07:21:47.921506+00:00,deepseek-reasoner,true,42,0.992,0.723,,0.989,0.742,0.977,11,,12,12,20,11
2026-04-25T06:26:53.761030+00:00,google/gemini-3.1-pro-preview,false,42,0.995,0.73,,0.991,0.755,0.984,84,,104,104,163,64
2026-04-25T07:38:17.422939+00:00,google/gemini-3.1-pro-preview,false,42,,,,,,,,,,,,
2026-04-25T08:35:51.637544+00:00,google/gemini-3.1-pro-preview,false,42,,,,,,,,,,,,
2026-04-25T08:36:15.512864+00:00,google/gemini-3.1-pro-preview,true,42,0.995,0.73,,0.991,0.755,0.984,84,,104,104,163,64
2026-04-25T05:26:30.222229+00:00,qwen/qwen3.6-plus,false,42,0.994,0.725,,0.989,0.749,0.983,15,,15,15,23,15
2026-04-25T06:26:03.720134+00:00,qwen/qwen3.6-plus,false,42,0.949,0.664,,0.968,0.689,0.95,28,,27,27,36,28
2026-04-25T07:38:12.214263+00:00,qwen/qwen3.6-plus,false,42,0.38,0.186,,0.558,0.236,0.499,25,,24,24,39,25
2026-04-25T07:38:27.896381+00:00,qwen/qwen3.6-plus,true,42,0.994,0.725,,0.989,0.749,0.983,15,,15,15,23,15
2026-04-28T12:11:16.638606+00:00,openai/gpt-5.4,false,42,0.988,0.723,,0.987,0.734,0.975,10,,11,11,15,10
2026-04-28T12:29:16.288365+00:00,openai/gpt-5.4,false,42,0.993,0.727,,0.99,0.74,0.981,16,,17,17,22,16
2026-04-28T12:29:28.606832+00:00,openai/gpt-5.4,true,42,0.993,0.727,,0.99,0.74,0.981,16,,17,17,22,16
