timestamp,model,is_final,seed,success_rate_tool_hang_ph,success_rate_can_ph,success_rate_square_ph,elapsed_square_ph,elapsed_tool_hang_ph,elapsed_can_ph,success_rate_tool_hang_ph_std,success_rate_can_ph_std,success_rate_square_ph_std,elapsed_can_ph_std,elapsed_square_ph_std,elapsed_tool_hang_ph_std
2026-04-19T20:16:41.262568+00:00,baseline:default,true,42,0.04,0.92,0.58,14662,25217,11629,,,,,,
2026-04-19T20:16:41.266638+00:00,baseline:default,true,123,0.06,0.9,0.64,,25217,11647,,,,,,
2026-04-19T20:16:41.267694+00:00,baseline:default,true,456,0.1,0.96,0.52,,25217,11758,,,,,,
2026-04-19T20:16:41.267694+00:00,baseline:default,true,mean,0.06666666666666667,0.9266666666666667,0.58,14662.0,25217.0,11678.0,0.024944382578492946,0.024944382578492918,0.04898979485566356,,,
2026-04-19T20:20:42.293274+00:00,baseline:huber_pinball,true,42,0.02,0.94,0.64,14313,24713,11911,,,,,,
2026-04-19T20:20:42.297001+00:00,baseline:huber_pinball,true,123,0.06,0.88,0.68,14626,25041,12134,,,,,,
2026-04-19T20:20:42.298107+00:00,baseline:huber_pinball,true,456,0.08,0.92,0.56,14710,25041,12134,,,,,,
2026-04-19T20:20:42.298107+00:00,baseline:huber_pinball,true,mean,0.05333333333333334,0.9133333333333334,0.6266666666666667,14549.666666666666,24931.666666666668,12059.666666666666,0.024944382578492942,0.024944382578492925,0.04988876515698588,,,
2026-04-19T20:54:17.247112+00:00,baseline:quantile_regression,true,42,0.04,0.94,0.52,,24940,11334,,,,,,
2026-04-19T20:54:17.252159+00:00,baseline:quantile_regression,true,123,0.02,0.88,0.66,,25150,12046,,,,,,
2026-04-19T20:54:17.253291+00:00,baseline:quantile_regression,true,456,0.04,0.92,0.62,,25150,12046,,,,,,
2026-04-19T20:54:17.253291+00:00,baseline:quantile_regression,true,mean,0.03333333333333333,0.9133333333333334,0.6,,25080.0,11808.666666666666,0.009428090415820633,0.024944382578492925,0.058878405775518984,,,
2026-04-21T16:03:51.604850+00:00,claude-opus-4.6,false,42,0.06,0.96,0.68,14904,24949,11538,,,,,,
2026-04-21T16:03:51.608738+00:00,claude-opus-4.6,false,123,0.04,0.92,0.64,14904,25057,11935,,,,,,
2026-04-21T16:03:51.610244+00:00,claude-opus-4.6,false,456,0.1,0.92,0.66,14904,25057,11935,,,,,,
2026-04-21T16:03:51.611704+00:00,claude-opus-4.6,false,mean,0.06666666666666667,0.9333333333333333,0.66,14904.0,25021.0,11802.666666666666,0.030550504633038936,0.023094010767584987,0.020000000000000018,229.20805686828143,0.0,62.353829072479584
2026-04-21T18:34:44.652628+00:00,claude-opus-4.6,false,42,0.06,0.96,0.68,14904,24949,11538,,,,,,
2026-04-21T18:34:44.657767+00:00,claude-opus-4.6,false,123,0.04,0.92,0.64,14904,25057,11935,,,,,,
2026-04-21T18:34:44.659123+00:00,claude-opus-4.6,false,456,0.1,0.92,0.66,14904,25057,11935,,,,,,
2026-04-21T18:34:44.660512+00:00,claude-opus-4.6,false,mean,0.06666666666666667,0.9333333333333333,0.66,14904.0,25021.0,11802.666666666666,0.030550504633038936,0.023094010767584987,0.020000000000000018,229.20805686828143,0.0,62.353829072479584
2026-04-25T14:15:38.630447+00:00,claude-opus-4.6,false,42,,0.96,0.62,17465,10,13249,,,,,,
2026-04-25T14:15:38.635007+00:00,claude-opus-4.6,false,123,,0.92,0.62,17465,10,13354,,,,,,
2026-04-25T14:15:38.636799+00:00,claude-opus-4.6,false,456,,0.92,0.54,17465,10,13354,,,,,,
2026-04-25T14:15:38.638552+00:00,claude-opus-4.6,false,mean,,0.9333333333333333,0.5933333333333334,17465.0,10.0,13319.0,,0.023094010767584987,0.046188021535170036,60.6217782649107,0.0,0.0
2026-04-25T14:15:42.277151+00:00,claude-opus-4.6,true,42,0.06,0.96,0.68,14904,24949,11538,,,,,,
2026-04-25T14:15:42.279862+00:00,claude-opus-4.6,true,123,0.04,0.92,0.64,14904,25057,11935,,,,,,
2026-04-25T14:15:42.281681+00:00,claude-opus-4.6,true,456,0.1,0.92,0.66,14904,25057,11935,,,,,,
2026-04-25T14:15:42.283459+00:00,claude-opus-4.6,true,mean,0.06666666666666667,0.9333333333333333,0.66,14904.0,25021.0,11802.666666666666,0.030550504633038936,0.023094010767584987,0.020000000000000018,229.20805686828143,0.0,62.353829072479584
2026-04-21T16:03:53.901940+00:00,deepseek-reasoner,false,42,0.08,0.94,0.66,15299,24873,11988,,,,,,
