timestamp,model,is_final,seed,meta_test_return_point_robot,elapsed_point-robot,meta_test_return_cheetah_vel,elapsed_cheetah-vel,meta_test_return_sparse_point_robot,elapsed_sparse-point-robot,meta_test_return_sparse_point_robot_std,meta_test_return_point_robot_std
2026-04-08T19:26:21.137222+00:00,baseline:focal,true,42,-13.7692,1357.7,-80.646,964.5,0.0,1583.8,,
2026-04-08T19:33:08.172235+00:00,baseline:focal,true,123,-11.2039,775.9,-74.317,943.6,0.7,1775.4,,
2026-04-09T01:29:34.857485+00:00,baseline:focal,true,456,-13.6124,550.4,-120.806,923.4,0.0,1790.5,,
2026-04-09T01:29:34.857485+00:00,baseline:focal,true,mean,-12.861833333333331,894.6666666666666,-91.923,943.8333333333334,0.2333333333333333,1716.5666666666666,0.3299831645537222,1.1740822695005466
2026-04-08T18:34:03.315804+00:00,baseline:pearl,true,42,-12.554,1159.8,-58.2,1537.9,1.3349,2511.6,,
2026-04-08T18:42:06.250053+00:00,baseline:pearl,true,123,-19.7163,1855.7,-63.567,1430.0,5.8939,2567.5,,
2026-04-08T18:53:36.108902+00:00,baseline:pearl,true,456,-14.1348,1164.9,-72.135,1497.3,9.2439,2521.6,,
2026-04-08T18:53:36.108902+00:00,baseline:pearl,true,mean,-15.468366666666668,1393.4666666666665,-64.634,1488.3999999999999,5.4909,2533.5666666666666,3.241386226087022,3.072288545838247
2026-04-08T20:16:42.339218+00:00,baseline:varibad,true,42,-12.6135,670.9,-67.8636,1010.3,0.0,2606.7,,
2026-04-08T20:25:36.598931+00:00,baseline:varibad,true,123,-10.2066,695.5,-86.7194,1046.6,0.0,2583.7,,
2026-04-08T20:27:01.740640+00:00,baseline:varibad,true,456,-14.6631,722.3,-53.7086,1012.6,0.0,2578.4,,
2026-04-08T20:27:01.740640+00:00,baseline:varibad,true,mean,-12.494399999999999,696.2333333333332,-69.43053333333333,1023.1666666666666,0.0,2589.6,0.0,1.8213066133959983
2026-04-08T19:00:20+00:00,anthropic/claude-opus-4.6,false,42,-14.165,909,-64.1441,1225,4.8499,1389,,
2026-04-08T19:00:20+00:00,anthropic/claude-opus-4.6,false,123,-11.1603,878,-74.8514,1175,0.2561,1397,,
2026-04-08T19:00:20+00:00,anthropic/claude-opus-4.6,false,456,-15.4107,866,-67.1872,1412,4.8756,1424,,
2026-04-09T01:05:10+00:00,anthropic/claude-opus-4.6,false,42,-15.3263,1143,-70.8652,1544,0.0,1842,,
2026-04-08T20:42:16+00:00,deepseek-reasoner,false,42,-22.4277,372,-277.3167,654,0.0,995,,
2026-04-09T02:44:37+00:00,deepseek-reasoner,true,42,-22.4277,381,-277.4182,671,0.0,992,,
2026-04-09T02:44:37+00:00,deepseek-reasoner,true,123,-22.4302,399,-276.7664,659,0.0,1007,,
2026-04-09T02:44:37+00:00,deepseek-reasoner,true,456,-22.4291,391,-277.2363,679,0.0,978,,
2026-04-08T19:07:53+00:00,openai/gpt-5.4-pro,false,42,-11.7741,617,-74.7118,1012,0.0,1234,,
2026-04-08T19:07:53+00:00,openai/gpt-5.4-pro,false,123,-15.4591,616,-52.6366,951,0.0,1293,,
2026-04-08T19:07:53+00:00,openai/gpt-5.4-pro,false,456,-9.803,691,-87.6064,966,0.0,1326,,
2026-04-09T02:07:46+00:00,openai/gpt-5.4-pro,true,42,-11.9338,549,-80.0937,913,1.0453,1114,,
2026-05-03T09:04:12.801814+00:00,anthropic/claude-opus-4.6,true,42,-14.165,909,-64.1441,1225,4.8499,1389,,
2026-05-03T09:04:12.802814+00:00,anthropic/claude-opus-4.6,true,123,-11.1603,878,-74.8514,1175,0.2561,1397,,
2026-05-03T09:04:12.803814+00:00,anthropic/claude-opus-4.6,true,456,-15.4107,866,-67.1872,1412,4.8756,1424,,
