timestamp,model,is_final,seed,r2_sld_vocab,mae_sld_vocab,rmse_sld_vocab,nmae_sld_vocab,elapsed_sld-vocab,r2_sld_lrbsz,mae_sld_lrbsz,rmse_sld_lrbsz,nmae_sld_lrbsz,elapsed_sld-lrbsz,r2_sld_dataconstrained,mae_sld_dataconstrained,rmse_sld_dataconstrained,nmae_sld_dataconstrained,elapsed_sld-dataconstrained
2026-04-21T12:16:09.596017+00:00,baseline:kernel_ridge,true,42,-0.567249,1.038254,1.058624,1.22781,3,-413.696844,0.619399,0.777352,16.22626,3,-13.419349,1.616057,2.105668,2.914336,3
2026-04-21T12:16:10.488991+00:00,baseline:xgboost,true,42,0.981425,0.090724,0.11525,0.107287,3,-1.404599,0.053722,0.059193,1.407332,3,0.856767,0.183343,0.209865,0.330634,3
2026-04-21T12:16:18.566979+00:00,baseline:sldagent_style,true,42,0.928527,0.1698,0.226071,0.200801,3,-3.051903,0.062853,0.076839,1.646534,11,0.929155,0.134619,0.147595,0.242767,2
2026-04-24T07:31:49.384350+00:00,baseline:human_exact,true,42,0.928503,0.168489,0.226109,0.199251,11,-0.04977,0.033359,0.039111,0.873888,5,0.54993,0.302833,0.372012,0.546117,2
2026-04-24T16:36:39.513169+00:00,google/gemini-3.1-pro-preview,false,42,0.928503,0.168488,0.226108,0.199249,42,0.187911,0.028211,0.0344,0.739042,39,0.94282,0.122231,0.132599,0.220426,3
2026-04-24T16:36:48.792178+00:00,deepseek-reasoner,false,42,0.928504,0.168485,0.226106,0.199246,11,0.194504,0.02904,0.03426,0.760754,17,0.693611,0.269134,0.30694,0.485346,2
2026-04-24T16:37:40.629057+00:00,openai/gpt-5.4,false,42,0.98115,0.091041,0.116098,0.107663,3,0.025595,0.031544,0.037681,0.826348,14,0.950084,0.11887,0.12389,0.214366,3
2026-04-24T16:38:00.536334+00:00,deepseek-reasoner,false,42,0.928504,0.168485,0.226106,0.199246,11,-3.279229,0.064671,0.078965,1.694167,20,0.693611,0.269134,0.30694,0.485347,2
2026-04-24T16:39:10.976254+00:00,deepseek-reasoner,false,42,0.928504,0.168485,0.226106,0.199246,16,0.194399,0.029042,0.034262,0.760817,10,0.693612,0.269134,0.30694,0.485346,2
2026-04-24T16:39:20.902028+00:00,deepseek-reasoner,true,42,0.928504,0.168485,0.226106,0.199246,11,0.194504,0.02904,0.03426,0.760754,17,0.693611,0.269134,0.30694,0.485346,2
2026-04-24T16:40:01.309652+00:00,openai/gpt-5.4,false,42,0.98115,0.091041,0.116098,0.107663,3,-0.09767,0.033425,0.039993,0.875619,31,0.950084,0.11887,0.12389,0.214366,2
2026-04-24T16:40:39.061071+00:00,google/gemini-3.1-pro-preview,false,42,0.984758,0.088564,0.104398,0.104734,102,-0.446323,0.039241,0.045908,1.027975,59,0.944629,0.123081,0.130484,0.22196,6
2026-04-24T16:40:39.597728+00:00,qwen/qwen3.6-plus,false,42,0.929212,0.16751,0.224984,0.198093,52,-0.010974,0.03273,0.038382,0.857428,13,0.833869,0.199162,0.226018,0.359161,2
2026-04-24T16:41:08.229233+00:00,openai/gpt-5.4,false,42,0.98115,0.091041,0.116098,0.107663,2,0.025595,0.031544,0.037681,0.826348,9,0.950084,0.11887,0.12389,0.214366,2
2026-04-24T16:41:12.680887+00:00,openai/gpt-5.4,true,42,0.98115,0.091041,0.116098,0.107663,2,0.025595,0.031544,0.037681,0.826348,9,0.950084,0.11887,0.12389,0.214366,2
2026-04-24T16:45:09.373058+00:00,anthropic/claude-opus-4.6,false,42,0.929533,0.167454,0.224474,0.198026,37,0.048623,0.030867,0.037233,0.808628,98,0.549911,0.302835,0.37202,0.546121,2
2026-04-24T16:50:10.292175+00:00,qwen/qwen3.6-plus,false,42,0.929212,0.16751,0.224984,0.198093,55,-1.787008,0.053548,0.063727,1.402792,68,,,,,2
2026-04-24T16:50:31.507250+00:00,google/gemini-3.1-pro-preview,false,42,0.984758,0.088564,0.104398,0.104734,469,-0.792796,0.038139,0.051111,0.999123,229,0.945514,0.121483,0.129438,0.219078,16
2026-04-24T16:52:09.266421+00:00,google/gemini-3.1-pro-preview,true,42,0.928503,0.168488,0.226108,0.199249,42,0.187911,0.028211,0.0344,0.739042,39,0.94282,0.122231,0.132599,0.220426,3
2026-04-24T16:53:30.266017+00:00,anthropic/claude-opus-4.6,false,42,0.929533,0.167454,0.224474,0.198026,35,0.361448,0.02533,0.030504,0.663567,152,0.753116,0.253746,0.275527,0.457595,3
2026-04-24T17:10:36.433988+00:00,anthropic/claude-opus-4.6,false,42,0.929533,0.167454,0.224474,0.198026,26,0.361424,0.025331,0.030504,0.663584,745,0.753116,0.253746,0.275527,0.457595,3
2026-04-24T17:10:57.213568+00:00,anthropic/claude-opus-4.6,true,42,0.929533,0.167454,0.224474,0.198026,35,0.361448,0.02533,0.030504,0.663567,152,0.753116,0.253746,0.275527,0.457595,3
2026-05-03T08:07:37.049473+00:00,qwen/qwen3.6-plus,false,42,,,,,,,,,,,,,,,
