timestamp,model,is_final,seed,fid_sd15,fid_sd20,fid_sdxl,elapsed_sd15,elapsed_sd20,clip_score_sd20,clip_score_sd15
2026-04-14T00:00:00.000000+00:00,baseline:cfg,true,42,23.6473,24.2928,25.7426,,,,
2026-04-14T00:00:00.000000+00:00,baseline:cfgpp,true,42,23.9904,24.8937,25.8774,,,,
2026-04-14T00:00:00.000000+00:00,baseline:zeroinit,true,42,22.7559,23.3120,25.4935,,,,
2026-04-13T13:19:40+00:00,anthropic/claude-opus-4.6,false,42,56.0987,24.8918,45.233,,,,
2026-04-13T14:35:21+00:00,anthropic/claude-opus-4.6,false,42,22.5131,23.6123,,934,910,,
2026-04-13T15:08:59+00:00,anthropic/claude-opus-4.6,false,42,66.3742,58.2747,,944,918,,
2026-04-13T14:35:21+00:00,anthropic/claude-opus-4.6,true,42,22.51,23.61,25.80,,,,
2026-04-13T13:20:58+00:00,deepseek-reasoner,false,42,43.4875,21.4265,43.5422,,,,
2026-04-13T14:36:22+00:00,deepseek-reasoner,false,42,43.4875,21.4265,,,,,
2026-04-13T14:46:58+00:00,deepseek-reasoner,false,42,43.4875,21.4265,,,,,
2026-04-11T16:26:07+00:00,google/gemini-3.1-pro-preview,false,42,22.7413,23.349,24.86,930,909,,
2026-04-11T17:01:49+00:00,google/gemini-3.1-pro-preview,false,42,53.2451,50.6744,,929,925,,
2026-04-11T16:26:07+00:00,google/gemini-3.1-pro-preview,true,42,22.7413,23.349,24.86,,,,
2026-04-13T13:19:24+00:00,qwen/qwen3.6-plus,false,42,53.3756,48.6751,244.4462,,,,
2026-04-13T14:41:01+00:00,qwen/qwen3.6-plus,false,42,53.3756,48.6751,,,,,
2026-04-14T00:00:00.000000+00:00,qwen/qwen3.6-plus,true,42,53.3756,48.6751,244.4462,,,NaN,NaN
2026-04-20T17:29:31.115975+00:00,gpt-5.4,false,42,NaN,NaN,,15,15,,
2026-04-20T17:38:13.608572+00:00,gpt-5.4,false,42,NaN,NaN,NaN,154,159,,
2026-04-20T17:45:05.742711+00:00,gpt-5.4,false,42,NaN,NaN,NaN,34,161,,
2026-04-14T00:00:00.000000+00:00,gpt-5.4,true,42,NaN,NaN,NaN,,,,
2026-05-03T10:35:18.827806+00:00,deepseek-reasoner,true,42,43.4875,21.4265,,,,,
