timestamp,model,is_final,seed,hopper_normalized_score,elapsed_train_hopper,elapsed_train_walker2d,elapsed_train_halfcheetah,hopper_normalized_score_std,walker2d_normalized_score,halfcheetah_normalized_score,walker2d_normalized_score_std,halfcheetah_normalized_score_std
2026-05-04T14:18:59.094001+00:00,baseline:adaptdiffuser,true,42,0.9164,33413,30995,25136,,0.7722,0.4403,,
2026-05-04T14:18:59.097278+00:00,baseline:adaptdiffuser,true,123,0.9181,33413,30995,25139,,,0.4409,,
2026-05-04T14:18:59.097799+00:00,baseline:adaptdiffuser,true,456,0.9556,31838,31381,23218,,0.7421,0.4395,,
2026-05-04T14:18:59.097799+00:00,baseline:adaptdiffuser,true,mean,0.9300333333333333,32888.0,31123.666666666668,24497.666666666668,0.0180916801013308,0.75715,0.4402333333333333,0.015050000000000008,0.0005734883511361807
2026-05-01T17:59:07.728150+00:00,baseline:decision_diffuser,true,42,0.9726,1328,4933,1319,,0.7624,0.4404,,
2026-04-30T13:55:58.180254+00:00,baseline:decision_diffuser,true,123,0.9406,1322,,1327,,,0.434,,
2026-04-30T18:42:41.533560+00:00,baseline:decision_diffuser,true,456,0.9744,1340,1328,1315,,0.7458,0.4368,,
2026-05-01T17:59:07.728150+00:00,baseline:decision_diffuser,true,mean,0.9625333333333334,1330.0,3130.5,1320.3333333333333,0.01552660798614933,0.7541,0.43706666666666666,0.008299999999999974,0.0026195843605851398
2026-05-01T20:26:11.990550+00:00,baseline:default,true,42,0.9241,6573,26343,4593,,0.7777,0.435,,
2026-04-30T21:58:47.584894+00:00,baseline:default,true,123,0.9692,6643,,4608,,,0.4338,,
2026-04-30T21:26:48.493044+00:00,baseline:default,true,456,0.9525,6365,,4605,,,0.4285,,
2026-05-01T20:26:11.990550+00:00,baseline:default,true,mean,0.9486,6527.0,26343.0,4602.0,0.018617375396834685,0.7777,0.4324333333333333,0.0,0.0028241026106633573
2026-05-01T23:48:24.975647+00:00,baseline:diffuser,true,42,0.9314,6423,26475,4580,,0.763,0.4411,,
2026-04-30T22:00:47.725543+00:00,baseline:diffuser,true,123,0.97,6662,,4567,,,0.4358,,
2026-04-30T22:10:58.017285+00:00,baseline:diffuser,true,456,0.9589,6473,,4839,,,0.429,,
2026-05-01T23:48:24.975647+00:00,baseline:diffuser,true,mean,0.9534333333333334,6519.333333333333,26475.0,4662.0,0.016225562821945143,0.763,0.4353,0.0,0.004952440475832766
