timestamp,model,is_final,seed,nmse_short-30ep,rmse_short-30ep,ml_nmse_short-30ep,sl_nmse_short-30ep,r2_short-30ep,nmse_medium-100ep,rmse_medium-100ep,ml_nmse_medium-100ep,sl_nmse_medium-100ep,r2_medium-100ep,nmse_long-200ep,rmse_long-200ep,ml_nmse_long-200ep,sl_nmse_long-200ep,r2_long-200ep,elapsed_short-30ep,elapsed_medium-100ep,elapsed_long-200ep
2026-04-27T07:54:55.258142+00:00,baseline:cnn,true,42,0.445102,0.510397,0.455139,0.093789,0.5549,0.385351,0.471456,0.394465,0.066368,0.6146,0.367008,0.456657,0.375842,0.057799,0.633,561,1841,3632
2026-04-27T07:00:57.605946+00:00,baseline:ed,true,42,0.654084,0.616893,0.66835,0.154793,0.3459,0.606782,0.593315,0.62013,0.139616,0.3932,0.582955,0.58078,0.595804,0.133225,0.417,83,253,481
2026-04-27T06:52:45.096666+00:00,baseline:hsr,true,42,0.743195,0.652502,0.760617,0.133413,0.2568,0.676216,0.618317,0.692627,0.101811,0.3238,0.639412,0.599476,0.655082,0.090978,0.3606,87,263,519
2026-04-27T10:06:49.032315+00:00,baseline:unet,true,42,0.356287,0.450407,0.355242,0.392854,0.6437,0.352312,0.444217,0.351304,0.387603,0.6477,0.350695,0.437651,0.349822,0.381283,0.6493,2349,4653,11163
2026-05-03T08:13:58.234656+00:00,qwen3.6-plus,false,42,0.544283,0.561323,0.557102,0.095593,0.4557,0.478841,0.520503,0.490256,0.079329,0.5211,0.447935,0.501307,0.458688,0.071581,0.5521,79,184,297
2026-05-03T08:42:10.582139+00:00,qwen3.6-plus,false,42,0.544283,0.561323,0.557102,0.095593,0.4557,0.478841,0.520503,0.490256,0.079329,0.5211,0.447935,0.501307,0.458688,0.071581,0.5521,78,182,294
2026-05-03T08:42:37.278859+00:00,qwen3.6-plus,true,42,0.544283,0.561323,0.557102,0.095593,0.4557,0.478841,0.520503,0.490256,0.079329,0.5211,0.447935,0.501307,0.458688,0.071581,0.5521,79,184,297
2026-05-03T10:51:54.635591+00:00,gemini-3.1-pro-preview,false,42,0.349844,0.446154,0.358424,0.049563,0.6501,0.349178,0.443072,0.357828,0.046442,0.6508,0.349178,0.443072,0.357828,0.046442,0.6508,1412,2069,2198
2026-05-03T12:13:57.616714+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,0.670045,0.63147,0.685882,0.115767,0.3299,0.499163,0.537978,0.511033,0.083707,0.5008,0.484686,0.528734,0.496246,0.080093,0.5153,661,1664,2206
2026-05-03T13:56:48.437528+00:00,claude-opus-4-6,false,42,0.347968,0.442097,0.356251,0.058059,0.652,0.33467,0.43136,0.342874,0.047533,0.6653,0.337723,0.429717,0.346111,0.044138,0.6623,463,1156,1636
2026-05-03T18:22:25.686918+00:00,openai/gpt-5.4,false,42,0.458776,0.522829,0.469379,0.087679,0.5412,0.40575,0.487807,0.415544,0.062954,0.5942,0.386508,0.473091,0.395965,0.055518,0.6135,312,777,1110
2026-05-03T19:04:14.587147+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,,,,,,,,,,,,,,,,,,
2026-05-03T19:18:09.686603+00:00,gemini-3.1-pro-preview,false,42,0.368807,0.459042,0.377742,0.056084,0.6312,0.345985,0.440129,0.354522,0.047211,0.654,0.345985,0.440129,0.354522,0.047211,0.654,1564,3942,4253
2026-05-03T20:07:38.788301+00:00,claude-opus-4-6,false,42,0.342528,0.438995,0.35075,0.05477,0.6575,0.32917,0.425152,0.337317,0.044,0.6708,0.329643,0.425764,0.337794,0.044353,0.6703,1046,2355,2355
2026-05-03T20:17:44.966845+00:00,openai/gpt-5.4,false,42,0.525335,0.561046,0.537543,0.098068,0.4747,0.457997,0.520059,0.46899,0.073235,0.542,0.437393,0.506006,0.448058,0.064145,0.5626,803,2029,2844
2026-05-03T20:17:46.401637+00:00,openai/gpt-5.4,true,42,0.458776,0.522829,0.469379,0.087679,0.5412,0.40575,0.487807,0.415544,0.062954,0.5942,0.386508,0.473091,0.395965,0.055518,0.6135,312,777,1110
2026-05-03T20:30:59.290369+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,0.53723,0.560232,0.549917,0.093192,0.4628,0.43713,0.501528,0.447659,0.068608,0.5629,0.425422,0.493138,0.435655,0.067255,0.5746,741,1869,2627
2026-05-03T20:31:13.226057+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,true,42,0.53723,0.560232,0.549917,0.093192,0.4628,0.43713,0.501528,0.447659,0.068608,0.5629,0.425422,0.493138,0.435655,0.067255,0.5746,741,1869,2627
2026-05-03T21:40:01.516044+00:00,gemini-3.1-pro-preview,false,42,0.360698,0.45238,0.369502,0.052538,0.6393,0.353488,0.444239,0.362168,0.049672,0.6465,0.339131,0.431422,0.347553,0.044377,0.6609,2364,3920,5818
2026-05-03T21:40:09.623221+00:00,gemini-3.1-pro-preview,true,42,0.360698,0.45238,0.369502,0.052538,0.6393,0.353488,0.444239,0.362168,0.049672,0.6465,0.339131,0.431422,0.347553,0.044377,0.6609,2364,3920,5818
2026-05-03T22:03:16.886129+00:00,claude-opus-4-6,false,42,0.347292,0.441414,0.355567,0.057667,0.6527,0.328518,0.425996,0.33658,0.046364,0.6715,0.329516,0.424427,0.337711,0.042705,0.6705,945,2385,3341
2026-05-03T22:03:24.968194+00:00,claude-opus-4-6,true,42,0.342528,0.438995,0.35075,0.05477,0.6575,0.32917,0.425152,0.337317,0.044,0.6708,0.329643,0.425764,0.337794,0.044353,0.6703,1046,2355,2355
