timestamp,model,is_final,seed,elapsed_EC,elapsed_GO-BP,elapsed_Fold,accuracy_EC,test_loss_EC,f1_max_GO-BP,test_loss_GO-BP,accuracy_Fold,test_loss_Fold
2026-04-27T19:37:19.871012+00:00,baseline:egnn,true,42,21920,6498,15644,0.746681,1.7266,0.238065,0.175841,0.331476,5.709033
2026-04-27T10:15:10.242233+00:00,baseline:gearnet,true,42,3686,7866,2890,0.773942,2.145516,0.306491,0.161822,0.314763,8.821301
2026-04-27T09:17:14.876592+00:00,baseline:schnet,true,42,3301,6962,2571,0.588954,2.428347,0.245145,0.166494,0.183844,6.597278
2026-05-03T08:08:58.219580+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,,,,,,,,,
2026-05-03T08:47:57.087336+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,,,,,,,,,
2026-05-03T08:57:03.553713+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,true,42,,,,,,,,,
2026-05-03T11:36:31.973128+00:00,qwen3.6-plus,false,42,,,,,,,,,
2026-05-03T12:09:29.288542+00:00,openai/gpt-5.4,false,42,,,,,,,,,
2026-05-03T13:38:08.485151+00:00,gemini-3.1-pro-preview,false,42,5329,11123,4235,0.000531,6.544376,0.252634,0.15508,0.027855,5.892616
2026-05-03T18:20:25.135303+00:00,claude-opus-4-6,false,42,7348,15270,5711,0.000531,6.512825,0.248063,0.167013,0.027855,5.90542
2026-05-03T18:45:09.366887+00:00,qwen3.6-plus,false,42,,,,,,,,,
2026-05-03T19:30:15.943950+00:00,claude-opus-4-6,false,42,,,,,,,,,
2026-05-03T19:39:08.839271+00:00,qwen3.6-plus,false,42,,,,,,,,,
2026-05-03T19:41:36.344275+00:00,qwen3.6-plus,true,42,,,,,,,,,
2026-05-03T20:50:10.095448+00:00,openai/gpt-5.4,false,42,3628,7970,3117,0.000531,18.809792,0.249248,0.15662,0.019499,46.931433
2026-05-03T22:55:00.834819+00:00,gemini-3.1-pro-preview,false,42,728,12547,4774,,,0.24607,0.170667,0.303621,8.368214
2026-05-04T00:46:12.024334+00:00,openai/gpt-5.4,false,42,5693,11927,4519,0.000708,37.684812,0.238187,0.191334,0.026462,11.815027
2026-05-04T00:46:16.594443+00:00,openai/gpt-5.4,true,42,3628,7970,3117,0.000531,18.809792,0.249248,0.15662,0.019499,46.931433
2026-05-04T01:26:39.079349+00:00,gemini-3.1-pro-preview,false,42,3030,6594,2521,0.716764,2.219749,0.25379,0.170806,0.359331,7.327211
2026-05-04T01:26:48.260404+00:00,gemini-3.1-pro-preview,true,42,3030,6594,2521,0.716764,2.219749,0.25379,0.170806,0.359331,7.327211
2026-05-04T02:55:14.940119+00:00,claude-opus-4-6,false,42,23003,,16779,0.128341,4.185822,,,0.239554,6.921551
2026-05-04T02:55:18.743573+00:00,claude-opus-4-6,true,42,23003,,16779,0.128341,4.185822,,,0.239554,6.921551
