timestamp,model,is_final,seed,eval_return_halfcheetah_v4,eval_return_swimmer_v4,eval_return_inverteddoublependulum_v4,eval_return_halfcheetah_v4_std,eval_return_swimmer_v4_std,eval_return_inverteddoublependulum_v4_std,elapsed_halfcheetah-v4,elapsed_swimmer-v4,elapsed_inverteddoublependulum-v4,elapsed_halfcheetah-v4_std,elapsed_swimmer-v4_std,elapsed_inverteddoublependulum-v4_std
2026-03-31T06:44:24.311220+00:00,anthropic/claude-opus-4.6,false,42,885.73,102.29,182.69,,,,13771,13771,7241,,,
2026-03-31T06:44:24.311740+00:00,anthropic/claude-opus-4.6,false,123,885.48,109.77,191.83,,,,13771,13776,7268,,,
2026-03-31T06:44:24.312210+00:00,anthropic/claude-opus-4.6,false,456,1923.01,111.78,249.25,,,,13771,13776,7275,,,
2026-03-31T06:44:24.312470+00:00,anthropic/claude-opus-4.6,false,mean,1231.4066666666668,107.94666666666667,207.92333333333335,598.9460690524091,5.000843262224212,36.08053399457016,13771.0,13774.333333333334,7261.333333333333,0.0,2.8867513459481287,17.95364401266031
2026-03-31T11:14:47.932769+00:00,anthropic/claude-opus-4.6,false,42,1708.78,49.92,902.16,,,,7014,7025,7025,,,
2026-03-31T19:59:49.106990+00:00,anthropic/claude-opus-4.6,true,42,1232.93,115.99,5716.61,,,,12101,12128,6712,,,
2026-03-31T19:59:49.107515+00:00,anthropic/claude-opus-4.6,true,123,1323.58,90.41,4615.34,,,,12101,12128,6712,,,
2026-03-31T19:59:49.107808+00:00,anthropic/claude-opus-4.6,true,456,1211.57,113.07,4353.06,,,,12103,12128,6712,,,
2026-03-31T19:59:49.108076+00:00,anthropic/claude-opus-4.6,true,mean,1256.0266666666666,106.49,4895.003333333333,59.469757300104476,14.002014140829882,723.5162994938903,12101.666666666666,12128.0,6712.0,1.1547005383792515,0.0,0.0
2026-03-31T01:43:16.848227+00:00,baseline:awr,true,42,1358.01,124.41,8398.75,,,,,,,,,
2026-03-31T01:43:16.848227+00:00,baseline:awr,true,123,1330.86,46.03,6713.86,,,,,,,,,
2026-03-31T01:43:16.848227+00:00,baseline:awr,true,456,3301.32,100.1,6784.99,,,,,,,,,
2026-03-31T01:43:16.848227+00:00,baseline:awr,true,mean,1996.7300000000002,90.17999999999999,7299.2,1129.8896325305407,40.1205795072803,952.9021571494108,,,,,,
2026-03-31T01:43:16.848227+00:00,baseline:ppo,true,42,1470.59,111.85,7502.55,,,,,,,,,
2026-03-31T01:43:16.848227+00:00,baseline:ppo,true,123,1361.31,109.7,6968.07,,,,,,,,,
2026-03-31T01:43:16.848227+00:00,baseline:ppo,true,456,2441.03,118.06,6674.54,,,,,,,,,
2026-03-31T01:43:16.848227+00:00,baseline:ppo,true,mean,1757.6433333333334,113.20333333333333,7048.386666666666,594.3471474932252,4.341201830522666,419.807354906192,,,,,,
2026-03-31T01:43:16.848227+00:00,baseline:ppo_penalty,true,42,1194.92,81.63,6764.66,,,,,,,,,
2026-03-31T01:43:16.848227+00:00,baseline:ppo_penalty,true,123,2695.04,113.02,7497.43,,,,,,,,,
2026-03-31T01:43:16.848227+00:00,baseline:ppo_penalty,true,456,1139.88,109.53,6369.18,,,,,,,,,
2026-03-31T01:43:16.848227+00:00,baseline:ppo_penalty,true,mean,1676.6133333333335,101.39333333333333,6877.09,882.4126058331971,17.20427369386262,572.4660638850132,,,,,,
2026-04-05T17:21:25.777213+00:00,deepseek-reasoner,false,42,-149.87,14.32,33.78,,,,16266,16284,6111,,,
2026-04-05T17:21:25.777960+00:00,deepseek-reasoner,false,123,-485.59,-15.25,54.34,,,,16273,16284,6111,,,
2026-04-05T17:21:25.778473+00:00,deepseek-reasoner,false,456,-373.05,-5.56,59.14,,,,16281,16284,6111,,,
2026-04-05T17:21:25.778855+00:00,deepseek-reasoner,false,mean,-336.17,-2.163333333333333,49.086666666666666,170.8715318594645,15.074788002931694,13.471471090171754,16273.333333333334,16284.0,6111.0,7.505553499465135,0.0,0.0
2026-04-05T19:22:25.750472+00:00,deepseek-reasoner,false,42,1405.23,110.89,891.79,,,,7151,7151,7151,,,
2026-05-03T09:11:52.218598+00:00,deepseek-reasoner,true,42,1405.23,110.89,891.79,,,,7151,7151,7151,,,
2026-03-31T06:37:33.779104+00:00,google/gemini-3.1-pro-preview,false,42,1409.7,113.79,5181.05,,,,12665,12679,6047,,,
2026-03-31T06:37:33.779641+00:00,google/gemini-3.1-pro-preview,false,123,3312.85,98.33,4895.58,,,,12665,12679,6047,,,
2026-03-31T06:37:33.780184+00:00,google/gemini-3.1-pro-preview,false,456,2519.5,115.63,3440.65,,,,12665,12679,6057,,,
2026-03-31T06:37:33.786349+00:00,google/gemini-3.1-pro-preview,false,mean,2414.0166666666664,109.25,4505.76,955.9498056034811,9.501641963366122,933.390467221516,12665.0,12679.0,6050.333333333333,0.0,0.0,5.773502691896257
2026-03-31T10:48:12.406306+00:00,google/gemini-3.1-pro-preview,false,42,1361.87,110.15,5829.95,,,,6336,6339,6339,,,
2026-05-03T09:11:57.254005+00:00,google/gemini-3.1-pro-preview,true,42,1409.7,113.79,5181.05,,,,12665,12679,6047,,,
2026-05-03T09:11:57.255005+00:00,google/gemini-3.1-pro-preview,true,123,3312.85,98.33,4895.58,,,,12665,12679,6047,,,
2026-05-03T09:11:57.256005+00:00,google/gemini-3.1-pro-preview,true,456,2519.5,115.63,3440.65,,,,12665,12679,6057,,,
2026-05-03T09:11:57.257005+00:00,google/gemini-3.1-pro-preview,true,mean,2414.0166666666664,109.25,4505.76,955.9498056034811,9.501641963366122,933.390467221516,12665.0,12679.0,6050.333333333333,0.0,0.0,5.773502691896257
2026-04-22T08:38:04.045702+00:00,gpt-5.4,false,42,-681.46,8.09,45.82,,,,,,,,,
2026-04-22T08:38:04.046990+00:00,gpt-5.4,false,123,-680.84,1.83,44.04,,,,,,,,,
2026-04-22T08:38:04.048282+00:00,gpt-5.4,false,456,-634.73,4.32,42.21,,,,,,,,,
2026-04-22T08:38:04.049123+00:00,gpt-5.4,false,mean,-665.6766666666667,4.746666666666667,44.02333333333333,26.80239230616054,3.151734971937414,1.8050577091421016,,,,,,
2026-04-22T23:37:35.024870+00:00,gpt-5.4,false,42,1268.23,42.41,9325.61,,,,,,,,,
2026-04-22T23:37:35.025905+00:00,gpt-5.4,false,123,1029.03,3.61,982.75,,,,,,,,,
2026-04-22T23:37:35.026598+00:00,gpt-5.4,false,456,3013.25,42.52,2787.69,,,,,,,,,
2026-04-22T23:37:35.027233+00:00,gpt-5.4,false,mean,1770.17,29.513333333333332,4365.35,1083.1620722680425,22.43301213242068,4389.485909716535,,,,,,
2026-04-22T23:37:38.756926+00:00,gpt-5.4,true,42,1268.23,42.41,9325.61,,,,,,,,,
2026-04-22T23:37:38.758273+00:00,gpt-5.4,true,123,1029.03,3.61,982.75,,,,,,,,,
2026-04-22T23:37:38.759399+00:00,gpt-5.4,true,456,3013.25,42.52,2787.69,,,,,,,,,
2026-04-22T23:37:38.760465+00:00,gpt-5.4,true,mean,1770.17,29.513333333333332,4365.35,1083.1620722680425,22.43301213242068,4389.485909716535,,,,,,
2026-04-06T11:25:07.445248+00:00,qwen3.6-plus,false,42,1077.99,112.75,,,,,,,16,,,
2026-04-06T11:25:07.445927+00:00,qwen3.6-plus,false,123,1084.78,112.81,7610.33,,,,,,2979,,,
2026-04-06T11:25:07.446977+00:00,qwen3.6-plus,false,456,1818.92,109.39,,,,,,,2979,,,
2026-04-06T11:25:07.453013+00:00,qwen3.6-plus,false,mean,1327.23,111.65,7610.33,425.82956461476465,1.9574473172987317,,,,1991.3333333333333,,,1710.6888476088611
2026-04-09T14:25:52.401618+00:00,qwen3.6-plus,false,42,1052.95,113.58,5178.48,,,,6353,6361,6361,,,
2026-04-09T16:41:00.774392+00:00,qwen3.6-plus,true,42,1601.86,110.74,7743.9,,,,7978,7987,6603,,,
2026-04-09T16:41:00.775286+00:00,qwen3.6-plus,true,123,1369.64,120.32,7199.01,,,,7978,7987,6603,,,
2026-04-09T16:41:00.775869+00:00,qwen3.6-plus,true,456,1467.46,108.02,7092.06,,,,7978,7987,6620,,,
2026-04-09T16:41:00.776473+00:00,qwen3.6-plus,true,mean,1479.6533333333334,113.02666666666666,7344.99,116.589193896061,6.460969999414432,349.58041521229376,7978.0,7987.0,6608.666666666667,0.0,0.0,9.814954576223638
