timestamp,model,is_final,seed,best_fid_edges2handbags,best_fid_Imagenet,elapsed_edges2handbags,elapsed_Imagenet,fid,best_fid,fid_edges2handbags
2026-04-19T00:00:00.000000+00:00,baseline:karras,true,42,4.416,12.025,,,,,
2026-04-19T00:00:00.000000+00:00,baseline:uniform,true,42,5.180,6.070,,,,,
2026-04-19T00:00:00.000000+00:00,baseline:cosine,true,42,4.905,5.438,,,,,
2026-04-19T00:00:00.000000+00:00,baseline:loglinear,true,42,5.634,13.748,,,,,
2026-04-18T13:37:11.201650+00:00,claude-opus-4.6,false,42,4.943,13.043,94,302,,,
2026-04-18T13:43:42.271644+00:00,claude-opus-4.6,false,42,5.701,13.814,96,301,,,
2026-04-18T13:50:11.731873+00:00,claude-opus-4.6,false,42,4.937,13.043,96,300,,,
2026-04-18T13:50:11.732531+00:00,claude-opus-4.6,true,42,4.937,13.043,,,,,
2026-04-18T13:37:14.845325+00:00,gemini-3.1-pro-preview,false,42,4.860,5.553,96,299,,,
2026-04-18T13:47:24.624757+00:00,gemini-3.1-pro-preview,false,42,4.370,7.313,93,299,,,
2026-04-18T13:54:40.396012+00:00,gemini-3.1-pro-preview,false,42,4.753,6.259,96,302,,,
2026-04-18T13:54:40.396786+00:00,gemini-3.1-pro-preview,true,42,4.370,7.313,,,,,
2026-04-18T13:36:57.331043+00:00,deepseek-reasoner,false,42,5.634,13.748,97,303,,,
2026-04-18T13:44:20.046644+00:00,deepseek-reasoner,false,42,4.905,5.438,94,299,,,
2026-04-18T13:51:18.876299+00:00,deepseek-reasoner,false,42,4.846,7.226,93,307,,,
2026-04-18T13:38:45.396977+00:00,qwen3.6-plus,false,42,4.339,8.159,97,298,,,
2026-04-18T13:45:21.004243+00:00,qwen3.6-plus,false,42,4.452,7.645,94,300,,,
2026-04-18T13:52:29.100493+00:00,qwen3.6-plus,false,42,5.033,12.703,95,300,,,
2026-04-18T13:52:29.101192+00:00,qwen3.6-plus,true,42,4.339,8.159,,,,,
2026-04-20T16:25:39.541182+00:00,gpt-5.4,false,42,4.497,6.509,96,303,,,
2026-04-20T16:32:02.630632+00:00,gpt-5.4,false,42,5.52,11.985,95,303,,,
2026-04-20T16:38:24.930309+00:00,gpt-5.4,false,42,603.214,564.224,95,298,,,
2026-04-18T13:50:11.732531+00:00,gpt-5.4,true,42,4.497,6.509,,,,,
