timestamp,model,is_final,seed,ic_csi300_shifted,icir_csi300_shifted,rank_ic_csi300_shifted,rank_icir_csi300_shifted,annualized_return_csi300_shifted,max_drawdown_csi300_shifted,information_ratio_csi300_shifted,elapsed_csi300_shifted,ic_csi300_recent,icir_csi300_recent,rank_ic_csi300_recent,rank_icir_csi300_recent,annualized_return_csi300_recent,max_drawdown_csi300_recent,information_ratio_csi300_recent,elapsed_csi300_recent,ic_csi300,icir_csi300,rank_ic_csi300,rank_icir_csi300,annualized_return_csi300,max_drawdown_csi300,information_ratio_csi300,elapsed_csi300
2026-04-01T17:51:34.906502+00:00,baseline:tra,true,42,0.051277,0.428264,0.054641,0.458959,0.122284,-0.0843,1.586883,1250.5,0.023703,0.192256,0.039709,0.329632,0.032592,-0.071431,0.479804,1321.5,0.04197,0.335485,0.050394,0.423179,0.064122,-0.100267,1.008134,1505.9
2026-04-01T17:52:04.578412+00:00,baseline:tra,true,123,0.051277,0.428264,0.054641,0.458959,0.122284,-0.0843,1.586883,1051.9,0.023703,0.192256,0.039709,0.329632,0.032592,-0.071431,0.479804,1102.6,0.04197,0.335485,0.050394,0.423179,0.064122,-0.100267,1.008134,1535.6
2026-04-01T18:03:29.028112+00:00,baseline:tra,true,456,0.051277,0.428264,0.054641,0.458959,0.122284,-0.0843,1.586883,1047.2,0.023703,0.192256,0.039709,0.329632,0.032592,-0.071431,0.479804,1167.7,0.04197,0.335485,0.050394,0.423179,0.064122,-0.100267,1.008134,1250.0
2026-04-01T18:03:29.028112+00:00,baseline:tra,true,mean,0.051276999999999996,0.428264,0.054641,0.45895899999999995,0.122284,-0.0843,1.586883,1116.5333333333335,0.023703,0.192256,0.039709,0.329632,0.032592,-0.071431,0.47980399999999995,1197.2666666666667,0.04197,0.335485,0.050394,0.423179,0.064122,-0.100267,1.008134,1430.5
2026-04-01T18:34:37.908081+00:00,baseline:lgbm,true,123,0.054956,0.429609,0.063939,0.509556,0.103335,-0.079467,1.29932,367.5,0.025456,0.185089,0.043982,0.321687,0.080709,-0.051103,1.103678,194.6,0.045716,0.363961,0.056853,0.465979,0.092344,-0.05794,1.347324,365.3
2026-04-01T18:36:22.107992+00:00,baseline:lgbm,true,456,0.054956,0.429609,0.063939,0.509556,0.103335,-0.079467,1.29932,198.4,0.025456,0.185089,0.043982,0.321687,0.080709,-0.051103,1.103678,193.5,0.045716,0.363961,0.056853,0.465979,0.092344,-0.05794,1.347324,215.2
2026-04-01T18:43:59.961551+00:00,baseline:adarnn,true,42,0.056839,0.516149,0.058742,0.518721,0.122409,-0.081397,1.48152,1702.5,0.017431,0.169455,0.027549,0.27417,0.000302,-0.0833,0.004027,3398.1,0.039286,0.309792,0.049615,0.391881,0.075862,-0.086957,1.194903,1687.4
2026-04-01T18:44:03.145799+00:00,baseline:adarnn,true,123,0.045289,0.438719,0.045174,0.43761,0.137573,-0.080839,1.815059,2568.1,0.01687,0.153666,0.027848,0.253343,0.020738,-0.064522,0.282505,3145.7,0.035927,0.31863,0.039894,0.365218,0.049572,-0.104147,0.673138,2720.3
2026-04-01T18:49:01.466264+00:00,baseline:adarnn,true,456,0.055505,0.449717,0.061229,0.483059,0.15139,-0.147676,1.691476,1711.3,0.026058,0.207091,0.040218,0.328876,0.084087,-0.049445,1.117966,2211.0,0.040073,0.331476,0.05009,0.412738,0.097436,-0.082491,1.399396,2110.7
2026-04-01T18:49:01.466264+00:00,baseline:adarnn,true,mean,0.05254433333333333,0.468195,0.05504833333333333,0.47979666666666665,0.137124,-0.10330399999999999,1.662685,1993.9666666666665,0.020119666666666664,0.17673733333333333,0.031871666666666666,0.285463,0.035042333333333335,-0.06575566666666667,0.468166,2918.2666666666664,0.038428666666666667,0.31996600000000003,0.046533,0.3899456666666667,0.07429,-0.09119833333333334,1.0891456666666668,2172.7999999999997
2026-04-02T08:38:46.693917+00:00,baseline:lgbm,true,42,0.054956,0.429609,0.063939,0.509556,0.103335,-0.079467,1.29932,116,0.025456,0.185089,0.043982,0.321687,0.080709,-0.051103,1.103678,109,0.045716,0.363961,0.056853,0.465979,0.092344,-0.05794,1.347324,122
2026-04-02T08:38:46.693917+00:00,baseline:lgbm,true,mean,0.054956,0.42960899999999996,0.063939,0.509556,0.103335,-0.079467,1.29932,227.29999999999998,0.025455999999999996,0.18508899999999998,0.043982,0.321687,0.080709,-0.051103,1.103678,165.70000000000002,0.045716,0.363961,0.05685300000000001,0.465979,0.092344,-0.05794,1.3473239999999997,234.16666666666666
