timestamp,model,is_final,seed,balance_deepseek-v3,balance_node_deepseek-v3,locality_deepseek-v3,runtime_ms_deepseek-v3,balance_std_deepseek-v3,balance_node_std_deepseek-v3,locality_std_deepseek-v3,runtime_std_deepseek-v3,elapsed_deepseek-v3,balance_qwen3-moe,balance_node_qwen3-moe,locality_qwen3-moe,runtime_ms_qwen3-moe,balance_std_qwen3-moe,balance_node_std_qwen3-moe,locality_std_qwen3-moe,runtime_std_qwen3-moe,elapsed_qwen3-moe,balance_deepseek-v2,balance_node_deepseek-v2,locality_deepseek-v2,runtime_ms_deepseek-v2,balance_std_deepseek-v2,balance_node_std_deepseek-v2,locality_std_deepseek-v2,runtime_std_deepseek-v2,elapsed_deepseek-v2,balance_stress-skew,balance_node_stress-skew,locality_stress-skew,runtime_ms_stress-skew,balance_std_stress-skew,balance_node_std_stress-skew,locality_std_stress-skew,runtime_std_stress-skew,elapsed_stress-skew
2026-05-03T14:16:44.420688+00:00,baseline:flat_zigzag,true,42,0.980332,0.984442,0.915379,4.835,0.000465,0.000316,0.001367,0.4237,6.2,0.974809,0.983491,0.960669,1.616,0.0007,0.000444,0.002191,0.0321,4.1,0.983199,0.988721,0.966865,2.0559,0.000399,0.000335,0.001948,0.0791,4.5,0.931268,0.93806,0.727849,7.0557,0.001326,0.001153,0.001566,0.0783,6.0
2026-05-03T14:19:37.013259+00:00,baseline:greedy,true,42,0.678627,0.702209,1.0,248.5075,0.008577,0.009289,0.0,1.6236,62.6,0.940328,0.946751,1.0,102.319,0.005041,0.005012,0.0,0.5916,27.5,0.925448,0.930967,1.0,153.3683,0.004879,0.004854,0.0,1.5132,39.7,0.221977,0.335967,1.0,256.5723,0.001398,0.005892,0.0,1.1844,63.7
2026-05-03T14:16:41.602622+00:00,baseline:zigzag,true,42,0.659,0.702209,1.0,1.6472,0.008598,0.009289,0.0,0.0627,5.2,0.91903,0.946751,1.0,0.8518,0.004606,0.005012,0.0,0.0716,4.0,0.905732,0.930966,1.0,1.1591,0.005396,0.004854,0.0,0.0737,4.2,0.221962,0.335967,1.0,1.5613,0.001395,0.005892,0.0,0.0335,4.7
2026-05-03T14:57:09.857971+00:00,claude-opus-4-6,false,42,0.659,0.702209,1.0,5.2706,0.008598,0.009289,0.0,0.3899,6.1,0.91903,0.946751,1.0,2.6565,0.004606,0.005012,0.0,0.1022,4.3,0.905732,0.930966,1.0,4.052,0.005396,0.004854,0.0,0.3147,5.3,0.221962,0.335967,1.0,4.3347,0.001395,0.005892,0.0,0.1403,5.2
2026-05-03T14:58:27.576151+00:00,claude-opus-4-6,false,42,0.659,0.702209,1.0,5.4864,0.008598,0.009289,0.0,0.2966,6.1,0.91903,0.946751,1.0,3.1871,0.004606,0.005012,0.0,0.4754,4.6,0.905732,0.930966,1.0,3.4693,0.005396,0.004854,0.0,0.2048,4.7,0.221962,0.335967,1.0,4.6252,0.001395,0.005892,0.0,0.406,5.3
2026-05-03T14:59:48.034715+00:00,claude-opus-4-6,false,42,0.678627,0.702209,1.0,8.0938,0.008577,0.009289,0.0,0.2171,7.4,0.940328,0.946751,1.0,5.217,0.005041,0.005012,0.0,0.0923,5.1,0.925448,0.930967,1.0,6.7712,0.004879,0.004854,0.0,0.1239,5.9,0.221977,0.335967,1.0,8.2247,0.001398,0.005892,0.0,0.1246,6.2
2026-05-03T14:59:54.685500+00:00,claude-opus-4-6,true,42,0.678627,0.702209,1.0,8.0938,0.008577,0.009289,0.0,0.2171,7.4,0.940328,0.946751,1.0,5.217,0.005041,0.005012,0.0,0.0923,5.1,0.925448,0.930967,1.0,6.7712,0.004879,0.004854,0.0,0.1239,5.9,0.221977,0.335967,1.0,8.2247,0.001398,0.005892,0.0,0.1246,6.2
2026-05-03T15:00:25.816497+00:00,gemini-3.1-pro-preview,false,42,0.951038,0.976766,1.0,23.5526,0.001527,0.000483,0.0,0.1632,10.1,0.98127,0.987524,1.0,11.2613,0.000294,4.7e-05,0.0,0.0309,6.3,0.984615,0.989564,1.0,14.3388,0.000228,8.5e-05,0.0,0.7145,7.6,0.585218,0.585885,0.922833,28.0821,0.001109,0.001098,0.000212,0.1721,11.0
2026-05-03T15:03:06.453525+00:00,gemini-3.1-pro-preview,false,42,0.951038,0.976766,1.0,27.6128,0.001527,0.000483,0.0,0.1111,11.3,0.98127,0.987524,1.0,13.7933,0.000294,4.7e-05,0.0,0.3101,6.7,0.984615,0.989564,1.0,16.909,0.000228,8.5e-05,0.0,0.3568,7.9,0.802955,0.887686,0.858472,32.9201,0.001057,0.000874,0.000384,0.211,12.2
2026-05-03T15:05:43.995272+00:00,gemini-3.1-pro-preview,true,42,0.951038,0.976766,1.0,27.6128,0.001527,0.000483,0.0,0.1111,11.3,0.98127,0.987524,1.0,13.7933,0.000294,4.7e-05,0.0,0.3101,6.7,0.984615,0.989564,1.0,16.909,0.000228,8.5e-05,0.0,0.3568,7.9,0.802955,0.887686,0.858472,32.9201,0.001057,0.000874,0.000384,0.211,12.2
2026-05-03T14:54:20.627949+00:00,openai/gpt-5.4,false,42,0.385023,0.702209,1.0,2.829,0.001701,0.009289,0.0,0.2129,5.1,0.7278,0.946751,1.0,1.317,0.001703,0.005012,0.0,0.0493,3.9,0.661496,0.930967,1.0,1.7677,0.001829,0.004854,0.0,0.073,4.7,0.204807,0.335967,1.0,3.1494,0.003635,0.005892,0.0,0.1406,5.0
2026-05-03T14:55:03.005416+00:00,openai/gpt-5.4,false,42,0.607635,0.702209,1.0,4.511,0.009423,0.009289,0.0,0.1527,5.7,0.858261,0.946751,1.0,3.1514,0.002985,0.005012,0.0,0.1515,4.3,0.868366,0.930967,1.0,3.6998,0.004775,0.004854,0.0,0.3019,4.7,0.24219,0.335967,1.0,4.6436,0.004222,0.005892,0.0,0.1469,5.7
