timestamp,model,is_final,seed,retain_acc_vgg16bn_cifar100_class0,forget_acc_vgg16bn_cifar100_class0,forget_mia_auc_vgg16bn_cifar100_class0,unlearn_score_vgg16bn_cifar100_class0,elapsed_vgg16bn-cifar100-class0,retain_acc_resnet20_cifar10_class0,forget_acc_resnet20_cifar10_class0,forget_mia_auc_resnet20_cifar10_class0,unlearn_score_resnet20_cifar10_class0,elapsed_resnet20-cifar10-class0,retain_acc_mobilenetv2_fmnist_class0,forget_acc_mobilenetv2_fmnist_class0,forget_mia_auc_mobilenetv2_fmnist_class0,unlearn_score_mobilenetv2_fmnist_class0,elapsed_mobilenetv2-fmnist-class0,retain_acc_resnet20_cifar10_class0_std,forget_acc_resnet20_cifar10_class0_std,forget_mia_auc_resnet20_cifar10_class0_std,unlearn_score_resnet20_cifar10_class0_std,elapsed_resnet20-cifar10-class0_std,retain_acc_vgg16bn_cifar100_class0_std,forget_acc_vgg16bn_cifar100_class0_std,forget_mia_auc_vgg16bn_cifar100_class0_std,unlearn_score_vgg16bn_cifar100_class0_std,elapsed_vgg16bn-cifar100-class0_std,retain_acc_mobilenetv2_fmnist_class0_std,forget_acc_mobilenetv2_fmnist_class0_std,forget_mia_auc_mobilenetv2_fmnist_class0_std,unlearn_score_mobilenetv2_fmnist_class0_std,elapsed_mobilenetv2-fmnist-class0_std
2026-04-24T07:04:34.040268+00:00,baseline:bad_teacher,true,42,0.5246,0.0,0.4561,0.6895,222,0.8902,0.0,0.4809,0.8031,241,0.0,1.0,0.6974,0.1009,630,,,,,,,,,,,,,,,
2026-04-07T09:47:16.530688+00:00,baseline:negative_gradient,true,42,0.0101,0.0,0.3635,0.5489,239.3,0.1726,0.0,0.1261,0.6822,347.6,0.1111,0.0,0.0381,0.691,636.1,,,,,,,,,,,,,,,
2026-04-07T09:43:29.868246+00:00,baseline:retain_finetune,true,42,0.5345,0.0,0.4765,0.686,257.9,0.8758,0.0,0.4512,0.8082,334.0,0.9373,0.0,0.4817,0.8185,625.2,,,,,,,,,,,,,,,
2026-04-24T07:01:27.200236+00:00,baseline:scrub,true,42,0.5394,0.0,0.4648,0.6915,223,0.8787,0.005,0.4393,0.8115,240,0.8834,0.0,0.424,0.8198,807,,,,,,,,,,,,,,,
2026-04-07T16:18:21.823495+00:00,anthropic/claude-opus-4.6,false,42,0.3916,0.0,0.4121,0.6598,249,0.1994,0.0,0.4596,0.5799,284,0.8581,0.003,0.4672,0.796,682,,,,,,,,,,,,,,,
2026-04-07T18:30:29.544705+00:00,anthropic/claude-opus-4.6,true,42,0.0379,0.0,0.4527,0.5284,242,0.8686,0.033,0.4546,0.7936,293,0.8841,0.0,0.4946,0.7965,680,,,,,,,,,,,,,,,
2026-04-07T15:31:21.589989+00:00,deepseek-reasoner,false,42,0.0101,0.0,0.3635,0.5489,258,0.1027,0.0,0.0705,0.6774,314,0.1139,0.0,0.063,0.6836,740,,,,,,,,,,,,,,,
2026-04-07T15:31:21.591045+00:00,deepseek-reasoner,false,123,0.0101,0.0,0.3635,0.5489,254,0.1591,0.0,0.1845,0.6582,316,0.1111,0.0,0.0382,0.691,735,,,,,,,,,,,,,,,
2026-04-07T15:31:21.591578+00:00,deepseek-reasoner,false,456,0.0101,0.0,0.3635,0.5489,265,0.1079,0.0,0.182,0.642,322,0.1111,0.0,0.0382,0.691,730,,,,,,,,,,,,,,,
2026-04-07T15:31:21.592104+00:00,deepseek-reasoner,false,mean,0.0101,0.0,0.3635,0.5489,259.0,0.12323333333333333,0.0,0.14566666666666667,0.6592,317.3333333333333,0.11203333333333333,0.0,0.04646666666666666,0.6885333333333333,735.0,0.031170071115307597,0.0,0.06510824320570578,0.017721173776022846,4.163331998932265,0.0,0.0,0.0,0.0,5.5677643628300215,0.0016165807537309503,0.0,0.01431828667590272,0.004272391992003209,5.0
2026-04-07T16:01:20.447651+00:00,google/gemini-3.1-pro-preview,false,42,0.5138,0.0,0.5176,0.6654,233,0.9093,0.0,0.4386,0.8236,280,0.9477,0.0,0.5214,0.8088,709,,,,,,,,,,,,,,,
2026-04-07T18:06:24.702811+00:00,google/gemini-3.1-pro-preview,true,42,0.5487,0.0,0.4908,0.686,243,0.9092,0.003,0.4198,0.8288,296,,,,,5,,,,,,,,,,,,,,,
2026-04-07T16:45:03.386543+00:00,openai/gpt-5.4-pro,false,42,0.5216,0.0,0.5077,0.6713,439,0.9008,0.0,0.4289,0.824,541,0.9432,0.0,0.5181,0.8084,1269,,,,,,,,,,,,,,,
2026-04-07T18:24:03.942531+00:00,openai/gpt-5.4-pro,true,42,0.5216,0.0,0.5077,0.6713,439,0.9008,0.0,0.4289,0.824,541,0.9432,0.0,0.5181,0.8084,1269,,,,,,,,,,,,,,,
2026-04-07T16:04:05.492537+00:00,qwen3.6-plus:free,false,42,0.4869,0.0,0.4145,0.6908,245,0.8537,0.0,0.4182,0.8118,308,0.9337,0.0,0.5029,0.8103,693,,,,,,,,,,,,,,,
2026-04-07T18:17:23.464618+00:00,qwen3.6-plus:free,true,42,0.4636,0.0,0.409,0.6849,239,0.8593,0.001,0.3914,0.8223,295,0.9328,0.0,0.4821,0.8169,665,,,,,,,,,,,,,,,
