timestamp,model,is_final,seed,accuracy_EthanolConcentration,accuracy_FaceDetection,accuracy_Handwriting,elapsed_EthanolConcentration,elapsed_FaceDetection,elapsed_Handwriting,accuracy_EthanolConcentration_std,elapsed_EthanolConcentration_std,accuracy_FaceDetection_std,elapsed_FaceDetection_std,accuracy_Handwriting_std,elapsed_Handwriting_std
2026-03-02T17:02:20.616268+00:00,baseline:dlinear,true,42,0.2889733840304182,0.6821793416572077,0.23058823529411765,,,,,,,,,
2026-03-02T17:03:05.620746+00:00,baseline:timesnet,true,42,0.3193916349809886,0.6745175936435869,0.3352941176470588,,,,,,,,,
2026-03-02T17:04:47.692124+00:00,baseline:patchtst,true,42,0.28517110266159695,0.6853007945516458,0.2541176470588235,,,,,,,,,
2026-04-05T04:07:13.609633+00:00,google/gemini-3.1-pro-preview,false,42,0.2623574144486692,0.6515323496027242,0.27058823529411763,70,682,180,,,,,,
2026-04-05T04:07:20.007692+00:00,google/gemini-3.1-pro-preview,false,123,0.26996197718631176,0.6472758229284904,0.2564705882352941,70,682,180,,,,,,
2026-04-05T04:07:25.704752+00:00,google/gemini-3.1-pro-preview,false,456,0.26996197718631176,0.6475595913734393,0.2752941176470588,96,689,207,,,,,,
2026-04-05T04:07:31.106124+00:00,google/gemini-3.1-pro-preview,false,mean,0.2674271229404309,0.6487892546348847,0.26745098039215687,78.66666666666667,684.3333333333334,189.0,0.004390496343647318,15.01110699893027,0.002379823235983559,4.041451884327381,0.00979607529160532,15.588457268119896
2026-04-05T04:26:42.245229+00:00,anthropic/claude-opus-4.6,false,42,0.311787072243346,0.6390465380249716,0.4929411764705882,152,642,324,,,,,,
2026-04-05T04:26:42.245732+00:00,anthropic/claude-opus-4.6,false,123,0.311787072243346,0.6342224744608399,0.548235294117647,152,674,353,,,,,,
2026-04-05T04:26:42.246046+00:00,anthropic/claude-opus-4.6,false,456,0.3155893536121673,0.6186152099886493,0.5152941176470588,152,674,353,,,,,,
2026-04-05T04:26:42.246347+00:00,anthropic/claude-opus-4.6,false,mean,0.31305449936628643,0.6306280741581536,0.5188235294117647,152.0,663.3333333333334,343.3333333333333,0.002195248171823659,0.0,0.010679399631248757,18.475208614068023,0.027815506864792682,16.74315780649915
2026-04-05T05:01:52.123849+00:00,gpt-5.4-pro,false,42,0.2813688212927757,0.6129398410896708,0.42,138,1048,387,,,,,,
