timestamp,model,is_final,seed,best_fid_edges2handbags,best_fid_Imagenet,elapsed_edges2handbags,elapsed_Imagenet
2026-04-19T00:00:00.000000+00:00,baseline:dbim,true,42,5.180,6.070,,
2026-04-19T00:00:00.000000+00:00,baseline:ddbm,true,42,11.139,10.556,,
2026-04-19T00:00:00.000000+00:00,baseline:ecsi,true,42,4.234,,,
2026-04-19T00:00:00.000000+00:00,baseline:dbim_high_order,true,42,5.528,5.528,,
2026-04-18T16:23:10.972609+00:00,claude-opus-4.6,false,42,NaN,NaN,16,22
2026-04-18T16:30:01.065702+00:00,claude-opus-4.6,false,42,4.343,5.609,94,300
2026-04-18T16:36:37.974513+00:00,claude-opus-4.6,false,42,4.398,5.988,96,301
2026-04-18T16:36:37.977644+00:00,claude-opus-4.6,true,42,4.343,5.609,,
2026-04-19T08:41:58.237174+00:00,gemini-3.1-pro-preview,false,42,10.067,34.287,95,302
2026-04-19T08:49:37.925597+00:00,gemini-3.1-pro-preview,false,42,NaN,16.257,15,298
2026-04-19T08:56:52.514774+00:00,gemini-3.1-pro-preview,false,42,72.260,16.257,94,300
2026-04-19T08:56:52.518642+00:00,gemini-3.1-pro-preview,true,42,10.067,34.287,,
2026-04-19T06:49:14.032430+00:00,deepseek-reasoner,false,42,NaN,NaN,7,7
2026-04-19T06:56:24.017825+00:00,deepseek-reasoner,false,42,5.749,7.709,96,302
2026-04-19T07:05:13.304102+00:00,deepseek-reasoner,false,42,19.524,46.482,97,300
2026-04-19T06:44:50.616131+00:00,qwen3.6-plus,false,42,NaN,NaN,8,7
2026-04-19T06:46:56.566947+00:00,qwen3.6-plus,false,42,NaN,NaN,6,6
2026-04-19T06:49:15.535363+00:00,qwen3.6-plus,false,42,NaN,NaN,6,7
2026-04-19T06:49:15.537499+00:00,qwen3.6-plus,true,42,NaN,NaN,,
2026-04-20T17:32:14.613922+00:00,gpt-5.4,false,42,6.378,8.011,95,303
2026-04-20T17:38:49.728358+00:00,gpt-5.4,false,42,5.452,6.109,93,302
2026-04-20T17:45:21.831023+00:00,gpt-5.4,false,42,5.342,6.025,96,302
2026-04-18T16:36:37.977644+00:00,gpt-5.4,true,42,5.342,6.025,,
2026-05-03T08:30:30.048485+00:00,deepseek-reasoner,true,42,5.749,7.709,96,302
