timestamp,model,is_final,seed,rel_err_Plasticity,rel_err_SWE,rel_err_CFD,rel_err_Plasticity_std,rel_err_SWE_std,rel_err_CFD_std
2026-03-16T17:49:47.024354+00:00,baseline:fno,true,42,0.0025425701634958385,0.0005892352527007461,0.04267767608165741,,,
2026-03-16T17:49:47.027100+00:00,baseline:fno,true,123,0.002600997092667967,0.0006988067482598126,0.041799552589654926,,,
2026-03-16T17:49:47.027606+00:00,baseline:fno,true,456,0.0024570115143433212,0.0006252148747444153,0.04230497255921364,,,
2026-03-16T17:49:47.027606+00:00,baseline:fno,true,mean,0.002533526256835709,0.000637752291901658,0.04226073374350866,5.912870637926793e-05,4.560239965538125e-05,0.0003598546201017782
2026-03-17T17:34:37.017465+00:00,baseline:transformer,true,42,0.005401632562279701,0.0019277633726596831,0.044972850680351256,,,
2026-03-17T17:34:37.020861+00:00,baseline:transformer,true,123,0.0049195363186299804,0.0020327481999993322,0.0450660565495491,,,
2026-03-17T17:34:37.021346+00:00,baseline:transformer,true,456,0.005191970430314541,0.0020545575581490992,0.0448188054561615,,,
2026-03-17T17:34:37.021346+00:00,baseline:transformer,true,mean,0.0051710464370747404,0.002005023043602705,0.044952570895353955,0.00019737030704594698,5.535163105934156e-05,0.00010195334898862187
2026-03-16T22:29:54.146099+00:00,baseline:transolver,true,42,0.005882474267855287,0.001416927268728614,0.05970335602760315,,,
2026-03-16T22:29:54.152199+00:00,baseline:transolver,true,123,0.005557056423276663,0.001771139856427908,0.047088447213172915,,,
2026-03-16T22:29:54.152733+00:00,baseline:transolver,true,456,0.005690961051732302,0.0017358342604711652,0.04611320108175278,,,
2026-03-16T22:29:54.152733+00:00,baseline:transolver,true,mean,0.005710163914288084,0.0016413004618758959,0.05096833477417628,0.00013354339080189512,0.0001593091724264399,0.006189411575563373
