timestamp,model,is_final,seed,hopper_normalized_score,elapsed_train_hopper,elapsed_train_walker2d,elapsed_train_halfcheetah,hopper_normalized_score_std,walker2d_normalized_score,halfcheetah_normalized_score
2026-04-27T23:20:22.891213+00:00,baseline:cfg,true,42,0.9334,3704,3743,2844,,0.7597,0.4148
2026-04-30T14:33:05.975042+00:00,baseline:cfg,true,123,0.9294,2480,2452,1909,,0.7683,0.4125
2026-04-30T15:14:09.935608+00:00,baseline:cfg,true,456,0.8993,2459,2510,1879,,0.758,0.4113
2026-04-30T15:14:09.935608+00:00,baseline:cfg,true,mean,0.9207000000000001,2881.0,2901.6666666666665,2210.6666666666665,0.015219943057274128,0.762,0.41286666666666666
2026-04-27T22:43:22.900649+00:00,baseline:decision_diffuser,true,42,0.948,1873,1892,1879,,0.7198,0.4318
2026-04-30T13:57:13.022756+00:00,baseline:decision_diffuser,true,123,0.9069,1007,1026,1006,,0.6905,0.44
2026-04-30T14:13:20.701859+00:00,baseline:decision_diffuser,true,456,0.9487,1007,1025,1016,,0.6814,0.4346
2026-04-30T14:13:20.701859+00:00,baseline:decision_diffuser,true,mean,0.9345333333333333,1295.6666666666667,1314.3333333333333,1300.3333333333333,0.019541807035743163,0.6972333333333333,0.43546666666666667
2026-04-25T19:44:07.929325+00:00,baseline:default,true,42,0.9611,6793,6955,5296,,0.7415,0.4339
2026-04-30T16:05:21.846991+00:00,baseline:default,true,123,0.9583,4564,4524,3545,,0.7787,0.4414
2026-04-30T16:05:13.804392+00:00,baseline:default,true,456,0.9675,4462,4601,3522,,0.7763,0.4324
2026-04-30T16:05:21.846991+00:00,baseline:default,true,mean,0.9622999999999999,5273.0,5360.0,4121.0,0.0038505410875183097,0.7655,0.4359
2026-04-27T22:54:21.616665+00:00,baseline:no_guidance,true,42,0.4242,3122,3654,2712,,0.5567,0.4106
2026-04-30T14:44:11.937013+00:00,baseline:no_guidance,true,123,0.4378,2111,2417,1852,,0.6009,0.4158
2026-04-30T15:01:14.568511+00:00,baseline:no_guidance,true,456,0.4467,2111,2428,1846,,0.6481,0.4081
2026-04-30T15:01:14.568511+00:00,baseline:no_guidance,true,mean,0.4362333333333333,2448.0,2833.0,2136.6666666666665,0.009252146898002753,0.6019,0.41150000000000003
2026-05-02T00:31:25.842389+00:00,claude-opus-4-6,false,42,0.9547,8186.3,8359.2,6332.3,,0.7788,0.4405
2026-05-02T06:55:18.324432+00:00,claude-opus-4-6,false,42,0.9661,8239.1,8375.8,6391.8,,0.753,0.4423
2026-05-02T13:19:27.975127+00:00,claude-opus-4-6,false,42,0.9565,8292.2,8299.3,6442.8,,0.7692,0.4412
2026-05-03T14:39:10.848770+00:00,claude-opus-4-6,true,42,0.9547,8186.3,8359.2,6332.3,,0.7788,0.4405
2026-05-02T00:33:47.706581+00:00,gemini/gemini-3.1-pro-preview,false,42,0.9643,8365.8,8323.5,6459.2,,0.7848,0.4418
2026-05-02T04:14:31.886882+00:00,gemini/gemini-3.1-pro-preview,false,42,,4776.2,4734.1,3657.4,,,
2026-05-02T10:33:45.105923+00:00,gemini/gemini-3.1-pro-preview,false,42,0.8713,8108.2,8230.4,6382.9,,0.7775,0.4248
2026-05-03T14:30:24.813285+00:00,gemini/gemini-3.1-pro-preview,true,42,0.9643,8365.8,8323.5,6459.2,,0.7848,0.4418
2026-05-02T01:35:10.968756+00:00,openai/gpt-5.4,false,42,,4893.6,4821.7,3748.9,,,
2026-05-02T18:08:24.500190+00:00,openai/gpt-5.4,false,42,,,,,,,
2026-05-02T23:33:32.926767+00:00,openai/gpt-5.4,false,42,0.242,5866,7132,6468,,0.3194,0.4452
2026-05-02T23:34:27.746597+00:00,openai/gpt-5.4,true,42,0.242,5866,7132,6468,,0.3194,0.4452
2026-05-02T17:00:54.354690+00:00,qwen3.6-plus,false,42,,,,,,,
2026-05-02T17:02:07.595123+00:00,qwen3.6-plus,false,42,,,,,,,
2026-05-02T18:06:20.146089+00:00,qwen3.6-plus,false,42,,,,,,,
2026-05-02T18:11:10.060967+00:00,qwen3.6-plus,true,42,,,,,,,
2026-05-02T08:01:14.989534+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,,1.9,1.9,1.9,,,
2026-05-02T17:05:32.602943+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,,,,,,,
2026-05-02T17:06:35.461223+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,,,,,,,
2026-05-02T08:01:51.244234+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,true,42,,1.9,1.9,1.9,,,
2026-07-18T04:42:55.636290+00:00,baseline:default,false,1,,,,,,,
2026-07-18T04:42:55.638957+00:00,baseline:cfg,false,1,,,,,,,
2026-07-18T04:42:55.643711+00:00,baseline:decision_diffuser,false,1,,,,,,,
2026-07-18T04:42:55.645379+00:00,baseline:no_guidance,false,1,,,,,,,
2026-07-18T04:50:46.410416+00:00,claude-fable-5__base:eng:ctx_proposal,false,42,,,,,,,
2026-07-18T04:51:38.256467+00:00,claude-fable-5__base:eng:ctx_proposal,false,42,,,,,,,
2026-07-18T04:55:05.582298+00:00,claude-fable-5__base:eng:ctx_proposal,false,42,,,,,,,
2026-07-18T04:56:22.784592+00:00,claude-fable-5__base:eng:ctx_proposal,true,42,,,,,,,
2026-07-18T10:43:20.768020+00:00,claude-fable-5__rl:eng:ctx_proposal,false,42,,,,,,,
2026-07-18T10:44:24.571298+00:00,claude-fable-5__sft8b:eng:ctx_proposal,false,42,,,,,,,
2026-07-18T10:44:48.550065+00:00,claude-fable-5__rl:eng:ctx_proposal,false,42,,,,,,,
2026-07-18T10:45:28.193543+00:00,claude-fable-5__sft8b:eng:ctx_proposal,false,42,,,,,,,
2026-07-18T10:46:33.050675+00:00,claude-fable-5__rl:eng:ctx_proposal,false,42,,,,,,,
