timestamp,model,is_final,seed,rmse_PDBbind2013,rp_PDBbind2013,rmse_PDBbind2016,rp_PDBbind2016,rmse_PDBbind2019,rp_PDBbind2019,elapsed_PDBbind2013,elapsed_PDBbind2016,elapsed_PDBbind2019
2026-03-09T13:20:24.628181+00:00,baseline:egnn,true,42,1.411404,0.809301,1.42133,0.764641,1.442201,0.617477,,,
2026-03-09T10:58:11.545972+00:00,baseline:ehign,true,42,1.411658,0.806602,1.242641,0.821792,1.460438,0.621348,,,
2026-04-12T19:26:51.341085+00:00,baseline:gign,true,42,1.316358,0.831219,1.29819,0.801582,1.472464,0.602023,575,269,489
2026-03-09T11:44:07.647113+00:00,baseline:schnet,true,42,1.476516,0.792066,1.370233,0.776728,1.562423,0.569884,,,
2026-05-01T10:06:24.666091+00:00,claude-opus-4-6,false,42,1.364543,0.811119,1.203242,0.833733,1.513325,0.614896,991,1903,712
2026-05-01T12:07:15.939596+00:00,claude-opus-4-6,false,42,1.336712,0.826753,1.27163,0.815204,1.489355,0.610775,913,942,960
2026-05-01T12:34:03.179756+00:00,claude-opus-4-6,false,42,1.414624,0.810343,1.287242,0.809883,1.484476,0.63018,953,1006,1014
2026-05-01T12:34:11.007254+00:00,claude-opus-4-6,true,42,1.364543,0.811119,1.203242,0.833733,1.513325,0.614896,991,1903,712
2026-05-01T09:31:49.325846+00:00,gemini/gemini-3.1-pro-preview,false,42,1.341915,0.827196,1.19657,0.83915,1.394978,0.647685,2932,2862,3320
2026-05-01T12:16:52.533553+00:00,gemini/gemini-3.1-pro-preview,false,42,1.454037,0.789806,1.248339,0.820942,,,1141,3448,
2026-05-01T13:38:53.717139+00:00,gemini/gemini-3.1-pro-preview,false,42,1.499609,0.776493,,,,,1150,,
2026-05-01T13:38:59.380815+00:00,gemini/gemini-3.1-pro-preview,true,42,1.341915,0.827196,1.19657,0.83915,1.394978,0.647685,2932,2862,3320
2026-05-01T08:34:21.466091+00:00,openai/gpt-5.4,false,42,2.088922,0.493457,1.954979,0.488171,1.637717,0.400296,418,420,427
2026-05-01T10:27:02.234329+00:00,openai/gpt-5.4,false,42,1.428953,0.795063,1.28604,0.810254,1.410162,0.633973,1665,931,1111
2026-05-01T10:27:05.117740+00:00,openai/gpt-5.4,true,42,1.428953,0.795063,1.28604,0.810254,1.410162,0.633973,1665,931,1111
2026-05-01T11:08:33.199192+00:00,qwen3.6-plus,false,42,1.419428,0.805835,1.20978,0.840895,1.399257,0.645486,2479,2506,2450
2026-05-01T12:07:10.537907+00:00,qwen3.6-plus,true,42,1.419428,0.805835,1.20978,0.840895,1.399257,0.645486,2479,2506,2450
2026-05-01T11:18:30.370243+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,true,42,,,,,,,,,
2026-07-18T04:47:26.558144+00:00,baseline:schnet,false,1,,,,,,,,,
2026-07-18T04:47:26.576333+00:00,baseline:ehign,false,1,,,,,,,,,
2026-07-18T04:47:26.584364+00:00,baseline:egnn,false,1,,,,,,,,,
2026-07-18T04:47:26.626146+00:00,baseline:gign,false,1,,,,,,,,,
2026-07-18T04:47:36.753566+00:00,baseline:gign,false,2,,,,,,,,,
2026-07-18T04:47:37.868964+00:00,baseline:ehign,false,3,,,,,,,,,
2026-07-18T04:47:37.907514+00:00,baseline:schnet,false,3,,,,,,,,,
2026-07-18T04:47:37.930632+00:00,baseline:gign,false,3,,,,,,,,,
2026-07-18T04:47:37.964893+00:00,baseline:egnn,false,3,,,,,,,,,
2026-07-18T04:47:38.241467+00:00,baseline:schnet,false,2,,,,,,,,,
2026-07-18T04:47:38.261719+00:00,baseline:ehign,false,2,,,,,,,,,
2026-07-18T04:47:38.298971+00:00,baseline:egnn,false,2,,,,,,,,,
2026-07-18T04:49:40.849540+00:00,claude-fable-5__base:eng:ctx_proposal,true,42,,,,,,,,,
2026-07-18T04:49:45.630410+00:00,claude-fable-5__base:eng:ctx_proposal,true,42,,,,,,,,,
2026-07-18T04:49:47.475993+00:00,claude-fable-5__base:eng:ctx_proposal,true,42,,,,,,,,,
2026-07-18T10:21:15.023278+00:00,claude-fable-5__sft8b:eng:ctx_proposal,true,42,,,,,,,,,
2026-07-18T10:21:20.573221+00:00,claude-fable-5__sft8b:eng:ctx_proposal,true,42,,,,,,,,,
2026-07-18T10:22:09.588612+00:00,claude-fable-5__sft14b:eng:ctx_proposal,true,42,,,,,,,,,
