timestamp,model,is_final,seed,d4rl_score_pen_cloned_v1,d4rl_score_hammer_cloned_v1,d4rl_score_hammer_expert_v1,d4rl_score_pen_cloned_v1_std,d4rl_score_hammer_cloned_v1_std,d4rl_score_hammer_expert_v1_std,elapsed_pen-cloned-v1,elapsed_hammer-cloned-v1,elapsed_hammer-expert-v1,elapsed_pen-cloned-v1_std,elapsed_hammer-cloned-v1_std,elapsed_hammer-expert-v1_std
2026-04-09T12:29:11.896321+00:00,anthropic/claude-opus-4.6,false,42,118.271,0.991,127.577,,,,5315,5460,5059,,,
2026-04-09T12:29:11.897363+00:00,anthropic/claude-opus-4.6,false,123,52.704,1.713,127.539,,,,5315,5463,5059,,,
2026-04-09T12:29:11.898016+00:00,anthropic/claude-opus-4.6,false,456,71.809,1.189,120.068,,,,5321,5463,5059,,,
2026-04-09T12:29:11.898551+00:00,anthropic/claude-opus-4.6,false,mean,80.928,1.2976666666666667,125.06133333333334,33.72128397614777,0.3730647843650394,4.324395256372079,5317.0,5462.0,5059.0,3.4641016151377544,1.7320508075688772,0.0
2026-04-09T14:36:03.995125+00:00,anthropic/claude-opus-4.6,false,42,128.192,2.311,115.143,,,,2906,3032,3037,,,
2026-04-09T16:09:14.322102+00:00,anthropic/claude-opus-4.6,true,42,120.806,4.291,103.308,,,,5200,5399,3144,,,
2026-04-09T16:09:14.322938+00:00,anthropic/claude-opus-4.6,true,123,66.363,6.993,89.474,,,,5216,5399,3144,,,
2026-04-09T16:09:14.323504+00:00,anthropic/claude-opus-4.6,true,456,80.658,2.627,101.747,,,,5216,5399,3144,,,
2026-04-09T16:09:14.324101+00:00,anthropic/claude-opus-4.6,true,mean,89.27566666666667,4.6370000000000005,98.17633333333333,28.226019845761698,2.2034690830597103,7.576749588928839,5210.666666666667,5399.0,3144.0,9.237604307034012,0.0,0.0
2026-04-01T13:22:06.491450+00:00,baseline:awac,true,42,113.523,0.21,127.473,,,,5636,5714,3562,,,
2026-04-01T13:22:06.491842+00:00,baseline:awac,true,123,69.402,,126.956,,,,5639,5714,3562,,,
2026-04-01T13:22:06.492089+00:00,baseline:awac,true,456,37.207,0.205,126.241,,,,5639,5720,3562,,,
2026-04-01T13:22:06.492270+00:00,baseline:awac,true,mean,73.37733333333333,0.2075,126.89,38.31299283967951,0.0035355339059327407,0.6186461023881099,5638.0,5716.0,3562.0,1.7320508075688772,3.4641016151377544,0.0
2026-04-01T14:07:06.737371+00:00,baseline:iql,true,42,116.378,4.277,127.861,,,,4731,4876,2926,,,
2026-04-01T14:07:06.737769+00:00,baseline:iql,true,123,77.243,2.074,128.159,,,,4737,4893,2938,,,
2026-04-01T14:07:06.738077+00:00,baseline:iql,true,456,100.962,1.559,98.606,,,,4737,4893,2938,,,
2026-04-01T14:07:06.738314+00:00,baseline:iql,true,mean,98.19433333333333,2.6366666666666667,118.20866666666666,19.713752568532797,1.4437196172849263,16.977061180703018,4735.0,4887.333333333333,2934.0,3.4641016151377544,9.814954576223638,6.928203230275509
2026-04-01T15:02:07.248559+00:00,baseline:spot,true,42,122.699,6.468,90.858,,,,3306,3398,1927,,,
2026-04-01T15:02:07.248995+00:00,baseline:spot,true,123,33.261,0.277,116.371,,,,3306,3413,1927,,,
2026-04-01T15:02:07.249762+00:00,baseline:spot,true,456,76.438,0.587,14.944,,,,3306,3413,1929,,,
2026-04-01T15:02:07.255955+00:00,baseline:spot,true,mean,77.46600000000001,2.444,74.05766666666666,44.727860992897924,3.4883315496093545,52.75933549935341,3306.0,3408.0,1927.6666666666667,0.0,8.660254037844387,1.1547005383792515
2026-05-03T08:49:34.235407+00:00,deepseek-reasoner,true,42,38.255,0.165,120.705,,,,4666,4787,4821,,,
2026-04-09T16:59:45.015768+00:00,google/gemini-3.1-pro-preview,false,42,66.557,3.969,130.679,,,,4674,4770,3923,,,
2026-04-09T16:59:45.016688+00:00,google/gemini-3.1-pro-preview,false,123,63.645,0.158,130.784,,,,4683,4777,3923,,,
2026-04-09T16:59:45.017373+00:00,google/gemini-3.1-pro-preview,false,456,85.193,11.314,126.664,,,,4683,4777,3923,,,
2026-04-09T16:59:45.017992+00:00,google/gemini-3.1-pro-preview,false,mean,71.79833333333333,5.147,129.37566666666666,11.691140121191486,5.670524402557492,2.3489589892829805,4680.0,4774.666666666667,3923.0,5.196152422706632,4.041451884327381,0.0
2026-04-09T16:59:45.018936+00:00,google/gemini-3.1-pro-preview,true,42,66.557,3.969,130.679,,,,4674,4770,3923,,,
2026-04-09T16:59:45.019645+00:00,google/gemini-3.1-pro-preview,true,123,63.645,0.158,130.784,,,,4683,4777,3923,,,
2026-04-09T16:59:45.020303+00:00,google/gemini-3.1-pro-preview,true,456,85.193,11.314,126.664,,,,4683,4777,3923,,,
2026-04-09T16:59:45.020964+00:00,google/gemini-3.1-pro-preview,true,mean,71.79833333333333,5.147,129.37566666666666,11.691140121191486,5.670524402557492,2.3489589892829805,4680.0,4774.666666666667,3923.0,5.196152422706632,4.041451884327381,0.0
2026-04-22T17:33:59.129411+00:00,gpt-5.4,false,42,77.812,0.227,94.642,,,,18869,19516,18316,,,
2026-04-22T17:33:59.131604+00:00,gpt-5.4,false,123,19.781,,65.729,,,,18942,19516,18316,,,
2026-04-22T17:33:59.132699+00:00,gpt-5.4,false,456,42.165,,119.595,,,,18942,19516,18316,,,
2026-04-22T17:33:59.133731+00:00,gpt-5.4,false,mean,46.586,0.227,93.322,29.26701506816163,,26.957249284747135,18917.666666666668,19516.0,18316.0,42.14656965084268,0.0,0.0
2026-04-23T03:13:56.555660+00:00,gpt-5.4,false,42,8.906,,98.526,,,,17801,17801,17088,,,
2026-04-23T03:13:56.557594+00:00,gpt-5.4,false,123,10.773,,104.059,,,,17801,17801,17124,,,
2026-04-23T03:13:56.559149+00:00,gpt-5.4,false,456,29.807,0.274,51.222,,,,17801,18430,17124,,,
2026-04-23T03:13:56.560672+00:00,gpt-5.4,false,mean,16.495333333333335,0.274,84.60233333333333,11.565974854431134,,29.04029118885231,17801.0,18010.666666666668,17112.0,0.0,363.1533193202746,20.784609690826528
2026-04-23T03:13:59.896900+00:00,gpt-5.4,true,42,77.812,0.227,94.642,,,,18869,19516,18316,,,
2026-04-23T03:13:59.898223+00:00,gpt-5.4,true,123,19.781,,65.729,,,,18942,19516,18316,,,
2026-04-23T03:13:59.899309+00:00,gpt-5.4,true,456,42.165,,119.595,,,,18942,19516,18316,,,
2026-04-23T03:13:59.900350+00:00,gpt-5.4,true,mean,46.586,0.227,93.322,29.26701506816163,,26.957249284747135,18917.666666666668,19516.0,18316.0,42.14656965084268,0.0,0.0
2026-04-10T17:01:12.799717+00:00,qwen3.6-plus,false,42,,,,,,,,,,,,
2026-04-10T17:01:12.802006+00:00,qwen3.6-plus,false,123,,,,,,,,,,,,
2026-04-10T17:01:12.823474+00:00,qwen3.6-plus,false,456,,,,,,,,,,,,
2026-04-10T17:01:12.825813+00:00,qwen3.6-plus,true,42,22.497,0.262,52.642,,,,2215.0,2329.0,2329.0,,,
