timestamp,model,is_final,seed,score_mean,gsm8k_reward_mean,gsm8k_accuracy,math500_accuracy,amc_accuracy,elapsed_deepmath-3bench-1gpu
2026-04-23T10:40:18.582934+00:00,baseline:dr_grpo,false,42,-0.5049,0.4671,0.4671,0.307,0.1009,31412
2026-04-23T11:16:18.928817+00:00,baseline:grpo,false,42,-0.5166,0.4668,0.4668,0.2973,0.0934,33714
2026-04-23T16:07:52.069024+00:00,baseline:reinforce_plus_plus_baseline,false,42,-0.5029,0.4603,0.4603,0.304,0.0979,32757
2026-04-24T10:55:08.022238+00:00,claude-opus-4.6,false,42,-0.4912,0.4652,0.4652,0.31,0.0904,32404
2026-04-24T11:44:17.008578+00:00,qwen3.6-plus,false,42,-0.5225,0.4614,0.4614,0.2963,0.1084,36666
2026-04-24T12:09:47.550143+00:00,gpt-5.4,false,42,-0.5205,0.4646,0.4646,0.2893,0.122,38333
2026-04-24T12:22:47.578324+00:00,deepseek-reasoner,false,42,-0.5029,0.4622,0.4622,0.3005,0.0994,35949
2026-04-24T14:33:34.657094+00:00,gemini-3.1-pro-preview,false,42,-0.6299,0.4466,0.4466,0.278,0.0813,
2026-04-24T22:17:40.523285+00:00,claude-opus-4.6,false,42,-0.5342,0.4688,0.4688,0.3033,0.119,32392
2026-04-24T23:27:02.709805+00:00,qwen3.6-plus,false,42,-0.5254,0.4762,0.4762,0.299,0.1175,32836
2026-04-24T23:27:51.023150+00:00,gpt-5.4,false,42,-0.499,0.4736,0.4736,0.3043,0.1069,32066
2026-04-24T23:27:55.061999+00:00,gpt-5.4,true,42,-0.499,0.4736,0.4736,0.3043,0.1069,32066
2026-04-25T02:02:28.212019+00:00,deepseek-reasoner,false,42,-0.5049,0.4666,0.4666,0.3015,0.0979,33544
2026-04-25T05:09:49.483575+00:00,gemini-3.1-pro-preview,false,42,-0.543,0.3976,0.3976,0.2577,0.0512,
2026-04-25T05:10:44.357025+00:00,gemini-3.1-pro-preview,true,42,-0.6299,0.4466,0.4466,0.278,0.0813,
2026-04-25T10:09:26.082085+00:00,claude-opus-4.6,false,42,-0.5264,0.4659,0.4659,0.303,0.0904,31445
2026-04-25T10:09:35.279559+00:00,claude-opus-4.6,true,42,-0.5342,0.4688,0.4688,0.3033,0.119,32392
2026-04-25T13:56:24.596966+00:00,qwen3.6-plus,false,42,-0.583,0.462,0.462,0.2958,0.1024,33543
2026-04-25T13:56:38.152023+00:00,qwen3.6-plus,true,42,-0.5254,0.4762,0.4762,0.299,0.1175,32836
2026-04-25T14:56:56.438708+00:00,deepseek-reasoner,false,42,-0.5156,0.4676,0.4676,0.2975,0.1099,31866
2026-04-25T14:57:07.082117+00:00,deepseek-reasoner,true,42,-0.5156,0.4676,0.4676,0.2975,0.1099,31866
