timestamp,model,is_final,seed,worst_group_ece_adult,brier_adult,subgroup_auroc_adult,max_subgroup_gap_adult,elapsed_adult,worst_group_ece_compas,brier_compas,subgroup_auroc_compas,max_subgroup_gap_compas,elapsed_compas,worst_group_ece_law_school,brier_law_school,subgroup_auroc_law_school,max_subgroup_gap_law_school,elapsed_law_school
2026-04-30T16:14:30.846669+00:00,baseline:beta_calibration,true,42,0.348952,0.319698,0.859001,0.31158,3,0.466339,0.377046,0.881861,0.108896,3,0.375155,0.361064,0.748642,0.176224,3
2026-04-30T16:14:31.169065+00:00,baseline:group_temperature_scaling,true,42,0.493795,0.433107,0.859001,0.436052,3,0.497207,0.360305,0.881861,0.141706,3,0.313789,0.317415,0.748642,0.194673,3
2026-04-30T16:14:31.573248+00:00,baseline:isotonic_regression,true,42,0.348209,0.324132,0.854536,0.264226,3,0.483246,0.395198,0.841982,0.120958,3,0.450577,0.42289,0.729167,0.170555,3
2026-04-30T16:14:31.482346+00:00,baseline:temperature_scaling,true,42,0.48444,0.434545,0.859001,0.418805,3,0.48505,0.363691,0.881861,0.120009,3,0.309843,0.32057,0.748642,0.167908,3
2026-04-30T16:23:23.589924+00:00,claude-opus-4.6,false,42,0.38332,0.355678,0.857828,0.25787,5,0.548434,0.383934,0.881861,0.182501,5,0.563143,0.392592,0.728832,0.190042,5
2026-04-30T16:25:01.876328+00:00,claude-opus-4.6,false,42,0.352263,0.327609,0.859001,0.301063,6,0.482371,0.367138,0.881861,0.117391,6,0.383218,0.359991,0.748642,0.235789,6
2026-04-30T16:26:32.430876+00:00,claude-opus-4.6,false,42,0.351209,0.331327,0.859001,0.304319,4,0.470277,0.364995,0.881861,0.105647,4,0.369428,0.347199,0.748642,0.30379,4
2026-04-30T16:26:43.452734+00:00,claude-opus-4.6,true,42,0.351209,0.331327,0.859001,0.304319,4,0.470277,0.364995,0.881861,0.105647,4,0.369428,0.347199,0.748642,0.30379,4
2026-04-30T16:22:56.817926+00:00,gemini-3.1-pro-preview,false,42,0.344298,0.323815,0.859001,0.317503,3,0.486996,0.347726,0.881861,0.134502,3,0.319214,0.317526,0.748642,0.184676,3
2026-04-30T16:25:22.948192+00:00,gemini-3.1-pro-preview,false,42,0.319791,0.307666,0.859001,0.215454,3,0.506028,0.359402,0.88217,0.161038,3,0.409664,0.354478,0.748642,0.203307,3
2026-04-30T16:26:54.860751+00:00,gemini-3.1-pro-preview,false,42,0.336496,0.309522,0.859001,0.235747,2,0.507663,0.380242,0.882169,0.15474,2,0.554225,0.408221,0.748642,0.136531,2
2026-04-30T16:27:08.606459+00:00,gemini-3.1-pro-preview,true,42,0.344298,0.323815,0.859001,0.317503,3,0.486996,0.347726,0.881861,0.134502,3,0.319214,0.317526,0.748642,0.184676,3
2026-04-30T16:22:03.871212+00:00,openai/gpt-5.4,false,42,0.535774,0.469097,0.859001,0.410309,2,0.450068,0.354365,0.881861,0.089415,2,0.35527,0.334646,0.748642,0.226305,2
2026-04-30T16:23:04.509856+00:00,openai/gpt-5.4,false,42,0.34807,0.324908,0.852832,0.264385,3,0.486206,0.394333,0.841854,0.11936,3,0.454534,0.420753,0.729167,0.180659,3
2026-04-30T16:23:06.044860+00:00,openai/gpt-5.4,true,42,0.34807,0.324908,0.852832,0.264385,3,0.486206,0.394333,0.841854,0.11936,3,0.454534,0.420753,0.729167,0.180659,3
2026-04-30T16:22:30.581561+00:00,qwen3.6-plus,false,42,0.348952,0.319698,0.859001,0.31158,2,0.466339,0.377046,0.881861,0.108896,2,0.381278,0.362914,0.748642,0.182347,3
2026-04-30T16:25:47.129442+00:00,qwen3.6-plus,false,42,0.49041,0.432947,0.859001,0.430271,3,0.511443,0.37262,0.881861,0.146214,3,0.313578,0.317542,0.748642,0.195884,3
2026-04-30T16:35:23.709376+00:00,qwen3.6-plus,false,42,0.523594,0.447139,0.859001,0.43258,3,0.538535,0.403996,0.881861,0.150728,3,0.34431,0.338575,0.748642,0.212406,3
2026-04-30T16:35:56.899887+00:00,qwen3.6-plus,true,42,0.348952,0.319698,0.859001,0.31158,2,0.466339,0.377046,0.881861,0.108896,2,0.381278,0.362914,0.748642,0.182347,3
2026-04-30T16:24:53.891997+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,0.549498,0.474016,0.859001,0.475029,3,0.497977,0.375995,0.881861,0.123793,3,0.314704,0.317651,0.748642,0.203505,3
2026-04-30T16:27:24.353593+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,0.368019,0.319435,0.859001,0.340876,2,0.46169,0.374165,0.881861,0.093639,2,0.38518,0.362736,0.748642,0.299513,2
2026-04-30T16:29:14.643553+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,0.362349,0.318971,0.859001,0.336834,3,0.477129,0.380536,0.881861,0.095247,3,0.385218,0.363847,0.748642,0.290662,3
2026-04-30T16:30:10.010405+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,true,42,0.368019,0.319435,0.859001,0.340876,2,0.46169,0.374165,0.881861,0.093639,2,0.38518,0.362736,0.748642,0.299513,2
