timestamp,model,is_final,seed,d4rl_score_pen_human_v1,d4rl_score_hammer_human_v1,d4rl_score_door_cloned_v1,d4rl_score_pen_human_v1_std,d4rl_score_hammer_human_v1_std,d4rl_score_door_cloned_v1_std,elapsed_pen-human-v1,elapsed_hammer-human-v1,elapsed_door-cloned-v1,elapsed_pen-human-v1_std,elapsed_hammer-human-v1_std,elapsed_door-cloned-v1_std
2026-03-31T01:43:16.841980+00:00,baseline:awac,true,42,108.058,6.532,-0.156,,,,,,,,,
2026-03-31T01:43:16.841980+00:00,baseline:awac,true,123,50.51,1.019,1.855,,,,,,,,,
2026-03-31T01:43:16.841980+00:00,baseline:awac,true,456,59.516,1.674,-0.167,,,,,,,,,
2026-03-31T01:43:16.841980+00:00,baseline:awac,true,mean,72.69466666666666,3.0749999999999997,0.5106666666666667,30.95482219838023,3.0117093153224466,1.164239809203127,,,,,,
2026-03-31T01:43:16.841980+00:00,baseline:iql,true,42,114.098,6.856,-0.072,,,,,,,,,
2026-03-31T01:43:16.841980+00:00,baseline:iql,true,123,95.6,2.374,-0.1,,,,,,,,,
2026-03-31T01:43:16.841980+00:00,baseline:iql,true,456,90.477,1.08,-0.067,,,,,,,,,
2026-03-31T01:43:16.841980+00:00,baseline:iql,true,mean,100.05833333333334,3.436666666666667,-0.07966666666666666,12.425597061442694,3.031087153701347,0.017785762095938802,,,,,,
2026-03-31T01:43:16.841980+00:00,baseline:rebrac,true,42,102.071,0.946,0.038,,,,,,,,,
2026-03-31T01:43:16.841980+00:00,baseline:rebrac,true,123,34.046,0.264,0.056,,,,,,,,,
2026-03-31T01:43:16.841980+00:00,baseline:rebrac,true,456,67.853,1.141,0.134,,,,,,,,,
2026-03-31T01:43:16.841980+00:00,baseline:rebrac,true,mean,67.99,0.7836666666666666,0.076,34.01270693432088,0.46048488936482307,0.0510294032886923,,,,,,
2026-04-02T06:05:53.408646+00:00,google/gemini-3.1-pro-preview,false,42,,,,,,,14,14,20,,,
2026-04-02T06:05:53.409240+00:00,google/gemini-3.1-pro-preview,false,123,,,,,,,14,14,20,,,
2026-04-02T06:05:53.409637+00:00,google/gemini-3.1-pro-preview,false,456,,,,,,,14,14,20,,,
2026-04-02T06:05:53.410015+00:00,google/gemini-3.1-pro-preview,false,mean,,,,,,,14.0,14.0,20.0,0.0,0.0,0.0
2026-04-02T12:16:59.965198+00:00,anthropic/claude-opus-4.6,false,42,101.335,1.381,2.146,,,,21292,22248,13688,,,
2026-04-02T12:16:59.965839+00:00,anthropic/claude-opus-4.6,false,123,102.061,3.495,0.04,,,,21489,22285,13688,,,
2026-04-02T12:16:59.973387+00:00,anthropic/claude-opus-4.6,false,456,44.022,1.468,4.17,,,,21489,22285,13688,,,
2026-04-02T12:16:59.973784+00:00,anthropic/claude-opus-4.6,false,mean,82.47266666666667,2.1146666666666665,2.1186666666666665,33.30123262483438,1.1961949395200322,2.0651356694738805,21423.333333333332,22272.666666666668,13688.0,113.73800303035628,21.361959960016154,0.0
2026-04-02T13:25:21.191089+00:00,google/gemini-3.1-pro-preview,false,42,128.483,1.353,0.24,,,,10906,11389,11389,,,
2026-04-02T17:55:22.510499+00:00,anthropic/claude-opus-4.6,false,42,95.005,2.574,0.838,,,,14195,14814,14835,,,
2026-04-02T19:27:13.854862+00:00,google/gemini-3.1-pro-preview,true,42,106.625,1.313,0.235,,,,18887,20192,11029,,,
2026-04-02T19:27:13.857491+00:00,google/gemini-3.1-pro-preview,true,123,86.407,1.134,3.082,,,,19079,20226,11029,,,
2026-04-02T19:27:13.858458+00:00,google/gemini-3.1-pro-preview,true,456,75.225,6.126,7.358,,,,19079,20301,11106,,,
2026-04-02T19:27:13.859001+00:00,google/gemini-3.1-pro-preview,true,mean,89.419,2.857666666666667,3.558333333333333,15.915216241069428,2.831874349849113,3.585310632753225,19015.0,20239.666666666668,11054.666666666666,110.85125168440814,55.77036249956901,44.45597072760118
2026-04-04T13:14:16.720895+00:00,anthropic/claude-opus-4.6,true,42,95.005,2.574,,,,,25548,26105,24,,,
2026-04-04T13:14:16.721838+00:00,anthropic/claude-opus-4.6,true,123,59.488,1.933,,,,,25650,26172,24,,,
2026-04-04T13:14:16.722202+00:00,anthropic/claude-opus-4.6,true,456,63.692,,,,,,25650,26172,24,,,
2026-04-04T13:14:16.722512+00:00,anthropic/claude-opus-4.6,true,mean,72.72833333333332,2.2535,,19.406334335297153,0.45325544674057683,,25616.0,26149.666666666668,24.0,58.88972745734183,38.68246803570493,0.0
2026-04-05T19:56:25.556232+00:00,deepseek-reasoner,false,42,,1.664,,,,,34,25573,31,,,
2026-04-05T19:56:25.556859+00:00,deepseek-reasoner,false,123,,,,,,,34,25573,31,,,
2026-04-05T19:56:25.557305+00:00,deepseek-reasoner,false,456,54.159,7.169,,,,,24724,25573,31,,,
2026-04-05T19:56:25.557678+00:00,deepseek-reasoner,false,mean,54.159,4.4165,,,3.892622830431944,,8264.0,25573.0,31.0,14254.77814629186,0.0,0.0
2026-04-06T02:12:22.076956+00:00,deepseek-reasoner,false,42,103.28,2.341,-0.05,,,,21271,22471,22471,,,
2026-04-11T00:40:16.846443+00:00,qwen3.6-plus,false,42,,,-0.102,,,,31,32,27365,,,
