timestamp,model,is_final,seed,test_return_mean_3s5z_vs_3s6z,test_return_std_3s5z_vs_3s6z,test_battle_won_mean_3s5z_vs_3s6z,test_return_mean_corridor,test_return_std_corridor,test_battle_won_mean_corridor,test_return_mean_MMM2,test_return_std_MMM2,test_battle_won_mean_MMM2,test_return_mean_simple_spread,test_return_std_simple_spread,elapsed_simple-spread,test_return_mean_simple_reference,test_return_std_simple_reference,elapsed_simple-reference,test_return_mean_simple_speaker_listener,test_return_std_simple_speaker_listener,elapsed_simple-speaker-listener,test_return_mean_simple_spread_std,test_return_std_simple_spread_std,elapsed_simple-spread_std,test_return_mean_simple_reference_std,test_return_std_simple_reference_std,elapsed_simple-reference_std,test_return_mean_simple_speaker_listener_std,test_return_std_simple_speaker_listener_std,elapsed_simple-speaker-listener_std,test_return_mean_simple_tag,test_return_std_simple_tag,elapsed_simple-tag,test_return_mean_simple_tag_std,test_return_std_simple_tag_std,elapsed_simple-tag_std,test_return_mean_2s3z,test_return_std_2s3z,test_battle_won_mean_2s3z,test_return_mean_3s5z,test_return_std_3s5z,test_battle_won_mean_3s5z,test_return_mean_MMM,test_return_std_MMM,test_battle_won_mean_MMM,test_return_mean_2s3z_std,test_return_std_2s3z_std,test_battle_won_mean_2s3z_std,test_return_mean_3s5z_std,test_return_std_3s5z_std,test_battle_won_mean_3s5z_std,test_return_mean_MMM_std,test_return_std_MMM_std,test_battle_won_mean_MMM_std,test_return_mean_3s5z_vs_3s6z_std,test_return_std_3s5z_vs_3s6z_std,test_battle_won_mean_3s5z_vs_3s6z_std,test_return_mean_corridor_std,test_return_std_corridor_std,test_battle_won_mean_corridor_std,test_return_mean_MMM2_std,test_return_std_MMM2_std,test_battle_won_mean_MMM2_std,test_return_mean_3s_vs_5z,test_return_std_3s_vs_5z,test_battle_won_mean_3s_vs_5z,elapsed_3s_vs_5z,test_return_mean_2c_vs_64zg,test_return_std_2c_vs_64zg,test_battle_won_mean_2c_vs_64zg,elapsed_2c_vs_64zg,test_return_mean_10m_vs_11m,test_return_std_10m_vs_11m,test_battle_won_mean_10m_vs_11m,elapsed_3s5z_vs_3s6z
2026-04-11T02:23:33.224504+00:00,baseline:qmix,false,42,,,,,,,,,,-54.6804,14.5465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-12T07:37:42.947391+00:00,baseline:vdn,false,42,,,,,,,,,,-48.3557,11.5765,3517,-35.756,12.0789,3413,-34.0903,23.9101,2614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-12T07:37:42.947883+00:00,baseline:vdn,false,123,,,,,,,,,,-49.3176,13.6371,3517,-34.2039,13.1004,3206,-27.4302,19.2269,2642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-12T07:37:42.948292+00:00,baseline:vdn,false,456,,,,,,,,,,-51.9014,13.9235,3413,-34.6517,10.3305,3225,-33.8174,24.3514,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-12T07:37:42.948588+00:00,baseline:vdn,false,mean,,,,,,,,,,-49.85823333333333,13.0457,3482.3333333333335,-34.870533333333334,11.8366,3281.3333333333335,-31.7793,22.496133333333333,2402.0,1.833633121246816,1.2803974851584181,60.04442799572108,0.7988551954724559,1.4007563920967843,114.42173453209548,3.768901923637706,2.8398241782429654,391.69375792830806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-12T07:53:43.014500+00:00,baseline:linear_mixer,false,42,,,,,,,,,,-45.4967,10.4008,3312,-37.4621,12.9476,2813,-34.5417,25.1917,3072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-12T07:53:43.015151+00:00,baseline:linear_mixer,false,123,,,,,,,,,,-45.8242,11.346,3318,-34.6669,12.5876,3262,-29.4118,18.4812,3072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-12T07:53:43.015478+00:00,baseline:linear_mixer,false,456,,,,,,,,,,-48.7305,11.4639,2813,-33.4848,8.9694,3275,-31.6674,24.0461,2130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-12T07:53:43.015825+00:00,baseline:linear_mixer,false,mean,,,,,,,,,,-46.6838,11.070233333333334,3147.6666666666665,-35.2046,11.501533333333333,3116.6666666666665,-31.873633333333334,22.573,2758.0,1.7800420584918784,0.5827356547640906,289.8453610691973,2.0424421142348197,2.200266895931794,263.0633637231405,2.5711607579716462,3.5895989009915854,543.8639535766275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-12T08:07:43.094883+00:00,baseline:qmix,false,42,,,,,,,,,,-47.5008,12.4577,2820,-36.4251,13.1139,,-19.6775,14.8209,3014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
