timestamp,model,is_final,seed,elapsed_resnet20-cifar10,test_acc_resnet20-cifar10,best_acc_resnet20-cifar10,test_loss_resnet20-cifar10,test_acc_vgg11-cifar100,best_acc_vgg11-cifar100,test_loss_vgg11-cifar100,elapsed_vgg11-cifar100,test_acc_resnet56-cifar10,best_acc_resnet56-cifar10,test_loss_resnet56-cifar10,elapsed_resnet56-cifar10,test_acc_resnet20-cifar10_std,best_acc_resnet20-cifar10_std,test_loss_resnet20-cifar10_std,test_acc_vgg11-cifar100_std,best_acc_vgg11-cifar100_std,test_loss_vgg11-cifar100_std,test_acc_resnet56-cifar10_std,best_acc_resnet56-cifar10_std,test_loss_resnet56-cifar10_std,elapsed_resnet20-cifar10_std,elapsed_vgg11-cifar100_std,elapsed_resnet56-cifar10_std
2026-04-23T10:51:05.892152+00:00,baseline:qsgd,true,42,13435,92.66,92.66,0.2781,69.8,69.8,1.6211,13435,94.06,94.06,0.2681,4586,,,,,,,,,,,,
2026-04-04T09:38:26.531219+00:00,baseline:qsgd,true,123,1407.2,92.38,92.38,0.2709,38.57,38.57,2.2991,5.7,93.94,93.94,0.2609,3637.6,,,,,,,,,,,,
2026-04-21T15:51:41.254489+00:00,baseline:qsgd,true,456,6.8,86.78,86.78,0.3929,37.91,37.91,2.3027,6.8,94.23,94.23,0.2763,3938,,,,,,,,,,,,
2026-04-23T10:51:05.892152+00:00,baseline:qsgd,true,mean,4949.666666666667,90.60666666666667,90.60666666666667,0.31396666666666667,48.76,48.76,2.0743,4482.5,94.07666666666667,94.07666666666667,0.26843333333333336,4053.866666666667,2.7082753839954203,2.7082753839954203,0.05589164119575983,14.879966397811522,14.879966397811522,0.3204641633630819,0.11897712198383412,0.11897712198383412,0.006291440393282135,,,
2026-04-04T07:35:59.632958+00:00,baseline:signsgd,true,42,6,92.65,92.66,0.2703,70.82,70.82,1.453,4,94.33,94.33,0.261,4,,,,,,,,,,,,
2026-04-04T07:35:59.633813+00:00,baseline:signsgd,true,123,6,92.26,92.28,0.2776,70.82,70.82,1.4498,4,93.98,93.98,0.2545,4,,,,,,,,,,,,
2026-04-04T07:35:59.634340+00:00,baseline:signsgd,true,456,6,92.61,92.61,0.2667,70.66,70.66,1.4502,4,94.12,94.12,0.2569,4,,,,,,,,,,,,
2026-04-04T07:35:59.634340+00:00,baseline:signsgd,true,mean,6.0,92.50666666666666,92.51666666666667,0.27153333333333335,70.76666666666667,70.76666666666667,1.4509999999999998,4.0,94.14333333333333,94.14333333333333,0.2574666666666667,4.0,0.1751824445796112,0.16858891488535563,0.004534558657931586,0.07542472332656346,0.07542472332656346,0.001423610433604226,0.1438363267359403,0.1438363267359403,0.002683695627716048,,,
2026-04-04T07:35:04.164171+00:00,baseline:topk_ef,true,42,7,92.05,92.05,0.2805,70.78,70.78,1.4511,6,93.78,93.78,0.2562,8,,,,,,,,,,,,
2026-04-04T07:35:04.165123+00:00,baseline:topk_ef,true,123,7,92.06,92.4,0.2686,69.75,69.75,1.4917,7,93.79,93.79,0.2679,8,,,,,,,,,,,,
2026-04-04T07:35:04.165635+00:00,baseline:topk_ef,true,456,7,92.07,92.29,0.2782,70.04,70.2,1.4669,8,93.98,93.98,0.2503,8,,,,,,,,,,,,
2026-04-04T07:35:04.165635+00:00,baseline:topk_ef,true,mean,7.0,92.06,92.24666666666667,0.27576666666666666,70.19,70.24333333333334,1.4699,7.0,93.85000000000001,93.85000000000001,0.2581333333333333,8.0,0.008164965809275636,0.1461354014452237,0.005153855083548846,0.4336665385600629,0.4216106682183883,0.016710076800142665,0.09201449161228197,0.09201449161228197,0.007314065596886292,,,
2026-04-06T10:16:10.258188+00:00,anthropic/claude-opus-4.6,false,42,,,,,69.99,70.02,1.5044,936,94.49,94.49,0.2266,2307,,,,,,,,,,,,
2026-04-06T11:49:23.964058+00:00,anthropic/claude-opus-4.6,false,42,1569,92.5,92.51,0.2775,71.31,71.31,1.434,1569,94.27,94.27,0.2538,3064,,,,,,,,,,,,
2026-04-06T14:32:40.492336+00:00,anthropic/claude-opus-4.6,true,42,2624,93.03,93.03,0.2629,70.82,70.82,1.4332,1400,94.14,94.14,0.2488,3707,,,,,,,,,,,,
2026-04-06T10:16:10.258885+00:00,anthropic/claude-opus-4.6,false,123,,,,,70.76,70.76,1.4851,936,94.05,94.05,0.2488,2920,,,,,,,,,,,,
2026-04-06T14:32:40.493554+00:00,anthropic/claude-opus-4.6,true,123,2624,92.7,92.71,0.2662,70.98,70.98,1.4412,1400,94.38,94.38,0.2449,4745,,,,,,,,,,,,
2026-04-06T10:16:10.259208+00:00,anthropic/claude-opus-4.6,false,456,,,,,70.33,70.33,1.4879,1004,93.99,94.01,0.2437,2920,,,,,,,,,,,,
2026-04-06T14:32:40.494065+00:00,anthropic/claude-opus-4.6,true,456,2627,92.41,92.41,0.278,71.12,71.12,1.4374,1623,94.08,94.08,0.2394,4750,,,,,,,,,,,,
2026-04-06T10:16:10.259511+00:00,anthropic/claude-opus-4.6,false,mean,,,,,70.36,70.37,1.4924666666666666,958.6666666666666,94.17666666666666,94.18333333333334,0.2397,2715.6666666666665,,,,0.3858756276314999,0.3716180835212456,0.010428966072115308,0.2730079363925764,0.2663331247391718,0.011627983488120372,,39.25981830489455,353.9157150132406
2026-04-06T14:32:40.494479+00:00,anthropic/claude-opus-4.6,true,mean,2625.0,92.71333333333334,92.71666666666667,0.26903333333333335,70.97333333333333,70.97333333333333,1.4372666666666667,1474.3333333333333,94.2,94.2,0.24436666666666668,4400.666666666667,0.3102149792214017,0.3100537587795619,0.007938723658960138,0.15011106998930848,0.15011106998930848,0.004001666319589048,0.15874507866387338,0.15874507866387338,0.004722640504350643,1.7320508075688772,128.74911002928656,600.7381570479216
2026-04-06T11:40:50.689580+00:00,deepseek-reasoner,false,42,,,,,70.32,70.43,1.479,3628,93.96,93.96,0.2514,9947,,,,,,,,,,,,
2026-04-06T15:33:19.678105+00:00,deepseek-reasoner,false,42,4858,92.56,92.72,0.2743,70.62,70.62,1.4615,4858,,,,,,,,,,,,,,,,
2026-04-06T11:40:50.691313+00:00,deepseek-reasoner,false,123,,,,,70.03,70.06,1.4705,3628,,,,,,,,,,,,,,,,
2026-04-06T11:40:50.691822+00:00,deepseek-reasoner,false,456,,,,,69.76,69.86,1.4947,6237,93.89,93.89,0.2459,,,,,,,,,,,,,
2026-04-06T11:40:50.692202+00:00,deepseek-reasoner,false,mean,,,,,70.03666666666666,70.11666666666667,1.4814,4497.666666666667,93.925,93.925,0.24865,9947.0,,,,0.28005951748392693,0.28919428302325667,0.012277214667830794,0.0494974746830535,0.0494974746830535,0.003889087296526015,,1506.3068523157335,
2026-04-06T10:33:23.549778+00:00,google/gemini-3.1-pro-preview,false,42,,,,,70.26,70.41,1.4623,2335,94.23,94.23,0.2519,6465,,,,,,,,,,,,
2026-04-06T15:31:20.322378+00:00,google/gemini-3.1-pro-preview,true,42,,,,,70.31,70.31,1.4126,2368,93.88,93.88,0.2648,6874,,,,,,,,,,,,
2026-04-06T10:33:23.551211+00:00,google/gemini-3.1-pro-preview,false,123,,,,,70.44,70.44,1.4614,2337,94.24,94.24,0.2371,8844,,,,,,,,,,,,
2026-04-06T15:31:20.323815+00:00,google/gemini-3.1-pro-preview,true,123,,,,,70.59,70.59,1.3996,2369,94.42,94.42,0.257,11952,,,,,,,,,,,,
2026-04-06T10:33:23.551902+00:00,google/gemini-3.1-pro-preview,false,456,,,,,70.16,70.26,1.4535,2469,93.89,94.02,0.2445,8882,,,,,,,,,,,,
2026-04-06T15:31:20.324880+00:00,google/gemini-3.1-pro-preview,true,456,,,,,70.48,70.48,1.3939,2426,93.93,93.93,0.2618,12044,,,,,,,,,,,,
2026-04-06T10:33:23.552549+00:00,google/gemini-3.1-pro-preview,false,mean,,,,,70.28666666666666,70.37,1.4590666666666667,2380.3333333333335,94.12,94.16333333333333,0.2445,8063.666666666667,,,,0.14189197769195155,0.0964365076099251,0.004841831609353336,0.19924858845171198,0.12423096769056327,0.007400000000000004,,76.79409699536373,1384.6163126777517
2026-04-06T15:31:20.325884+00:00,google/gemini-3.1-pro-preview,true,mean,,,,,70.46000000000001,70.46000000000001,1.4020333333333332,2387.6666666666665,94.07666666666667,94.07666666666667,0.2612,10290.0,,,,0.1410673597966595,0.1410673597966595,0.009584536156399794,0.2983845393671291,0.2983845393671291,0.003934463114581186,,33.201405592735576,2958.700390374125
2026-04-07T03:27:13.886774+00:00,openai/gpt-5.4-pro,false,42,2222,92.59,92.59,0.2759,70.84,70.88,1.4361,1906,93.94,93.94,0.2564,3503,,,,,,,,,,,,
2026-04-07T04:41:45.912825+00:00,openai/gpt-5.4-pro,false,42,3064,92.72,92.72,0.2665,70.68,70.68,1.4489,3648,94.19,94.19,0.2619,3445,,,,,,,,,,,,
2026-04-07T06:12:32.055571+00:00,openai/gpt-5.4-pro,true,42,4390,92.85,92.85,0.2709,70.74,70.78,1.4366,2395,94.35,94.41,0.2377,3903,,,,,,,,,,,,
2026-04-07T03:27:13.887749+00:00,openai/gpt-5.4-pro,false,123,2222,92.48,92.48,0.2785,69.98,69.98,1.4534,1907,93.97,93.97,0.2573,4596,,,,,,,,,,,,
2026-04-07T06:12:32.056981+00:00,openai/gpt-5.4-pro,true,123,4395,92.96,92.97,0.2627,70.54,70.54,1.4665,2395,93.96,93.97,0.2537,5004,,,,,,,,,,,,
2026-04-07T03:27:13.888282+00:00,openai/gpt-5.4-pro,false,456,2222,92.49,92.67,0.276,70.34,70.34,1.4435,2109,94.31,94.31,0.2554,4596,,,,,,,,,,,,
2026-04-07T06:12:32.057837+00:00,openai/gpt-5.4-pro,true,456,4395,92.54,92.54,0.265,70.79,70.84,1.4475,2340,93.97,93.97,0.281,5008,,,,,,,,,,,,
2026-04-07T03:27:13.888829+00:00,openai/gpt-5.4-pro,false,mean,2222.0,92.52,92.58,0.2768,70.38666666666667,70.4,1.4443333333333332,1974.0,94.07333333333334,94.07333333333334,0.2563666666666667,4231.666666666667,0.06082762530298411,0.09539392014169346,0.0014730919862656383,0.4318950489798802,0.4529900661162405,0.008680053763274402,0.20550750189064704,0.20550750189064704,0.0009504384952921959,0.0,116.91449867317569,631.043844224261
2026-04-07T06:12:32.058605+00:00,openai/gpt-5.4-pro,true,mean,4393.333333333333,92.78333333333333,92.78666666666666,0.2662,70.69,70.72,1.4502,2376.6666666666665,94.09333333333333,94.11666666666666,0.2574666666666667,4638.333333333333,0.2177919496522549,0.22188585654189683,0.0042296571965113085,0.13228756555322738,0.15874507866387338,0.01513175469005486,0.22233608194202947,0.25403411844343404,0.02189436761665735,2.8867513459481287,31.75426480542942,636.8204875263776
2026-04-06T07:49:33.719663+00:00,qwen3.6-plus:free,false,42,2759,90.9,90.9,0.3049,66.68,66.92,1.7081,1176,92.17,92.17,0.2934,3967,,,,,,,,,,,,
2026-04-06T17:42:54.244294+00:00,qwen3.6-plus:free,true,42,,,,,67.06,67.27,1.7106,2930,93.52,93.52,0.2656,5905,,,,,,,,,,,,
2026-04-06T07:49:33.720717+00:00,qwen3.6-plus:free,false,123,2759,90.73,90.73,0.3016,66.7,66.81,1.7345,1177,92.11,92.11,0.2882,3846,,,,,,,,,,,,
2026-04-06T17:42:54.245935+00:00,qwen3.6-plus:free,true,123,,,,,67.58,67.58,1.7094,2930,,,,,,,,,,,,,,,,
2026-04-06T07:49:33.721216+00:00,qwen3.6-plus:free,false,456,2759,90.66,90.66,0.3126,67.14,67.14,1.7039,1974,91.82,92.12,0.3031,3894,,,,,,,,,,,,
2026-04-06T17:42:54.247185+00:00,qwen3.6-plus:free,true,456,,,,,67.73,67.73,1.6976,2907,,,,,,,,,,,,,,,,
2026-04-06T07:49:33.721582+00:00,qwen3.6-plus:free,false,mean,2759.0,90.76333333333334,90.76333333333334,0.3063666666666667,66.84,66.95666666666666,1.7155,1442.3333333333333,92.03333333333333,92.13333333333334,0.2949,3902.3333333333335,0.12342339054382816,0.12342339054382816,0.0056447615833915745,0.25999999999999746,0.16802777548171327,0.016587947431795154,0.18717193521822384,0.03214550253664342,0.0075624070242218365,0.0,460.43711115996433,60.92892033618627
2026-04-06T17:42:54.248369+00:00,qwen3.6-plus:free,true,mean,,,,,67.45666666666666,67.52666666666667,1.7058666666666666,2922.3333333333335,93.52,93.52,0.2656,5905.0,,,,0.3516153201061258,0.23459184413217582,0.007184242015225613,,,,,13.279056191361393,
2026-04-28T12:58:21.444407+00:00,openai/gpt-5.4,false,42,1931,92.41,92.41,0.2716,70.69,70.69,1.4904,1931,94.31,94.31,0.2503,3166,,,,,,,,,,,,
2026-04-28T14:15:01.170394+00:00,openai/gpt-5.4,false,42,1304,92.53,92.53,0.2717,70.59,70.59,1.4726,3887,94.18,94.18,0.2592,1824,,,,,,,,,,,,
2026-04-28T15:17:36.408246+00:00,openai/gpt-5.4,false,42,1278,92.47,92.51,0.2727,70.91,70.91,1.4547,3713,94.36,94.36,0.2621,2032,,,,,,,,,,,,
