timestamp,model,is_final,seed,smape_m4_monthly,mape_m4_monthly,smape_m4_quarterly,mape_m4_quarterly,smape_m4_yearly,mape_m4_yearly,elapsed_m4_monthly,elapsed_m4_quarterly,elapsed_m4_yearly
2026-03-02T17:13:03.299847+00:00,baseline:dlinear,true,42,13.39475,0.16284,10.500537,0.122051,14.358028,0.167752,,,
2026-03-03T07:46:17.423409+00:00,baseline:timemixer,true,42,12.802117,0.150131,10.209378,0.116704,13.378583,0.163137,,,
2026-04-04T10:01:30.754913+00:00,baseline:timesnet,true,42,12.803044,0.148797,10.089292,0.113766,13.4421,0.163668,1634,1634,1634
2026-04-05T03:39:07.663180+00:00,google/gemini-3.1-pro-preview,false,42,12.661825,0.148152,10.083898,0.115796,13.574995,0.164703,386,386,386
2026-04-05T04:12:56.207880+00:00,anthropic/claude-opus-4.6,false,42,12.917009,0.153502,10.323771,0.119709,13.797763,0.16493,196,196,196
2026-04-05T04:34:22.244424+00:00,google/gemini-3.1-pro-preview,false,42,12.650819,0.147312,10.134621,0.116075,13.575453,0.163019,354,354,354
2026-04-05T05:20:22.908557+00:00,gpt-5.4-pro,true,42,13.031635,0.157142,10.50775,0.122179,13.583913,0.165864,945,945,945
2026-04-05T05:25:08.910282+00:00,anthropic/claude-opus-4.6,false,42,13.397984,0.161946,10.686596,0.123963,13.741249,0.163883,211,211,211
2026-04-05T05:25:52.214272+00:00,anthropic/claude-opus-4.6,true,42,12.917009,0.153502,10.323771,0.119709,13.797763,0.16493,196,196,196
2026-04-05T05:51:16.207643+00:00,google/gemini-3.1-pro-preview,true,42,12.588035,0.147025,10.118975,0.115656,13.508629,0.162607,418,418,418
2026-04-06T11:31:11.065857+00:00,deepseek-reasoner,false,42,,,,,,,14,14,14
2026-04-06T11:44:57.117040+00:00,deepseek-reasoner,false,42,13.41266,0.162628,10.765751,0.125446,13.652262,0.163753,152,152,152
2026-04-06T12:21:44.270860+00:00,openai/gpt-5.4-pro,false,42,12.891577,0.152581,10.208421,0.117566,13.5523,0.162857,688,688,688
2026-04-06T13:06:23.911485+00:00,openai/gpt-5.4-pro,false,42,12.92175,0.153645,10.22085,0.117927,13.507437,0.166148,802,802,802
2026-04-06T13:13:47.432806+00:00,openai/gpt-5.4-pro,true,42,12.891577,0.152581,10.208421,0.117566,13.5523,0.162857,688,688,688
2026-04-06T14:52:44.983750+00:00,qwen/qwen3.6-plus:free,false,42,13.151292,0.156111,10.505074,0.12191,13.547711,0.167222,262,262,262
2026-04-11T15:01:48.770017+00:00,baseline:patchtst,false,42,14.087656,0.168976,10.844073,0.132015,13.561318,0.168917,348,348,348
2026-04-12T04:03:08.185548+00:00,baseline:patchtst,true,42,12.967651,0.153743,10.219109,0.117616,13.678909,0.167351,306,306,306
2026-04-26T06:57:08.722653+00:00,gpt-5.4,false,42,13.039064,0.155375,10.294749,0.117657,13.549442,0.161766,534,534,534
2026-04-26T07:13:39.085705+00:00,gpt-5.4,false,42,13.135561,0.156734,10.339177,0.118453,13.549597,0.162908,581,581,581
2026-04-26T07:13:43.163663+00:00,gpt-5.4,true,42,13.039064,0.155375,10.294749,0.117657,13.549442,0.161766,534,534,534
2026-05-03T09:21:07.325445+00:00,deepseek-reasoner,true,42,13.41266,0.162628,10.765751,0.125446,13.652262,0.163753,152,152,152
2026-05-03T09:21:26.110043+00:00,qwen/qwen3.6-plus:free,true,42,13.151292,0.156111,10.505074,0.12191,13.547711,0.167222,262,262,262
