timestamp,model,is_final,seed,ep_ret_SafetyPointGoal1_v0,ep_cost_SafetyPointGoal1_v0,ep_ret_SafetyCarGoal1_v0,ep_cost_SafetyCarGoal1_v0,ep_ret_SafetyPointButton1_v0,ep_cost_SafetyPointButton1_v0,elapsed_SafetyPointGoal1-v0,elapsed_SafetyCarGoal1-v0,elapsed_SafetyPointButton1-v0,ep_ret_SafetyPointGoal1_v0_std,ep_cost_SafetyPointGoal1_v0_std,elapsed_SafetyPointGoal1-v0_std,ep_ret_SafetyCarGoal1_v0_std,ep_cost_SafetyCarGoal1_v0_std,elapsed_SafetyCarGoal1-v0_std,ep_ret_SafetyPointButton1_v0_std,ep_cost_SafetyPointButton1_v0_std,elapsed_SafetyPointButton1-v0_std
2026-04-15T05:35:41.241570+00:00,baseline:naive,true,42,25.1899,45.17,32.3217,64.87,25.037,153.0,19726,18625,18723,,,,,,,,,
2026-04-15T05:35:41.243105+00:00,baseline:naive,true,123,26.1317,52.28,32.4097,64.73,8.7886,163.78,19746,18674,18723,,,,,,,,,
2026-04-15T05:35:41.243450+00:00,baseline:naive,true,456,25.2864,56.8,33.7404,52.55,25.2465,140.51,19746,18741,18723,,,,,,,,,
2026-04-15T05:35:41.243766+00:00,baseline:naive,true,mean,25.536,51.416666666666664,32.823933333333336,60.71666666666667,19.6907,152.43,19739.333333333332,18680.0,18723.0,0.5181427699003418,5.862869036003901,11.547005383792515,0.7949021092771952,7.072887199251335,58.23229344616267,9.44207661851989,11.645466929239038,0.0
2026-04-15T06:29:43.872670+00:00,baseline:ppo_lag,true,42,11.8307,45.72,17.2587,49.18,5.0079,51.31,20156,19360,19778,,,,,,,,,
2026-04-15T06:29:43.875105+00:00,baseline:ppo_lag,true,123,12.4711,42.5,19.8435,40.93,3.6397,59.53,20171,19388,19874,,,,,,,,,
2026-04-15T06:29:43.875512+00:00,baseline:ppo_lag,true,456,21.1206,48.52,18.648,50.03,3.3823,57.83,20260,19478,19874,,,,,,,,,
2026-04-15T06:29:43.875894+00:00,baseline:ppo_lag,true,mean,15.1408,45.58,18.5834,46.71333333333333,4.009966666666667,56.223333333333336,20195.666666666668,19408.666666666668,19842.0,5.188548358645219,3.0124408707890034,56.21684207898318,1.2936103084004846,5.026513039208527,61.65495384260159,0.8737659259397415,4.339139699679341,55.42562584220407
2026-04-15T09:38:04.353756+00:00,baseline:pid_lag,true,42,0.5656,13.86,1.2759,25.22,1.0447,24.19,20789,19829,19944,,,,,,,,,
2026-04-15T09:38:04.356228+00:00,baseline:pid_lag,true,123,0.1389,21.58,2.2878,14.01,0.0373,22.21,20789,19829,20037,,,,,,,,,
2026-04-15T09:38:04.356674+00:00,baseline:pid_lag,true,456,-0.1041,22.37,2.4244,18.68,0.3087,28.51,20789,19829,20037,,,,,,,,,
2026-04-15T09:38:04.357096+00:00,baseline:pid_lag,true,mean,0.20013333333333333,19.27,1.9960333333333333,19.303333333333335,0.4635666666666666,24.970000000000002,20789.0,19829.0,20006.0,0.3390231014744177,4.701818797018873,0.0,0.6273825813117011,5.630935387067883,0.0,0.5212498952837624,3.221614502078112,53.693575034635195
2026-04-16T19:00:55.409179+00:00,gpt-5.4,false,123,,,,,5.6998,70.77,,,,,,,,,,,,
2026-04-16T19:10:39.242259+00:00,qwen3.6-plus,false,42,23.8626,50.67,30.6637,50.38,24.6385,136.61,19743,18808,19205,,,,,,,,,
2026-04-16T19:10:39.250072+00:00,qwen3.6-plus,false,123,23.872,44.8,31.2352,55.64,13.425,141.82,19743,18808,19205,,,,,,,,,
2026-04-16T19:10:39.250617+00:00,qwen3.6-plus,false,456,25.4718,53.14,28.5925,57.07,21.0358,130.82,19743,18808,19205,,,,,,,,,
2026-04-16T19:10:39.251115+00:00,qwen3.6-plus,false,mean,24.402133333333335,49.53666666666667,30.1638,54.36333333333334,19.699766666666665,136.41666666666666,19743.0,18808.0,19205.0,0.9263704298677365,4.283950668872524,0.0,1.3904642498101116,3.5229864225303684,0.0,5.724891646427322,5.502547894687818,0.0
2026-04-16T19:36:38.885678+00:00,claude-opus-4.6,false,42,0.0999,9.66,1.0575,11.64,0.1416,36.7,21599,20300,20446,,,,,,,,,
2026-04-16T19:36:38.888520+00:00,claude-opus-4.6,false,123,1.6632,14.44,1.7875,22.97,-0.0681,20.38,21876,20476,20446,,,,,,,,,
2026-04-16T19:36:38.889084+00:00,claude-opus-4.6,false,456,-0.0162,14.89,2.4081,14.44,-0.7834,19.31,21876,20476,20477,,,,,,,,,
