timestamp,model,is_final,seed,best_fid_small,best_fid_medium,best_fid_large,best_fid,elapsed_train_medium,elapsed_train_small,fid,fid_large,elapsed_train_large
2026-04-14T00:00:00.000000+00:00,baseline:mse_base,true,42,22.33,21.91,,,,,,,
2026-04-14T00:00:00.000000+00:00,baseline:lpips_grad,true,42,17.79,17.19,14.49,,,,,,
2026-04-14T00:00:00.000000+00:00,baseline:lpips_spectral,true,42,17.38,15.82,13.63,,,,,,
2026-04-12T08:31:05+00:00,anthropic/claude-opus-4.6,false,42,20.61,16.83,76.72,,7892,6102,,,
2026-04-12T12:26:44+00:00,anthropic/claude-opus-4.6,false,42,20.19,15.85,,,7852,6057,,,
2026-04-12T16:21:17+00:00,anthropic/claude-opus-4.6,false,42,19.88,15.05,,,7746,5975,,,
2026-04-12T16:21:17+00:00,anthropic/claude-opus-4.6,true,42,19.88,15.05,14.00,,,,,,
2026-04-12T03:36:47+00:00,deepseek-reasoner,false,42,26.94,26.61,65.65,,7894,6137,,,
2026-04-12T07:33:07+00:00,deepseek-reasoner,false,42,23.94,23.36,,,7897,6114,,,
2026-04-12T11:31:56+00:00,deepseek-reasoner,false,42,20.81,20.16,,,8098,6228,,,
2026-04-12T11:31:56+00:00,deepseek-reasoner,true,42,20.81,20.16,19.16,,,,,,
2026-04-12T03:36:50+00:00,google/gemini-3.1-pro-preview,false,42,20.98,20.72,85.47,,7896,6117,,,
2026-04-12T07:32:36+00:00,google/gemini-3.1-pro-preview,false,42,25.42,25.09,,,7865,6070,,,
2026-04-12T11:29:52+00:00,google/gemini-3.1-pro-preview,false,42,25.41,26.77,,,7736,5968,,,
2026-04-12T03:36:50+00:00,google/gemini-3.1-pro-preview,true,42,20.98,20.72,18.63,,,,,,
2026-04-13T15:53:19+00:00,qwen/qwen3.6-plus,false,42,19.7900,16.52,76.08,76.08,,,77.55,77.55,4883.3
2026-04-13T15:55:09+00:00,qwen/qwen3.6-plus,false,42,19.7900,16.52,,,7872,,,,
2026-04-13T18:09:08+00:00,qwen/qwen3.6-plus,false,42,19.7900,16.49,,,7913,,,,
2026-04-13T15:55:09+00:00,qwen/qwen3.6-plus,true,42,19.79,16.52,76.08,76.08,,,77.55,77.55,4883.3
