timestamp,model,is_final,seed,final_score_longbench-hotpotqa,mean_retained_fraction_longbench-hotpotqa,runtime_seconds_longbench-hotpotqa,final_score_longbench-passage-retrieval,mean_retained_fraction_longbench-passage-retrieval,runtime_seconds_longbench-passage-retrieval,final_score_longbench-repobench,mean_retained_fraction_longbench-repobench,runtime_seconds_longbench-repobench,final_score_longbench-v2,mean_retained_fraction_longbench-v2,runtime_seconds_longbench-v2,final_score_gsm8k,mean_retained_fraction_gsm8k,runtime_seconds_gsm8k,elapsed_longbench-hotpotqa,elapsed_longbench-passage-retrieval,elapsed_longbench-repobench,elapsed_longbench-v2,elapsed_gsm8k
2026-04-23T03:51:51.091131+00:00,baseline:expected_attention,true,42,33.406058,0.199918,366.6,50.288889,0.199919,345.5,47.31,0.19994,670.1,29.622266,0.199974,2717.1,4.169826,0.193207,7156.7,366.6,345.5,670.1,2717.1,7156.7
2026-04-23T03:49:43.438773+00:00,baseline:full_attention,true,42,37.137985,1.0,347.3,62.416667,1.0,323.5,47.57,1.0,645.8,29.025845,1.0,2589.4,31.842305,1.0,7440.4,347.3,323.5,645.8,2589.4,7440.4
2026-04-23T03:49:21.992085+00:00,baseline:lagkv,true,42,31.572158,0.199918,356.8,60.388889,0.199919,328.5,40.87,0.19994,676.9,29.025845,0.199974,2568.1,1.97119,0.193207,7077.3,356.8,328.5,676.9,2568.1,7077.3
2026-04-23T03:49:47.002542+00:00,baseline:streamingllm,true,42,25.586376,0.199918,360.9,53.111111,0.199919,330.9,43.153333,0.19994,671.7,29.622266,0.199974,2592.9,1.743745,0.193207,7110.3,360.9,330.9,671.7,2592.9,7110.3
2026-05-02T09:15:32.364094+00:00,baseline:full_attention,false,42,36.915829,1.0,192.373052,62.944444,1.0,184.817976,47.236667,1.0,370.115898,29.224652,1.0,1519.615344,31.842305,1.0,4334.304664,202,194,379,1529,4342
2026-05-02T09:17:07.974735+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,,,,,,,,,,,,,,,,,,,,
2026-05-02T09:18:37.602422+00:00,claude-opus-4-6,false,42,,,,,,,,,,,,,,,,,,,,
2026-05-02T10:09:00.739230+00:00,openai/gpt-5.4,false,42,32.414061,0.199918,201.514121,55.388889,0.199919,189.957625,42.55,0.19994,376.360421,29.821074,0.199974,1541.219978,1.5163,0.193207,4295.51683,210,199,384,1551,4305
2026-05-02T10:26:53.612585+00:00,qwen3.6-plus,false,42,13.86053,0.199918,205.908096,17.87037,0.199919,192.410856,29.95,0.19994,376.329772,8.349901,0.199974,1536.507542,2.42608,0.193207,4320.429549,215,202,384,1545,4328
2026-05-02T10:30:09.156771+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,,,,,,,,,,,,,,,,,,,,
2026-05-02T10:42:38.571312+00:00,gemini/gemini-3.1-pro-preview,false,42,36.389677,0.199918,201.009855,63.630952,0.199919,189.618659,46.563333,0.19994,376.873979,29.423459,0.199974,1529.203259,1.440485,0.193207,4317.001037,210,199,385,1537,4325
2026-05-02T11:57:43.678733+00:00,claude-opus-4-6,false,42,32.429914,0.199918,210.373677,56.5,0.199919,198.007642,41.83,0.19994,379.831541,30.815109,0.199974,1554.975254,2.27445,0.193207,4384.165526,220,205,388,1563,4392
2026-05-02T12:01:51.951256+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,,,,,,,,,,,,,,,,,,,,
2026-05-02T12:01:51.958837+00:00,qwen3.6-plus,false,42,,,,,,,,,,,,,,,,,,,,
2026-05-02T12:03:41.819776+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,true,42,,,,,,,,,,,,,,,,,,,,
2026-05-02T13:08:49.869323+00:00,openai/gpt-5.4,false,42,35.962249,0.199918,198.395324,58.444444,0.199919,182.667125,44.41,0.19994,375.847009,29.423459,0.199974,1533.855169,1.5163,0.193207,4254.215912,207,190,385,1543,4262
2026-05-02T13:08:53.414332+00:00,openai/gpt-5.4,true,42,35.962249,0.199918,198.395324,58.444444,0.199919,182.667125,44.41,0.19994,375.847009,29.423459,0.199974,1533.855169,1.5163,0.193207,4254.215912,207,190,385,1543,4262
2026-05-02T13:22:14.893323+00:00,gemini/gemini-3.1-pro-preview,false,42,36.428141,0.199918,199.941411,64.083333,0.199919,190.002648,46.7,0.19994,373.948284,29.224652,0.199974,1538.526655,3.411676,0.193207,4355.57475,209,200,384,1548,4365
2026-05-02T14:51:48.011528+00:00,claude-opus-4-6,false,42,30.514965,0.199918,210.369869,55.333333,0.199919,208.935571,44.91,0.19994,394.766381,29.821074,0.199974,1554.638431,8.112206,0.246594,4398.353935,219,217,403,1563,4406
2026-05-02T14:51:57.535686+00:00,claude-opus-4-6,true,42,30.514965,0.199918,210.369869,55.333333,0.199919,208.935571,44.91,0.19994,394.766381,29.821074,0.199974,1554.638431,8.112206,0.246594,4398.353935,219,217,403,1563,4406
2026-05-02T15:21:17.850253+00:00,qwen3.6-plus,false,42,31.867839,0.199918,207.37831,50.416667,0.199919,199.44821,36.176667,0.19994,388.12497,31.809145,0.199974,1560.93728,6.216831,0.193207,4345.720836,217,208,397,1569,4355
2026-05-02T15:21:34.742624+00:00,qwen3.6-plus,true,42,31.867839,0.199918,207.37831,50.416667,0.199919,199.44821,36.176667,0.19994,388.12497,31.809145,0.199974,1560.93728,6.216831,0.193207,4345.720836,217,208,397,1569,4355
2026-05-02T16:16:55.839507+00:00,gemini/gemini-3.1-pro-preview,false,42,36.560338,0.222142,195.482381,64.333333,0.222144,184.63632,46.653333,0.222164,378.581128,29.622266,0.222197,1543.308068,3.411676,0.215618,4345.627085,204,192,387,1553,4355
2026-05-02T16:17:02.281330+00:00,gemini/gemini-3.1-pro-preview,true,42,36.560338,0.222142,195.482381,64.333333,0.222144,184.63632,46.653333,0.222164,378.581128,29.622266,0.222197,1543.308068,3.411676,0.215618,4345.627085,204,192,387,1553,4355
