timestamp,model,is_final,seed,test_acc_resnet56-cifar100,test_acc_vgg16bn-cifar100,test_acc_mobilenetv2-fmnist,elapsed_mobilenetv2-fmnist,elapsed_resnet56-cifar100,elapsed_vgg16bn-cifar100
2026-03-25T14:56:01.919558+00:00,baseline:kaiming_normal,true,42,72.07,73.38,94.49,7151,,
2026-03-28T02:42:25.083446+00:00,baseline:orthogonal,true,42,72.08,72.83,93.88,,,
2026-03-28T03:48:20.464318+00:00,baseline:fixup,true,42,72.37,74.37,94.48,7149,,
2026-04-09T20:20:40.581399+00:00,deepseek-reasoner,false,42,72.61,74.44,94.54,2233,1797,825
2026-04-10T00:14:55.606179+00:00,deepseek-reasoner,false,42,72.22,74.61,94.45,2228,1818,822
2026-04-10T03:18:36.053391+00:00,deepseek-reasoner,false,42,72.73,1.0,94.54,2232,1802,816
2026-04-10T03:19:12.628983+00:00,deepseek-reasoner,true,42,72.61,74.44,94.54,2233,1797,825
2026-04-14T07:27:55.206197+00:00,openai/gpt-5.4,false,42,72.6,74.46,94.51,2197,1683,784
2026-04-14T19:28:00.701403+00:00,openai/gpt-5.4,false,42,72.55,74.89,94.52,2222,1817,829
2026-04-15T16:23:44.116793+00:00,anthropic/claude-opus-4.6,false,42,72.7,74.35,94.85,2222,1798,827
2026-04-15T16:24:02.305603+00:00,anthropic/claude-opus-4.6,true,42,72.7,74.35,94.85,2222,1798,827
2026-04-15T16:45:44.319089+00:00,google/gemini-3.1-pro-preview,false,42,72.99,74.21,94.5,2217,1803,816
2026-04-15T17:00:44.440983+00:00,qwen/qwen3.6-plus,false,42,72.92,74.25,94.61,2229,1791,824
2026-04-15T17:38:45.334025+00:00,openai/gpt-5.4,false,42,72.76,74.22,94.65,2228,1801,830
2026-04-15T17:38:52.912814+00:00,openai/gpt-5.4,true,42,72.55,74.89,94.52,2222,1817,829
2026-04-15T17:58:46.011898+00:00,google/gemini-3.1-pro-preview,false,42,72.61,1.0,94.52,2242,1819,828
2026-04-15T17:59:56.044590+00:00,google/gemini-3.1-pro-preview,true,42,72.99,74.21,94.5,2217,1803,816
2026-04-15T18:29:44.273530+00:00,qwen/qwen3.6-plus,false,42,72.14,74.46,94.8,2232,1817,826
2026-04-15T18:30:02.505316+00:00,qwen/qwen3.6-plus,true,42,72.92,74.25,94.61,2229,1791,824
