timestamp,model,is_final,seed,tflops_hdim64_seq4k,latency_ms_hdim64_seq4k,max_diff_hdim64_seq4k,correct_hdim64_seq4k,elapsed_hdim64_seq4k,tflops_hdim128_seq8k,latency_ms_hdim128_seq8k,max_diff_hdim128_seq8k,correct_hdim128_seq8k,elapsed_hdim128_seq8k,tflops_hdim256_seq16k,latency_ms_hdim256_seq16k,max_diff_hdim256_seq16k,correct_hdim256_seq16k,elapsed_hdim256_seq16k,speedup_vs_sdpa_hdim64_seq4k,sdpa_latency_ms_hdim64_seq4k,speedup_vs_sdpa_hdim128_seq8k,sdpa_latency_ms_hdim128_seq8k,speedup_vs_sdpa_hdim256_seq16k,sdpa_latency_ms_hdim256_seq16k
2026-04-28T18:42:13.967693+00:00,baseline:flash_v1,true,42,269.759,1.019,0.0009765625,1.0,9,297.3736,1.8487,0.0004882812,1.0,9,234.2001,4.6948,0.0004882812,1.0,10,0.9449,0.9628,0.942,1.7414,0.8079,3.7931
2026-04-28T18:51:14.100239+00:00,baseline:flash_v2,true,42,308.2918,0.8916,0.001953125,1.0,8,200.1523,2.7467,0.001953125,1.0,10,240.3888,4.5739,0.001953125,1.0,11,1.0893,0.9712,0.6377,1.7517,0.8326,3.8081
2026-04-28T18:42:14.002997+00:00,baseline:flash_v3,true,42,332.1193,0.8276,0.001953125,1.0,13,406.4221,1.3527,0.001953125,1.0,16,240.542,4.571,0.001953125,1.0,29,1.1584,0.9587,1.2972,1.7547,0.836,3.8215
2026-04-28T18:21:57.697217+00:00,baseline:flash_v2,false,42,150.5527,1.8258,0.001953125,1.0,9,119.8908,4.5855,0.001953125,1.0,9,0.0,999999.0,1.0,0.0,8,0.8777,1.6026,0.6244,2.8631,0.0,0.0
2026-04-28T18:23:57.702553+00:00,baseline:flash_v1,false,42,133.4172,2.0603,0.0004882812,1.0,9,92.1667,5.9648,0.0004882812,1.0,8,0.0,999999.0,1.0,0.0,12,0.7793,1.6056,0.4836,2.8846,0.0,0.0
2026-04-28T18:23:57.719926+00:00,baseline:flash_v3,false,42,152.6937,1.8002,0.001953125,1.0,12,167.4582,3.2829,0.001953125,1.0,15,75.749,14.5152,0.001464844,1.0,31,0.8908,1.6036,0.8762,2.8764,0.4062,5.8962
2026-04-28T19:15:35.772871+00:00,openai/gpt-5.4,false,42,330.3059,0.8322,0.001953125,1.0,12,395.7036,1.3893,0.001953125,1.0,15,190.1133,5.7835,0.001953125,1.0,26,1.1567,0.9626,1.279,1.7769,0.6583,3.807
2026-04-28T19:16:34.303186+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,338.6264,0.8117,0.001953125,1.0,17,404.6607,1.3586,0.001953125,1.0,22,239.9105,4.583,0.001953125,1.0,60,1.2184,0.989,1.2925,1.756,0.8388,3.8443
2026-04-28T19:17:31.797423+00:00,gemini/gemini-3.1-pro-preview,false,42,326.0804,0.843,0.001953125,1.0,15,391.7247,1.4034,0.001953125,1.0,19,292.8744,3.7542,0.001953125,1.0,37,1.1381,0.9594,1.259,1.7669,1.0748,4.035
2026-04-28T19:17:59.697488+00:00,openai/gpt-5.4,false,42,325.8577,0.8436,0.001953125,1.0,11,405.2525,1.3566,0.001953125,1.0,14,0.0,999999.0,1.0,0.0,7,1.1405,0.9621,1.2933,1.7544,0.0,0.0
