timestamp,model,is_final,seed,ic_csi300,icir_csi300,rank_ic_csi300,rank_icir_csi300,annualized_return_csi300,max_drawdown_csi300,information_ratio_csi300,ic_csi100,icir_csi100,rank_ic_csi100,rank_icir_csi100,annualized_return_csi100,max_drawdown_csi100,information_ratio_csi100,ic_csi300_recent,icir_csi300_recent,rank_ic_csi300_recent,rank_icir_csi300_recent,annualized_return_csi300_recent,max_drawdown_csi300_recent,information_ratio_csi300_recent,elapsed_csi300,elapsed_csi100,elapsed_csi300_recent
2026-04-01T14:10:29.914568+00:00,baseline:hist,true,42,0.053039,0.349102,0.066235,0.43832,0.087547,-0.050516,1.249586,0.051858,0.281834,0.058259,0.328484,-0.000589,-0.17051,-0.010413,0.035904,0.250979,0.051728,0.340437,0.092828,-0.058662,1.193856,2.8,3.2,10.8
2026-04-01T14:10:35.982582+00:00,baseline:gats,true,42,0.049537,0.376208,0.059775,0.473724,0.106258,-0.067077,1.361531,0.04651,0.260086,0.052069,0.304184,-0.014098,-0.202519,-0.251506,0.028852,0.213791,0.045246,0.328401,0.102562,-0.04437,1.324341,3.6,3.2,12.1
2026-04-01T18:49:09.720509+00:00,baseline:lgbm,true,123,0.039897,0.307518,0.049229,0.401871,0.020253,-0.099518,0.279929,0.036262,0.220335,0.044453,0.277064,-0.017189,-0.158267,-0.333759,0.025308,0.1822,0.040913,0.302152,0.019687,-0.075868,0.265607,405.7,191.1,399.9
2026-04-01T18:51:34.031898+00:00,baseline:lgbm,true,456,0.039897,0.307518,0.049229,0.401871,0.020253,-0.099518,0.279929,0.036262,0.220335,0.044453,0.277064,-0.017189,-0.158267,-0.333759,0.025308,0.1822,0.040913,0.302152,0.019687,-0.075868,0.265607,422.2,186.1,449.0
2026-04-01T19:01:06.185632+00:00,baseline:lgbm,true,42,0.039897,0.307518,0.049229,0.401871,0.020253,-0.099518,0.279929,0.036262,0.220335,0.044453,0.277064,-0.017189,-0.158267,-0.333759,0.025308,0.1822,0.040913,0.302152,0.019687,-0.075868,0.265607,414.5,183.2,1397.0
2026-04-01T19:01:06.185632+00:00,baseline:lgbm,true,mean,0.039897,0.307518,0.049229,0.40187100000000003,0.020253,-0.099518,0.279929,0.036262,0.22033500000000003,0.044453,0.277064,-0.017189,-0.158267,-0.333759,0.025308,0.1822,0.040913,0.302152,0.019687,-0.075868,0.265607,414.1333333333334,186.79999999999998,748.6333333333333
2026-04-02T09:14:33.156913+00:00,google/gemini-3.1-pro-preview,false,42,0.02393,0.153082,0.038668,0.23962,-0.015828,-0.184292,-0.163553,0.03714,0.185649,0.046646,0.240916,-0.040919,-0.227149,-0.656261,0.028144,0.20608,0.047106,0.328517,0.075135,-0.085135,0.937959,903,361,1445
2026-04-02T09:33:56.506143+00:00,anthropic/claude-opus-4.6,false,42,0.043513,0.296567,0.059742,0.418778,0.044671,-0.091236,0.585033,0.043679,0.222914,0.057033,0.300553,-0.013817,-0.196462,-0.228593,0.036853,0.283125,0.048401,0.360945,0.115799,-0.053459,1.441056,1686,1197,1776
2026-04-02T09:53:37.622985+00:00,gpt-5.4-pro,false,42,0.030702,0.228542,0.040747,0.302767,0.007753,-0.11604,0.121168,0.026503,0.149326,0.039147,0.20355,-0.048121,-0.199534,-0.864424,0.01985,0.139518,0.036664,0.24923,0.029897,-0.06072,0.448349,300,152,272
2026-04-02T10:17:13.038207+00:00,anthropic/claude-opus-4.6,false,42,0.045688,0.319126,0.060312,0.421226,0.063644,-0.075841,0.85057,0.039548,0.196944,0.054978,0.28202,-0.034753,-0.197888,-0.592766,0.025305,0.171998,0.047194,0.314536,-0.022111,-0.070304,-0.312206,1641,932,1321
2026-04-02T10:32:56.980279+00:00,gpt-5.4-pro,false,42,0.034166,0.266014,0.039496,0.324934,0.020915,-0.145865,0.261379,0.036874,0.198693,0.038826,0.217251,-0.015515,-0.16195,-0.289346,0.018364,0.128976,0.035098,0.256845,0.040932,-0.077719,0.480941,615,321,316
2026-04-02T10:33:45.889428+00:00,google/gemini-3.1-pro-preview,false,42,0.039799,0.303068,0.052033,0.401982,0.01125,-0.080135,0.163689,0.04247,0.241989,0.049575,0.285902,0.019746,-0.130572,0.35622,0.028744,0.214263,0.049939,0.34666,-0.018434,-0.081905,-0.26512,3098,1530,3677
2026-04-02T10:42:43.069987+00:00,gpt-5.4-pro,true,42,0.034166,0.266014,0.039496,0.324934,0.020915,-0.145865,0.261379,0.036874,0.198693,0.038826,0.217251,-0.015515,-0.16195,-0.289346,0.018364,0.128976,0.035098,0.256845,0.040932,-0.077719,0.480941,615,321,316
2026-04-02T11:07:18.466164+00:00,google/gemini-3.1-pro-preview,false,42,0.044343,0.300891,0.058759,0.389689,0.062659,-0.094919,0.753796,0.027178,0.145252,0.041059,0.215011,-0.02432,-0.162357,-0.481714,0.030737,0.234993,0.047723,0.333256,0.006608,-0.058374,0.101635,775,301,843
2026-04-02T11:13:00.260027+00:00,anthropic/claude-opus-4.6,false,42,0.045467,0.348241,0.057171,0.41341,0.037171,-0.098496,0.478468,0.037466,0.210051,0.049303,0.259323,0.00268,-0.209819,0.042604,0.011827,0.077343,0.039654,0.251542,-0.030954,-0.095866,-0.389062,1083,502,761
2026-04-02T11:27:24.541134+00:00,google/gemini-3.1-pro-preview,true,42,0.049052,0.3542,0.063875,0.462589,0.082816,-0.061034,1.239313,0.033595,0.17577,0.048538,0.256757,-0.044814,-0.23217,-0.77002,0.034243,0.266419,0.050584,0.366419,0.032799,-0.060563,0.516533,789,300,700
2026-04-02T11:38:33.240055+00:00,anthropic/claude-opus-4.6,false,42,0.031812,0.205669,0.043688,0.266492,0.005508,-0.13622,0.055631,0.043438,0.222726,0.052947,0.26937,-1.3e-05,-0.184543,-0.000206,0.019354,0.129876,0.044455,0.284556,-0.07221,-0.175892,-0.905826,961,623,1275
2026-04-02T11:38:46.807038+00:00,anthropic/claude-opus-4.6,true,42,0.045467,0.348241,0.057171,0.41341,0.037171,-0.098496,0.478468,0.037466,0.210051,0.049303,0.259323,0.00268,-0.209819,0.042604,0.011827,0.077343,0.039654,0.251542,-0.030954,-0.095866,-0.389062,1083,502,761
2026-04-27T15:23:11.506533+00:00,deepseek-reasoner,false,42,,,,,,,,0.044408,0.225971,0.055322,0.294537,-0.025399,-0.168564,-0.42986,,,,,,,,320.9,975.1,329.3
2026-04-27T17:25:36.142658+00:00,qwen/qwen3.6-plus,false,42,0.047249,0.333411,0.05808,0.425964,0.113099,-0.057251,1.544869,0.039712,0.208048,0.052094,0.27969,-0.032858,-0.208156,-0.549113,,,,,,,,5091.7,3491.1,367.0
2026-04-27T17:27:12.832529+00:00,deepseek-reasoner,false,42,0.045588,0.30132,0.064011,0.430254,0.032557,-0.096526,0.463078,0.045812,0.226224,0.057964,0.298488,-0.019186,-0.175422,-0.306317,0.031391,0.21591,0.050439,0.330683,0.013879,-0.088753,0.179985,5199.4,3005.3,3771.8
2026-04-27T18:43:00.243430+00:00,deepseek-reasoner,false,42,0.046802,0.348793,0.059706,0.46475,0.03814,-0.084247,0.519521,0.047099,0.250772,0.054017,0.307456,-0.014577,-0.175961,-0.25361,0.024398,0.181217,0.044561,0.320224,0.027095,-0.063395,0.340304,4484.1,2228.1,2935.8
2026-04-27T19:48:14.323417+00:00,deepseek-reasoner,false,42,0.047772,0.333354,0.061438,0.453025,0.079089,-0.08051,1.168725,0.042905,0.211848,0.056119,0.292778,-0.023479,-0.209202,-0.361983,0.028489,0.204049,0.048167,0.332297,-0.000953,-0.081906,-0.012971,3850.1,1918.8,3639.2
2026-04-27T19:48:30.286500+00:00,deepseek-reasoner,true,42,0.047772,0.333354,0.061438,0.453025,0.079089,-0.08051,1.168725,0.042905,0.211848,0.056119,0.292778,-0.023479,-0.209202,-0.361983,0.028489,0.204049,0.048167,0.332297,-0.000953,-0.081906,-0.012971,3850.1,1918.8,3639.2
2026-04-28T10:53:15.075402+00:00,qwen/qwen3.6-plus,false,42,0.008408,0.058665,0.027896,0.177925,-0.095954,-0.381913,-1.041197,0.010255,0.056015,0.033541,0.164115,-0.084216,-0.29849,-1.400885,0.005075,0.032023,0.027883,0.17809,0.068538,-0.103451,0.759061,2252.8,2161.9,2158.1
2026-04-28T11:12:41.962754+00:00,qwen/qwen3.6-plus,true,42,0.008408,0.058665,0.027896,0.177925,-0.095954,-0.381913,-1.041197,0.010255,0.056015,0.033541,0.164115,-0.084216,-0.29849,-1.400885,0.005075,0.032023,0.027883,0.17809,0.068538,-0.103451,0.759061,2252.8,2161.9,2158.1
2026-04-28T12:04:54.832260+00:00,openai/gpt-5.4,false,42,0.027124,0.220912,0.0403,0.334321,-0.02824,-0.138355,-0.409396,0.021935,0.130693,0.036422,0.207535,-0.04117,-0.172431,-0.771779,0.020335,0.145634,0.034538,0.249062,-0.000812,-0.097257,-0.010256,395.1,195.0,374.7
2026-04-28T12:11:25.221167+00:00,openai/gpt-5.4,false,42,0.036789,0.292462,0.046555,0.389496,0.016781,-0.120767,0.232842,0.029925,0.183546,0.043,0.267337,-0.028393,-0.184136,-0.550034,0.026257,0.187228,0.041672,0.2983,0.03733,-0.099359,0.458277,323.5,136.7,287.2
2026-04-28T12:11:26.888112+00:00,openai/gpt-5.4,true,42,0.036789,0.292462,0.046555,0.389496,0.016781,-0.120767,0.232842,0.029925,0.183546,0.043,0.267337,-0.028393,-0.184136,-0.550034,0.026257,0.187228,0.041672,0.2983,0.03733,-0.099359,0.458277,323.5,136.7,287.2
