timestamp,model,is_final,seed,elapsed_mnist,elapsed_fmnist,elapsed_cifar10,accuracy_mnist,epsilon_mnist,best_accuracy_mnist,accuracy_mnist_std,epsilon_mnist_std,best_accuracy_mnist_std,accuracy_fmnist,epsilon_fmnist,best_accuracy_fmnist,accuracy_cifar10,epsilon_cifar10,best_accuracy_cifar10,elapsed_mnist_std,accuracy_fmnist_std,epsilon_fmnist_std,best_accuracy_fmnist_std,elapsed_fmnist_std,accuracy_cifar10_std,epsilon_cifar10_std,best_accuracy_cifar10_std,elapsed_cifar10_std
2026-04-23T07:46:17.431995+00:00,baseline:adaptive_clipping,true,42,250,251,2586,93.79,3.0016,93.79,,,,80.94,3.0016,81.04,61.4,2.9986,61.52,,,,,,,,,
2026-04-04T10:08:42.638271+00:00,baseline:adaptive_clipping,true,123,260.5,260.1,2385.6,94.11,3.0016,94.11,,,,79.84,3.0016,80.42,60.9,2.9986,60.9,,,,,,,,,
2026-04-04T10:19:29.531394+00:00,baseline:adaptive_clipping,true,456,266.0,242.1,2462.0,94.32,3.0016,94.32,,,,81.29,3.0016,81.36,61.37,2.9986,61.37,,,,,,,,,
2026-04-23T07:46:17.431995+00:00,baseline:adaptive_clipping,true,mean,258.8333333333333,251.0666666666667,2477.866666666667,94.07333333333334,3.0016,94.07333333333334,0.21791945504907673,0.0,0.21791945504907673,80.69,3.0016,80.94,61.22333333333333,2.9986,61.26333333333333,,0.6177917664283548,0.0,0.39021361671098354,,0.22895899681432505,0.0,0.2641127705272054,
2026-04-23T07:04:02.428082+00:00,baseline:noise_decay,true,42,247,249,2272,95.88,3.0016,95.88,,,,80.18,3.0016,80.2,53.34,2.9986,53.47,,,,,,,,,
2026-04-04T11:56:08.057216+00:00,baseline:noise_decay,true,123,245.2,249.3,2579.1,95.26,6.398,95.26,,,,77.52,6.398,77.52,56.03,6.3912,56.11,,,,,,,,,
2026-04-23T07:04:30.323215+00:00,baseline:noise_decay,true,456,240.2,238.2,2302,95.71,6.398,95.71,,,,79.1,6.398,79.1,52.68,2.9986,52.75,,,,,,,,,
2026-04-23T07:04:30.323215+00:00,baseline:noise_decay,true,mean,244.13333333333333,245.5,2384.366666666667,95.61666666666667,5.265866666666667,95.61666666666667,0.26157641755750805,1.6010783144146599,0.26157641755750805,78.93333333333334,5.265866666666667,78.94,54.01666666666667,4.129466666666667,54.10999999999999,,1.0923166004211253,1.6010783144146599,1.099939392269716,,1.4489153030993758,1.5992869772356544,1.444437606821423,
2026-04-06T11:33:44.878841+00:00,anthropic/claude-opus-4.6,false,42,,254,2281,,,,,,,77.51,3.0016,77.53,59.2,2.9986,59.25,,,,,,,,,
2026-04-07T05:54:17.405829+00:00,anthropic/claude-opus-4.6,false,42,247,242,2310,96.38,3.0016,96.39,,,,80.96,3.0016,81.01,55.03,2.9986,55.04,,,,,,,,,
2026-04-07T06:43:32.077743+00:00,anthropic/claude-opus-4.6,false,42,251,251,2357,96.02,3.0016,96.02,,,,80.2,3.0016,80.2,55.16,2.9986,55.37,,,,,,,,,
2026-04-07T06:44:03.994845+00:00,anthropic/claude-opus-4.6,true,42,247,242,2310,96.38,3.0016,96.39,,,,80.96,3.0016,81.01,55.03,2.9986,55.04,,,,,,,,,
2026-04-06T11:33:44.880374+00:00,anthropic/claude-opus-4.6,false,123,,255,2346,,,,,,,77.62,3.0016,77.84,60.73,2.9986,60.75,,,,,,,,,
2026-04-07T05:54:17.407836+00:00,anthropic/claude-opus-4.6,false,123,247,245,2306,96.2,3.0016,96.2,,,,79.14,3.0016,79.14,55.71,2.9986,55.81,,,,,,,,,
2026-04-07T06:44:03.995621+00:00,anthropic/claude-opus-4.6,true,123,247,245,2306,96.2,3.0016,96.2,,,,79.14,3.0016,79.14,55.71,2.9986,55.81,,,,,,,,,
2026-04-06T11:33:44.881346+00:00,anthropic/claude-opus-4.6,false,456,244,255,2321,86.84,3.0016,86.94,,,,77.47,3.0016,77.54,61.02,2.9986,61.06,,,,,,,,,
2026-04-07T05:54:17.408847+00:00,anthropic/claude-opus-4.6,false,456,242,245,2351,96.37,3.0016,96.37,,,,80.39,3.0016,80.69,55.39,2.9986,55.51,,,,,,,,,
2026-04-07T06:44:03.996213+00:00,anthropic/claude-opus-4.6,true,456,242,245,2351,96.37,3.0016,96.37,,,,80.39,3.0016,80.69,55.39,2.9986,55.51,,,,,,,,,
2026-04-06T11:33:44.882213+00:00,anthropic/claude-opus-4.6,false,mean,244.0,254.66666666666666,2316.0,86.84,3.0016,86.94,,,,77.53333333333333,3.0016,77.63666666666667,60.31666666666667,2.9986,60.35333333333333,,0.07767453465154252,0.0,0.17616280348965074,0.5773502691896257,0.9778718389100542,0.0,0.9680048209246351,32.78719262151
2026-04-07T05:54:17.409811+00:00,anthropic/claude-opus-4.6,false,mean,245.33333333333334,244.0,2322.3333333333335,96.31666666666666,3.0016,96.32000000000001,0.10115993936995492,0.0,0.10440306508910514,80.16333333333333,3.0016,80.28,55.376666666666665,2.9986,55.45333333333333,2.8867513459481287,0.9309314332072626,0.0,1.0001499887516883,1.7320508075688772,0.3401960219246151,0.0,0.38811510320178777,24.90649179096352
2026-04-07T06:44:03.996828+00:00,anthropic/claude-opus-4.6,true,mean,245.33333333333334,244.0,2322.3333333333335,96.31666666666666,3.0016,96.32000000000001,0.10115993936995492,0.0,0.10440306508910514,80.16333333333333,3.0016,80.28,55.376666666666665,2.9986,55.45333333333333,2.8867513459481287,0.9309314332072626,0.0,1.0001499887516883,1.7320508075688772,0.3401960219246151,0.0,0.38811510320178777,24.90649179096352
2026-04-06T10:55:08.169690+00:00,deepseek-reasoner,false,42,259,261,,55.93,0.4235,55.93,,,,10.0,4.0646,10.0,,,,,,,,,,,,
2026-04-06T14:06:29.076568+00:00,deepseek-reasoner,false,42,248,249,,11.35,3.0016,11.35,,,,41.29,3.0016,41.29,,,,,,,,,,,,
2026-04-06T16:16:12.710055+00:00,deepseek-reasoner,true,42,247,250,2353,94.19,4.3783,94.2,,,,81.95,4.3783,81.98,53.44,4.8411,57.42,,,,,,,,,
2026-04-06T10:55:08.171089+00:00,deepseek-reasoner,false,123,259,266,2306,11.35,4.1517,11.35,,,,29.25,4.0032,29.25,48.25,1.2864,48.27,,,,,,,,,
2026-04-06T16:16:12.711407+00:00,deepseek-reasoner,true,123,264,264,2319,93.95,4.3783,93.95,,,,80.01,4.3783,80.27,58.58,4.8411,59.04,,,,,,,,,
2026-04-06T10:55:08.171927+00:00,deepseek-reasoner,false,456,259,266,2333,82.81,291.7625,82.81,,,,65.21,5.9865,65.21,48.88,1.2791,49.12,,,,,,,,,
2026-04-06T16:16:12.712409+00:00,deepseek-reasoner,true,456,249,264,2691,94.4,4.3783,94.4,,,,80.93,4.3783,81.21,59.96,4.8411,60.01,,,,,,,,,
2026-04-06T10:55:08.172730+00:00,deepseek-reasoner,false,mean,259.0,264.3333333333333,2319.5,50.03,98.77923333333332,50.03,36.09349525884131,167.1388069205154,36.09349525884131,34.82,4.6847666666666665,34.82,48.565,1.28275,48.695,0.0,28.023288529364283,1.127752075295512,28.023288529364283,2.8867513459481287,0.44547727214752675,0.005161879502661857,0.6010407640085613,19.091883092036785
