timestamp,model,is_final,seed,final_gradient_norm_default-noise,score_default-noise,auc_log_iteration_log_grad_default-noise,bilinear_final_gradient_norm_default-noise,delta_nu_final_gradient_norm_default-noise,num_runs_default-noise,elapsed_default-noise,elapsed_low-noise,elapsed_high-noise,final_gradient_norm_default-noise_std,score_default-noise_std,auc_log_iteration_log_grad_default-noise_std,bilinear_final_gradient_norm_default-noise_std,delta_nu_final_gradient_norm_default-noise_std,num_runs_default-noise_std,final_gradient_norm_low-noise,score_low-noise,auc_log_iteration_log_grad_low-noise,bilinear_final_gradient_norm_low-noise,delta_nu_final_gradient_norm_low-noise,num_runs_low-noise,final_gradient_norm_high-noise,score_high-noise,auc_log_iteration_log_grad_high-noise,bilinear_final_gradient_norm_high-noise,delta_nu_final_gradient_norm_high-noise,num_runs_high-noise,final_gradient_norm_low-noise_std,score_low-noise_std,auc_log_iteration_log_grad_low-noise_std,bilinear_final_gradient_norm_low-noise_std,delta_nu_final_gradient_norm_low-noise_std,num_runs_low-noise_std,final_gradient_norm_high-noise_std,score_high-noise_std,auc_log_iteration_log_grad_high-noise_std,bilinear_final_gradient_norm_high-noise_std,delta_nu_final_gradient_norm_high-noise_std,num_runs_high-noise_std
2026-04-04T07:34:38.985987+00:00,baseline:r_seg,true,42,0.751257,-0.751257,-0.669446,1.409909,0.092606,2.0,2,2,2,,,,,,,0.749993,-0.749993,-0.675725,1.40748,0.092506,2.0,0.774997,-0.774997,-0.515712,1.421081,0.128912,2.0,,,,,,,,,,,,
2026-04-04T07:34:38.987127+00:00,baseline:r_seg,true,123,0.751257,-0.751257,-0.669446,1.409909,0.092606,2.0,2,2,2,,,,,,,0.749993,-0.749993,-0.675725,1.40748,0.092506,2.0,0.774997,-0.774997,-0.515712,1.421081,0.128912,2.0,,,,,,,,,,,,
2026-04-04T07:34:38.988104+00:00,baseline:r_seg,true,456,0.751257,-0.751257,-0.669446,1.409909,0.092606,2.0,2,2,2,,,,,,,0.749993,-0.749993,-0.675725,1.40748,0.092506,2.0,0.774997,-0.774997,-0.515712,1.421081,0.128912,2.0,,,,,,,,,,,,
2026-04-04T07:34:38.988104+00:00,baseline:r_seg,true,mean,0.751257,-0.751257,-0.6694460000000001,1.409909,0.09260600000000001,2.0,2.0,2.0,2.0,0.0,0.0,1.1102230246251565e-16,0.0,1.3877787807814457e-17,0.0,0.749993,-0.749993,-0.675725,1.4074800000000003,0.09250600000000002,2.0,0.774997,-0.774997,-0.515712,1.421081,0.128912,2.0,0.0,0.0,0.0,2.220446049250313e-16,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-04T07:34:59.592037+00:00,baseline:rain,true,42,0.021594,-0.021594,-0.797146,0.020523,0.022665,2.0,2,2,2,,,,,,,0.008648,-0.008648,-1.08684,0.014857,0.002439,2.0,0.080775,-0.080775,-0.320045,0.047147,0.114402,2.0,,,,,,,,,,,,
2026-04-04T07:34:59.595249+00:00,baseline:rain,true,123,0.021594,-0.021594,-0.797146,0.020523,0.022665,2.0,2,2,2,,,,,,,0.008648,-0.008648,-1.08684,0.014857,0.002439,2.0,0.080775,-0.080775,-0.320045,0.047147,0.114402,2.0,,,,,,,,,,,,
2026-04-04T07:34:59.596743+00:00,baseline:rain,true,456,0.021594,-0.021594,-0.797146,0.020523,0.022665,2.0,3,2,3,,,,,,,0.008648,-0.008648,-1.08684,0.014857,0.002439,2.0,0.080775,-0.080775,-0.320045,0.047147,0.114402,2.0,,,,,,,,,,,,
2026-04-04T07:34:59.596743+00:00,baseline:rain,true,mean,0.021594,-0.021594,-0.797146,0.020523,0.022665,2.0,2.3333333333333335,2.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.008648,-0.008648,-1.08684,0.014857,0.002439,2.0,0.080775,-0.080775,-0.320045,0.047147,0.114402,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-04T07:34:59.727866+00:00,baseline:seg,true,42,0.182141,-0.182141,-0.346938,0.173788,0.190493,2.0,2,2,2,,,,,,,0.116935,-0.116935,-0.442062,0.162024,0.071846,2.0,0.582105,-0.582105,0.076484,0.227585,0.936626,2.0,,,,,,,,,,,,
2026-04-04T07:34:59.730834+00:00,baseline:seg,true,123,0.182141,-0.182141,-0.346938,0.173788,0.190493,2.0,2,2,2,,,,,,,0.116935,-0.116935,-0.442062,0.162024,0.071846,2.0,0.582105,-0.582105,0.076484,0.227585,0.936626,2.0,,,,,,,,,,,,
2026-04-04T07:34:59.733227+00:00,baseline:seg,true,456,0.182141,-0.182141,-0.346938,0.173788,0.190493,2.0,2,2,2,,,,,,,0.116935,-0.116935,-0.442062,0.162024,0.071846,2.0,0.582105,-0.582105,0.076484,0.227585,0.936626,2.0,,,,,,,,,,,,
2026-04-04T07:34:59.733227+00:00,baseline:seg,true,mean,0.182141,-0.182141,-0.346938,0.17378799999999997,0.190493,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.116935,-0.116935,-0.442062,0.162024,0.071846,2.0,0.582105,-0.582105,0.076484,0.227585,0.936626,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-04T07:34:59.741474+00:00,baseline:seag,true,42,0.135449,-0.135449,-1.107236,0.16059,0.110307,2.0,2,2,3,,,,,,,0.082633,-0.082633,-1.54747,0.158595,0.006672,2.0,0.380617,-0.380617,-0.638068,0.178678,0.582557,2.0,,,,,,,,,,,,
