timestamp,model,is_final,seed,shd_ER50-LowSample,f1_ER50-LowSample,precision_ER50-LowSample,recall_ER50-LowSample,shd_SF100,f1_SF100,precision_SF100,recall_SF100,shd_ER20-Dense,f1_ER20-Dense,precision_ER20-Dense,recall_ER20-Dense,shd_ER10,f1_ER10,precision_ER10,recall_ER10,shd_ER15,f1_ER15,precision_ER15,recall_ER15,shd_SF12,f1_SF12,precision_SF12,recall_SF12,shd_ER30,f1_ER30,precision_ER30,recall_ER30,shd_ER50,f1_ER50,precision_ER50,recall_ER50,shd_ER10_std,f1_ER10_std,precision_ER10_std,recall_ER10_std,shd_ER15_std,f1_ER15_std,precision_ER15_std,recall_ER15_std,shd_SF12_std,f1_SF12_std,precision_SF12_std,recall_SF12_std,shd_ER30_std,f1_ER30_std,precision_ER30_std,recall_ER30_std,shd_ER50_std,f1_ER50_std,precision_ER50_std,recall_ER50_std,shd_ER50-LowSample_std,f1_ER50-LowSample_std,precision_ER50-LowSample_std,recall_ER50-LowSample_std,shd_SF100_std,f1_SF100_std,precision_SF100_std,recall_SF100_std,shd_ER20-Dense_std,f1_ER20-Dense_std,precision_ER20-Dense_std,recall_ER20-Dense_std,elapsed_ER10,elapsed_ER15,elapsed_SF12,elapsed_ER30,elapsed_ER50,elapsed_ER50-LowSample,elapsed_SF100,elapsed_ER20-Dense
2026-03-21T13:28:01.706641+00:00,baseline:directlingam,true,42,29,0.8864,0.8176,0.968,6,0.9898,0.9798,1.0,5,0.9749,0.951,1.0,0,1.0,1.0,1.0,2,0.9474,0.9,1.0,1,0.9756,0.9524,1.0,2,0.9907,0.9815,1.0,3,0.9941,0.9882,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21T13:28:01.707358+00:00,baseline:directlingam,true,123,5,0.9785,0.958,1.0,10,0.9831,0.9668,1.0,1,0.9949,0.9898,1.0,2,0.9286,0.8667,1.0,1,0.9744,0.95,1.0,0,1.0,1.0,1.0,1,0.9949,0.9899,1.0,2,0.9959,0.9919,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21T13:28:01.707613+00:00,baseline:directlingam,true,456,12,0.9516,0.9077,1.0,6,0.9898,0.9798,1.0,14,0.9245,0.9074,0.9423,0,1.0,1.0,1.0,0,1.0,1.0,1.0,1,0.9756,0.9524,1.0,4,0.9831,0.9667,1.0,4,0.9921,0.9843,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21T13:28:01.707613+00:00,baseline:directlingam,true,mean,15.333333333333334,0.9388333333333333,0.8944333333333333,0.9893333333333333,7.333333333333333,0.9875666666666666,0.9754666666666667,1.0,6.666666666666667,0.9647666666666667,0.9493999999999999,0.9807666666666667,0.6666666666666666,0.9762,0.9555666666666666,1.0,1.0,0.9739333333333334,0.9500000000000001,1.0,0.6666666666666666,0.9837333333333333,0.9682666666666666,1.0,2.3333333333333335,0.9895666666666667,0.9793666666666666,1.0,3.0,0.9940333333333333,0.9881333333333333,1.0,0.9428090415820634,0.03365828278447967,0.06283822262144452,0.0,0.816496580927726,0.021476395311028226,0.0408248290463863,0.0,0.4714045207910317,0.011502270307301162,0.022438855189653096,0.0,1.247219128924647,0.00488353241915,0.009590736271122372,0.0,0.816496580927726,0.0015520595635763858,0.0031030450993965617,0.0,10.077477638553983,0.03866818962518016,0.058080652735848455,0.015084944665313026,1.8856180831641267,0.0031584102892999307,0.006128258770283417,0.0,5.436502143433363,0.02962041338146531,0.03365867892040131,0.027200040849642514,,,,,,,,
2026-04-03T11:18:24.724590+00:00,baseline:icalingam,true,42,124,0.6316,0.4831,0.912,107,0.8202,0.7225,0.9485,4,0.9798,0.9604,1.0,2,0.9333,0.875,1.0,3,0.9231,0.8571,1.0,2,0.9524,0.9091,1.0,1,0.9953,0.9907,1.0,3,0.9941,0.9882,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,4,4,4,7,7
2026-03-21T13:37:13.433025+00:00,baseline:icalingam,true,123,67,0.7368,0.614,0.9211,159,0.7556,0.634,0.9347,16,0.9029,0.8532,0.9588,2,0.9286,0.8667,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,2,0.9899,0.98,1.0,3,0.9939,0.9879,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21T13:37:13.433424+00:00,baseline:icalingam,true,456,141,0.565,0.4237,0.8475,95,0.8376,0.75,0.9485,11,0.9333,0.9245,0.9423,0,1.0,1.0,1.0,1,0.9804,0.9615,1.0,1,0.9756,0.9524,1.0,4,0.9831,0.9667,1.0,3,0.994,0.9881,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-03T11:18:24.724590+00:00,baseline:icalingam,true,mean,110.66666666666667,0.6444666666666666,0.5069333333333333,0.8935333333333334,120.33333333333333,0.8044666666666668,0.7021666666666667,0.9439000000000001,10.333333333333334,0.9386666666666666,0.9127000000000001,0.9670333333333333,1.3333333333333333,0.9539666666666666,0.9138999999999999,1.0,1.3333333333333333,0.9678333333333334,0.9395333333333333,1.0,1.0,0.976,0.9538333333333333,1.0,2.3333333333333335,0.9894333333333334,0.9791333333333334,1.0,3.0,0.9940000000000001,0.9880666666666666,1.0,0.9428090415820634,0.03260698629980323,0.06097611554261771,0.0,1.247219128924647,0.03262762973650127,0.060371093156318535,0.0,0.816496580927726,0.019434676911815805,0.03712360734387516,0.0,1.247219128924647,0.004991548412622632,0.009817105253360367,0.0,0.0,8.164965809276361e-05,0.00012472191289245098,0.0,31.647362537114457,0.07072469315749787,0.07949651285154308,0.03276180024900273,27.776888874666213,0.03527655815914521,0.04949130114362411,0.006505382386916253,4.921607686744467,0.03162281173808271,0.04455251582870118,0.024264697722319872,3.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0
2026-04-23T06:44:12.220474+00:00,baseline:notears,true,42,,,,,131,0.7161,0.9337,0.5808,,,,,,,,,,,,,,,,,9,0.9484,0.9439,0.9528,82,0.8273,0.834,0.8207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,330,,772,
2026-04-03T01:55:47.836264+00:00,anthropic/claude-opus-4.6,true,42,23,0.9064,0.8521,0.968,0,1.0,1.0,1.0,1,0.9949,0.9898,1.0,0,1.0,1.0,1.0,2,0.9474,0.9,1.0,1,0.9756,0.9524,1.0,1,0.9953,0.9907,1.0,1,0.998,0.996,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,4,12,12,64,64
