timestamp,model,is_final,seed,eval_return_halfcheetah_v4,eval_return_hopper_v4,eval_return_walker2d_v4,eval_return_halfcheetah_v4_std,eval_return_hopper_v4_std,eval_return_walker2d_v4_std,elapsed_halfcheetah-v4,elapsed_hopper-v4,elapsed_walker2d-v4
2026-04-05T06:18:46.170301+00:00,baseline:airl,true,42,1262.34,1155.2,990.58,,,,2205.5,1680.4,1661.3
2026-04-12T01:38:39.186984+00:00,baseline:airl,true,456,1228.94,1251.4,1154.54,,,,11584,11584,11584
2026-04-12T04:20:40.820982+00:00,baseline:airl,true,123,1187.7,1588.53,1521.52,,,,20136,20136,20136
2026-04-12T04:20:40.820982+00:00,baseline:airl,true,mean,1226.3266666666666,1331.71,1222.2133333333334,30.527632655604865,185.797370451432,221.97459454230844,11308.5,11133.466666666667,11127.1
2026-04-05T06:38:58.035331+00:00,baseline:bc,true,42,1554.46,1040.2,1078.6,,,,1449.5,2053.0,2133.0
2026-04-12T01:52:39.516097+00:00,baseline:bc,true,456,1620.99,2971.82,2265.47,,,,11500,11500,11500
2026-04-12T04:41:40.941181+00:00,baseline:bc,true,123,3252.63,148.08,339.04,,,,19690,19690,19690
2026-04-12T04:41:40.941181+00:00,baseline:bc,true,mean,2142.693333333333,1386.7,1227.7033333333331,785.3135735629572,1178.536828557626,793.4973174637845,10879.833333333334,11081.0,11107.666666666666
2026-04-05T15:14:46.943018+00:00,baseline:gail,true,42,810.67,432.61,691.47,,,,1472.7,1438.5,1460.5
2026-04-12T04:20:40.216106+00:00,baseline:gail,true,123,1100.13,694.77,417.54,,,,17134,17134,17134
2026-04-12T06:44:57.359229+00:00,baseline:gail,true,456,1674.63,1543.85,137.82,,,,12155,12155,12155
2026-04-12T06:44:57.359229+00:00,baseline:gail,true,mean,1195.1433333333334,890.41,415.60999999999996,359.0518723279719,474.28531609851325,226.0307859562498,10253.9,10242.5,10249.833333333334
2026-04-17T18:46:33.973547+00:00,claude-opus-4.6,false,42,3374.08,410.22,806.14,,,,,,
2026-04-17T18:46:33.974965+00:00,claude-opus-4.6,false,123,3273.92,1146.71,403.63,,,,,,
2026-04-17T18:46:33.975881+00:00,claude-opus-4.6,false,456,3260.97,840.14,2463.35,,,,,,
2026-04-17T18:46:33.976794+00:00,claude-opus-4.6,false,mean,3302.99,799.0233333333333,1224.3733333333332,61.90530429615867,369.962586261548,1091.6963682422568,,,
2026-04-17T18:46:45.113425+00:00,claude-opus-4.6,true,42,3374.08,410.22,806.14,,,,,,
